,0,1,2,3,4
0,2020-07-20 13:40:20,1285207919953244161,"@Anglo_Varangian @m_bashirli @alasgarli_murad They just have oil,  corruption and insest.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Anglo_Varangian', 'name': 'Paisios', 'id': 1272363383552081920, 'id_str': '1272363383552081920', 'indices': [0, 16]}, {'screen_name': 'm_bashirli', 'name': 'ℳ. ℬ𝒶𝓈𝒽𝒾𝓇𝓁𝒾🇦🇿', 'id': 1055146530963886080, 'id_str': '1055146530963886080', 'indices': [17, 28]}, {'screen_name': 'alasgarli_murad', 'name': 'Alasgarli', 'id': 3248101820, 'id_str': '3248101820', 'indices': [29, 45]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:16:50,1285202006618116097,"@abelslittleb as someone who’s adopted, morally it’s still considered insest and it’s still majorly fucked up, my b… https://t.co/StOVMxvooe","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'abelslittleb', 'name': 'ل', 'id': 1257180809443921926, 'id_str': '1257180809443921926', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/StOVMxvooe', 'expanded_url': 'https://twitter.com/i/web/status/1285202006618116097', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 12:40:33,1285192874146123782,@dxngxnronpx His love insesT- I MEAN INTEREST- is....odd...,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dxngxnronpx', 'name': '𝔧𝔬𝔠𝔢𝔩𝔶𝔫 🥀', 'id': 1259611364320043008, 'id_str': '1259611364320043008', 'indices': [0, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 11:36:10,1285176670538928133,@vusale096 İnsest,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vusale096', 'name': 'Vusale', 'id': 1148344178029604865, 'id_str': '1148344178029604865', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 11:02:01,1285168077697462272,@fuddifry1 It's just time ke saath saath sb badal jata hai and insest is not bad it's just new this to understand.,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fuddifry1', 'name': 'Behan ka aashiq', 'id': 1251522057910681601, 'id_str': '1251522057910681601', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 09:45:41,1285148867667939328,@senkukisser @GargoyleHouse69 UR PFP insest,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'senkukisser', 'name': '☁lmao YEET☁ (dumb of ass)', 'id': 1042453926979821570, 'id_str': '1042453926979821570', 'indices': [0, 12]}, {'screen_name': 'GargoyleHouse69', 'name': '🍔 cheese 🌻 CEO of roshia boob', 'id': 1199118079013326850, 'id_str': '1199118079013326850', 'indices': [13, 29]}], 'urls': []}","{'iso_language_code': 'fr', 'result_type': 'recent'}"
6,2020-07-20 05:15:22,1285080838141599744,"canım RTÜK, siz zaten toplumu dejenere ettini izin verdiğiniz ahlaksız, şiddet içerikli, aile bağlarını yok eden, s… https://t.co/FwXWlFldLf","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FwXWlFldLf', 'expanded_url': 'https://twitter.com/i/web/status/1285080838141599744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
7,2020-07-20 05:05:54,1285078455487537152,@kristoferdraws 🤷🏾‍♀️ insest at its finest,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kristoferdraws', 'name': 'Eugene H. Krabs', 'id': 1692082572, 'id_str': '1692082572', 'indices': [0, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 02:56:46,1285045960704491526,@GOP @realDonaldTrump Insest very bad https://t.co/UqqV1l450Z,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GOP', 'name': 'GOP', 'id': 11134252, 'id_str': '11134252', 'indices': [0, 4]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [5, 21]}], 'urls': [], 'media': [{'id': 1285045957218967562, 'id_str': '1285045957218967562', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/media/EdVmfVgWoAohgba.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdVmfVgWoAohgba.jpg', 'url': 'https://t.co/UqqV1l450Z', 'display_url': 'pic.twitter.com/UqqV1l450Z', 'expanded_url': 'https://twitter.com/trumpthumpersma/status/1285045960704491526/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 527, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 899, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 298, 'h': 680, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 00:52:21,1285014647414747137,@MrBoomBortree @ThePanda19720 @Amanda_skol88 Panda does. I dont. I dont want anything to do with some insest weirdo.,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MrBoomBortree', 'name': 'Jonathan Bortree', 'id': 498943509, 'id_str': '498943509', 'indices': [0, 14]}, {'screen_name': 'ThePanda19720', 'name': 'El León de Oro - Pissd Off Purple 🐼 Douche B0T', 'id': 272222225, 'id_str': '272222225', 'indices': [15, 29]}, {'screen_name': 'Amanda_skol88', 'name': '💜Manda💛', 'id': 1057372597179072518, 'id_str': '1057372597179072518', 'indices': [30, 44]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
