,0,1,2,3,4
0,2020-07-20 13:11:01,1285200541769961481,adams_250 commented on a post https://t.co/d41rmDWp38,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/d41rmDWp38', 'expanded_url': 'https://www.inthebuff.co.uk/buff21/comment/41419#comment-41419', 'display_url': 'inthebuff.co.uk/buff21/comment…', 'indices': [30, 53]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 10:27:29,1285159386793598977,Denny commented on a post https://t.co/tJNBNjnFBu,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tJNBNjnFBu', 'expanded_url': 'https://www.inthebuff.co.uk/buff21/comment/41418#comment-41418', 'display_url': 'inthebuff.co.uk/buff21/comment…', 'indices': [26, 49]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 08:29:36,1285129721735413760,Appyb commented on a post https://t.co/eA6jDkXlJ5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eA6jDkXlJ5', 'expanded_url': 'https://www.inthebuff.co.uk/buff21/comment/41417#comment-41417', 'display_url': 'inthebuff.co.uk/buff21/comment…', 'indices': [26, 49]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 07:37:27,1285116595665276930,EastAngliaCouple commented on a post https://t.co/vrzL24zdfQ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vrzL24zdfQ', 'expanded_url': 'https://www.inthebuff.co.uk/buff21/comment/41416#comment-41416', 'display_url': 'inthebuff.co.uk/buff21/comment…', 'indices': [37, 60]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-19 15:34:37,1284874290870063105,"Happy #nationalnudeday to everyone, butt especially to my fellow nudies out there! Hope you take today to really en… https://t.co/EDRpqjyQGt","{'hashtags': [{'text': 'nationalnudeday', 'indices': [6, 22]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EDRpqjyQGt', 'expanded_url': 'https://twitter.com/i/web/status/1284874290870063105', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-19 15:34:27,1284874251024113664,There are days of ups and there are days of downs. Enjoy the humps while you can! #happyhumpday #humpday… https://t.co/NCsUt3qHze,"{'hashtags': [{'text': 'happyhumpday', 'indices': [82, 95]}, {'text': 'humpday', 'indices': [96, 104]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NCsUt3qHze', 'expanded_url': 'https://twitter.com/i/web/status/1284874251024113664', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-19 15:34:20,1284874221794066432,"I’m ready for some adventure! Who wants to come? 😉 

#inthebuff #gayotter #gayhiker #naturist #sunsoutbunsout… https://t.co/jQ2Ohw7WUD","{'hashtags': [{'text': 'inthebuff', 'indices': [53, 63]}, {'text': 'gayotter', 'indices': [64, 73]}, {'text': 'gayhiker', 'indices': [74, 83]}, {'text': 'naturist', 'indices': [84, 93]}, {'text': 'sunsoutbunsout', 'indices': [94, 109]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jQ2Ohw7WUD', 'expanded_url': 'https://twitter.com/i/web/status/1284874221794066432', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-19 09:57:21,1284789414770737152,Shane and Donna commented on a post https://t.co/ru2HEdoLCo,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ru2HEdoLCo', 'expanded_url': 'https://www.inthebuff.co.uk/buff21/comment/41415#comment-41415', 'display_url': 'inthebuff.co.uk/buff21/comment…', 'indices': [36, 59]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-19 09:57:16,1284789395237875712,Shane and Donna commented on a post https://t.co/smKWB5A8rT,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/smKWB5A8rT', 'expanded_url': 'https://www.inthebuff.co.uk/buff21/comment/41414#comment-41414', 'display_url': 'inthebuff.co.uk/buff21/comment…', 'indices': [36, 59]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-19 06:14:45,1284733394690150400,paof2 commented on a post https://t.co/BggiKeOYW7,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BggiKeOYW7', 'expanded_url': 'https://www.inthebuff.co.uk/buff21/comment/41413#comment-41413', 'display_url': 'inthebuff.co.uk/buff21/comment…', 'indices': [26, 49]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
