,0,1,2,3,4
0,2020-07-20 13:48:07,1285209878051672064,fajnie ze mi mowia ze n idziemy nigdzie jak jiz z domu wyszlamxd,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'pl', 'result_type': 'recent'}"
1,2020-07-20 13:47:13,1285209648954515456,Růžový tým si připsal již osmý bod v tomto klání 💪🏻🎾 https://t.co/kON7nRTwOT,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kON7nRTwOT', 'expanded_url': 'https://www.tenisovysvet.cz/article/detail/12030--tipsport-elite-trophy-swiatekova-prehrala-vondrousovou-kr-pliskova-nasazela-36-viteznych-uderu', 'display_url': 'tenisovysvet.cz/article/detail…', 'indices': [53, 76]}]}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
2,2020-07-20 13:46:29,1285209464547639296,"@mel_jiz aku download kat tele, tapi fb dengan online pun dah adaaaq","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mel_jiz', 'name': 'Mr. Sunshine ✨🌄', 'id': 924133414457851906, 'id_str': '924133414457851906', 'indices': [0, 8]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
3,2020-07-20 13:46:03,1285209359006478337,@DominikFeri @kalousekm ANO se boji ze půjde kam patří a já jen doufám ze to bude právě po volbách do krajů co si j… https://t.co/DtUq7IRo0U,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DominikFeri', 'name': 'Dominik Feri', 'id': 2869270971, 'id_str': '2869270971', 'indices': [0, 12]}, {'screen_name': 'kalousekm', 'name': 'Miroslav Kalousek', 'id': 1705781160, 'id_str': '1705781160', 'indices': [13, 23]}], 'urls': [{'url': 'https://t.co/DtUq7IRo0U', 'expanded_url': 'https://twitter.com/i/web/status/1285209359006478337', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
4,2020-07-20 13:45:15,1285209157692297216,"非嘔吐過食だったから
中1から中3までで25キロも
太ったけどいま7キロ落としたし身長は10センチ伸びたからもう過去をみて落ち込むのはやめる
BMI17から22までなっちゃったから19まで落とす","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
5,2020-07-20 13:42:21,1285208425559846912,"@Mio_VTR250 はい、考えました笑
予想を遥かに超えて高かったのでビビりました。笑

ホームシアターは最近は意外と安く出来ますよ〜
よっぽど高級品にこだわらなければ20万有れば諸々そろいます😄","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mio_VTR250', 'name': '𝓜𝓲𝓸', 'id': 1090814839167934465, 'id_str': '1090814839167934465', 'indices': [0, 11]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
6,2020-07-20 13:39:14,1285207643204640773,"@jiz_dominant うわぁ、高いんですね🤪
でも、値段がわかるってことは
1度は検討したってことですか？😁

ホームシアターだけでも
羨ましいです☺️","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jiz_dominant', 'name': 'Jiz【ジズ】', 'id': 1210895278837907456, 'id_str': '1210895278837907456', 'indices': [0, 13]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
7,2020-07-20 13:38:25,1285207437042233346,"@jancizinsky jsou stovky lidi kteri si to jiz nebudou moct dovolit. mysli nekdo na chudy, a ne jen bohaty kterym to… https://t.co/YEW88bCM6k","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jancizinsky', 'name': 'Jan Čižinský', 'id': 314564202, 'id_str': '314564202', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/YEW88bCM6k', 'expanded_url': 'https://twitter.com/i/web/status/1285207437042233346', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
8,2020-07-20 13:35:11,1285206624022536194,"RT @BlanikZ: Já teda chápu, že se od nás učí celý svět jak zvládat #COVID19 , ale já pro jistotu po očku sleduju taky tu Jižní Koreu. Epide…","{'hashtags': [{'text': 'COVID19', 'indices': [67, 75]}], 'symbols': [], 'user_mentions': [{'screen_name': 'BlanikZ', 'name': 'Radovan Vávra', 'id': 3003612837, 'id_str': '3003612837', 'indices': [3, 11]}], 'urls': []}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
9,2020-07-20 13:33:35,1285206219268001792,"Já teda chápu, že se od nás učí celý svět jak zvládat #COVID19 , ale já pro jistotu po očku sleduju taky tu Jižní K… https://t.co/aUyQQfigUK","{'hashtags': [{'text': 'COVID19', 'indices': [54, 62]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aUyQQfigUK', 'expanded_url': 'https://twitter.com/i/web/status/1285206219268001792', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
10,2020-07-20 13:32:18,1285205898705555458,"@Mio_VTR250 それは防音に超問題ありですね笑
ちなみにカラオケの機械（DAM）って個人でも買えるけど300万円もするんですよ・・・🤣","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mio_VTR250', 'name': '𝓜𝓲𝓸', 'id': 1090814839167934465, 'id_str': '1090814839167934465', 'indices': [0, 11]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
11,2020-07-20 13:31:42,1285205747299766272,"@PavelNewman @Tapr20 To chválím, také si myslím, že je třeba děti vést k akkadštině již v útlém věku. A na výslovno… https://t.co/2d7fTJcCSD","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PavelNewman', 'name': 'Paul Newman', 'id': 838803307279831040, 'id_str': '838803307279831040', 'indices': [0, 12]}, {'screen_name': 'Tapr20', 'name': 'Tapír', 'id': 702283406957223937, 'id_str': '702283406957223937', 'indices': [13, 20]}], 'urls': [{'url': 'https://t.co/2d7fTJcCSD', 'expanded_url': 'https://twitter.com/i/web/status/1285205747299766272', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
12,2020-07-20 13:27:51,1285204775232057345,"RT @Fbeyeee: Jmenování nového gubernátora Chabarovského kraje proběhlo, jako již tradičně vše v posledních měsících, z bunkru smrti. https:…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Fbeyeee', 'name': 'Roman M', 'id': 2776762801, 'id_str': '2776762801', 'indices': [3, 11]}], 'urls': []}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
13,2020-07-20 13:27:22,1285204655669207040,"@MarekLiebl @superapplemaga1 Dobrý den, číslo je v aplikaci již několik dní - pokud tedy hovoříme o aplikaci SuperA… https://t.co/4G36fbuvvu","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MarekLiebl', 'name': 'Marek Liebl', 'id': 576595377, 'id_str': '576595377', 'indices': [0, 11]}, {'screen_name': 'superapplemaga1', 'name': 'superapplemagazin', 'id': 1125308202562871296, 'id_str': '1125308202562871296', 'indices': [12, 28]}], 'urls': [{'url': 'https://t.co/4G36fbuvvu', 'expanded_url': 'https://twitter.com/i/web/status/1285204655669207040', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
14,2020-07-20 13:26:45,1285204498911244289,"@jancizinsky Pane Čižinský, mne se plat v obchodě nezvedl již pět let a nájemné mi město Praha zvýšila o 20%. Co má… https://t.co/r4di7OElcG","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jancizinsky', 'name': 'Jan Čižinský', 'id': 314564202, 'id_str': '314564202', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/r4di7OElcG', 'expanded_url': 'https://twitter.com/i/web/status/1285204498911244289', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
15,2020-07-20 13:26:44,1285204496033779712,"@jiz_dominant ジズさんとこいいですね😊
ついでにカラオケも
作ってしまったらいいかも笑","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jiz_dominant', 'name': 'Jiz【ジズ】', 'id': 1210895278837907456, 'id_str': '1210895278837907456', 'indices': [0, 13]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
16,2020-07-20 13:25:25,1285204165363478533,"RT @narodniknihovna: 79 let by se dnes dožil textař, spisovatel a dramatik Jiří Grossmann. Stále populární koncept slevy, která není zadarm…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'narodniknihovna', 'name': 'Národní knihovna ČR', 'id': 279773272, 'id_str': '279773272', 'indices': [3, 19]}], 'urls': []}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
17,2020-07-20 13:24:05,1285203828720242688,@hojsadlo Bohudík již dlouho ne. Naposledy jsem z jeho vystoupení odešel  ve Sluníčku v Dětském domě v Praze v r.1968.🎩,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hojsadlo', 'name': 'hojsadlo 🇨🇿', 'id': 523804084, 'id_str': '523804084', 'indices': [0, 9]}], 'urls': []}","{'iso_language_code': 'cs', 'result_type': 'recent'}"
