,0,1,2,3,4
0,2020-07-20 13:51:23,1285210698079846401,"MISSION 2 Abolish the UNITED STATES
Meanwhile the UNITED ALLIED STATES NWO Website has built the LEGAL Framework Co… https://t.co/e7AY6sLeGb","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/e7AY6sLeGb', 'expanded_url': 'https://twitter.com/i/web/status/1285210698079846401', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:40:58,1285208079383044097,RT @IslamicVanguard: Your Blood is Halal for us Muslims Ya Kaffir Rafidhi filth,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IslamicVanguard', 'name': 'Student 🏴', 'id': 1226350705327443969, 'id_str': '1226350705327443969', 'indices': [3, 19]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:40:25,1285207939481866240,"RT @iMac_too: Dear All Those Who Matter, whenever Ayodhya temple construction begins &amp; completes DO NOT invite Mulayam &amp; his clan out of po…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iMac_too', 'name': 'iMac_too', 'id': 120649992, 'id_str': '120649992', 'indices': [3, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 13:39:10,1285207626964299777,"RT @RupaBaikampady: @singhsanjaychau Let her explain the terms of her religion, like Kaffir, jehadi, etc. if she has guts.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RupaBaikampady', 'name': 'Rupa B', 'id': 3006556224, 'id_str': '3006556224', 'indices': [3, 18]}, {'screen_name': 'singhsanjaychau', 'name': 'Sanjay Chauhan', 'id': 831127089025781760, 'id_str': '831127089025781760', 'indices': [20, 36]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 13:29:57,1285205304918114305,"@moh_narif @huccops astaghfirullah, supprime kaffir ! le jugement n'appartient qu'a Allah","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'moh_narif', 'name': 'Spow Spow', 'id': 1283171587148177410, 'id_str': '1283171587148177410', 'indices': [0, 10]}, {'screen_name': 'huccops', 'name': 'Hugo', 'id': 1260213644408819713, 'id_str': '1260213644408819713', 'indices': [11, 19]}], 'urls': []}","{'iso_language_code': 'fr', 'result_type': 'recent'}"
5,2020-07-20 13:11:30,1285200663543115776,"RT @puspendraarmy: #AjayPandita

He was killed because he used to use ""Bharti"" in his name.

He was killed because he was happy Cancer Arti…","{'hashtags': [{'text': 'AjayPandita', 'indices': [19, 31]}], 'symbols': [], 'user_mentions': [{'screen_name': 'puspendraarmy', 'name': 'Puspendra Kulshresth', 'id': 301912709, 'id_str': '301912709', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 13:07:03,1285199544334995456,"@singhsanjaychau Let her explain the terms of her religion, like Kaffir, jehadi, etc. if she has guts.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'singhsanjaychau', 'name': 'Sanjay Chauhan', 'id': 831127089025781760, 'id_str': '831127089025781760', 'indices': [0, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 13:03:47,1285198722574344193,RT @ShefVaidya: And THIS is why @ReallySwara will ALWAYS remain a ‘B-grade needy actress’ despite her attempts to ingratiate herself with #…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ShefVaidya', 'name': 'Shefali Vaidya.', 'id': 1934388686, 'id_str': '1934388686', 'indices': [3, 14]}, {'screen_name': 'ReallySwara', 'name': 'Swara Bhasker', 'id': 1546101560, 'id_str': '1546101560', 'indices': [32, 44]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 12:55:16,1285196578014113795,RT @Sanjay_Dixit: India is the only country  where something called secularism was used as a substitute for integrative governance &amp; the em…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Sanjay_Dixit', 'name': 'Sanjay Dixit ಸಂಜಯ್ ದೀಕ್ಷಿತ್ संजय दीक्षित', 'id': 101779040, 'id_str': '101779040', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 12:48:18,1285194822429507588,"RT @puspendraarmy: #AjayPandita

He was killed because he used to use ""Bharti"" in his name.

He was killed because he was happy Cancer Arti…","{'hashtags': [{'text': 'AjayPandita', 'indices': [19, 31]}], 'symbols': [], 'user_mentions': [{'screen_name': 'puspendraarmy', 'name': 'Puspendra Kulshresth', 'id': 301912709, 'id_str': '301912709', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
