,0,1,2,3,4
0,2020-07-20 13:52:18,1285210929307713536,RT @carlosyunasty: “ill take a shot if you take a shot”,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'carlosyunasty', 'name': 'Carlos ⚠︎︎', 'id': 2268095693, 'id_str': '2268095693', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:52:14,1285210912370995200,"@angkarana ; Yang lain 'idih kinky amat', alu 'idih ogah amat'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'angkarana', 'name': 'Angkarana G. Widjanarko', 'id': 402590415, 'id_str': '402590415', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
2,2020-07-20 13:51:30,1285210727242960897,#sneakers #hair Black Kinky Curly Lace Virgin Human Hair Closure https://t.co/1NHWzZIwAs https://t.co/Y61mp9ZZ5X,"{'hashtags': [{'text': 'sneakers', 'indices': [0, 9]}, {'text': 'hair', 'indices': [10, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1NHWzZIwAs', 'expanded_url': 'https://glamhairs.com/black-kinky-curly-lace-virgin-human-hair-closure/', 'display_url': 'glamhairs.com/black-kinky-cu…', 'indices': [65, 88]}], 'media': [{'id': 1285210723631730693, 'id_str': '1285210723631730693', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/EdX8WAOXkAUC4aQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdX8WAOXkAUC4aQ.jpg', 'url': 'https://t.co/Y61mp9ZZ5X', 'display_url': 'pic.twitter.com/Y61mp9ZZ5X', 'expanded_url': 'https://twitter.com/glamhairs/status/1285210727242960897/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1000, 'h': 1000, 'resize': 'fit'}, 'large': {'w': 1000, 'h': 1000, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 13:51:05,1285210622645407744,@LisaPortillo9 @FrankKane11 @abhorrently_urs @KayOfTheDead666 @RavenLunachick @kreepazoidkelly @queen_haus… https://t.co/tH6biiyTsK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LisaPortillo9', 'name': 'HorrorNerd_13', 'id': 1174106147328012291, 'id_str': '1174106147328012291', 'indices': [0, 14]}, {'screen_name': 'FrankKane11', 'name': ""Kane's Street Smarts"", 'id': 2337165018, 'id_str': '2337165018', 'indices': [15, 27]}, {'screen_name': 'abhorrently_urs', 'name': 'Abhorrently_Yours', 'id': 1279367142, 'id_str': '1279367142', 'indices': [28, 44]}, {'screen_name': 'KayOfTheDead666', 'name': 'Kayla', 'id': 1204799570368237568, 'id_str': '1204799570368237568', 'indices': [45, 61]}, {'screen_name': 'RavenLunachick', 'name': '❥Raven❥', 'id': 41689806, 'id_str': '41689806', 'indices': [62, 77]}, {'screen_name': 'kreepazoidkelly', 'name': 'KREEPAZOIDKELLY', 'id': 18229321, 'id_str': '18229321', 'indices': [78, 94]}, {'screen_name': 'queen_haus', 'name': 'Talia haus', 'id': 877237468138844160, 'id_str': '877237468138844160', 'indices': [95, 106]}], 'urls': [{'url': 'https://t.co/tH6biiyTsK', 'expanded_url': 'https://twitter.com/i/web/status/1285210622645407744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 13:50:46,1285210544484552704,"RT @Task_Mistress: Looking for a STRICT DEVIOUS MISTRESS for

ONLINE DOMINATION
SLAVETASKS
SISSYTASKS / SISSY TRAINING
CEI
HUMILIATION
AND…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Task_Mistress', 'name': '😈THE DEVIOUS TASK MISTRESS😈™️©️ KINKY SLAVETASKS', 'id': 3460057456, 'id_str': '3460057456', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 13:50:45,1285210540625756161,@effingrandy1 @OleanderNectar @JennaEllisEsq Don’t forget Trump’s kinky recommendation for UV light ANAL penetrations.,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'effingrandy1', 'name': 'Big D Daddy from Cincinnati 🌊 🆘', 'id': 1200842279717679111, 'id_str': '1200842279717679111', 'indices': [0, 13]}, {'screen_name': 'OleanderNectar', 'name': 'Magnolia Viper', 'id': 934517509440536576, 'id_str': '934517509440536576', 'indices': [14, 29]}, {'screen_name': 'JennaEllisEsq', 'name': 'Jenna Ellis', 'id': 778763106289758208, 'id_str': '778763106289758208', 'indices': [30, 44]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 13:50:44,1285210534464442370,"@Alyssa_Milano Trumpy Bear makes a great gift, and marks a significant part of history. Why was Alyssa Milano, if t… https://t.co/9tlqaCoMhl","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Alyssa_Milano', 'name': 'Alyssa Milano', 'id': 26642006, 'id_str': '26642006', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/9tlqaCoMhl', 'expanded_url': 'https://twitter.com/i/web/status/1285210534464442370', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 13:50:40,1285210517737549825,@FrankKane11 @abhorrently_urs @KayOfTheDead666 @RavenLunachick @kreepazoidkelly @queen_haus @Noor99312… https://t.co/s70UgucJe0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FrankKane11', 'name': ""Kane's Street Smarts"", 'id': 2337165018, 'id_str': '2337165018', 'indices': [0, 12]}, {'screen_name': 'abhorrently_urs', 'name': 'Abhorrently_Yours', 'id': 1279367142, 'id_str': '1279367142', 'indices': [13, 29]}, {'screen_name': 'KayOfTheDead666', 'name': 'Kayla', 'id': 1204799570368237568, 'id_str': '1204799570368237568', 'indices': [30, 46]}, {'screen_name': 'RavenLunachick', 'name': '❥Raven❥', 'id': 41689806, 'id_str': '41689806', 'indices': [47, 62]}, {'screen_name': 'kreepazoidkelly', 'name': 'KREEPAZOIDKELLY', 'id': 18229321, 'id_str': '18229321', 'indices': [63, 79]}, {'screen_name': 'queen_haus', 'name': 'Talia haus', 'id': 877237468138844160, 'id_str': '877237468138844160', 'indices': [80, 91]}, {'screen_name': 'Noor99312', 'name': '𝔑𝔒𝔒ℜ(G̷o̷t̷h̷i̷c̷ g̷i̷r̷l̷)', 'id': 1236775098100731905, 'id_str': '1236775098100731905', 'indices': [92, 102]}], 'urls': [{'url': 'https://t.co/s70UgucJe0', 'expanded_url': 'https://twitter.com/i/web/status/1285210517737549825', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:50:37,1285210507763494912,@vrijgazelle I love your kinky mind,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vrijgazelle', 'name': 'Vrijgazelle', 'id': 1050067100365189126, 'id_str': '1050067100365189126', 'indices': [0, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 13:50:35,1285210498946920448,"I made the introduction pages of Napon last year as well.

What's on the 3rd page is the original idea to create hi… https://t.co/9SOK8VURyJ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9SOK8VURyJ', 'expanded_url': 'https://twitter.com/i/web/status/1285210498946920448', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
