,0,1,2,3,4
0,2020-07-20 13:52:22,1285210947309772804,Ben de az değilim ne dallara kondum ama yuvam senin ağacında,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
1,2020-07-20 13:28:41,1285204986247491585,kuş gibi uçtum geldim kondum bağrına,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
2,2020-07-20 13:26:18,1285204386646495233,@betull_3434 beni dolandırdılar betül bana yüz kontör at şov yapacam dedi köntörü attım şov yok valla enayi yerine… https://t.co/IP5LjNzMUh,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'betull_3434', 'name': 'Betül Erdemir', 'id': 1229677662580494337, 'id_str': '1229677662580494337', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/IP5LjNzMUh', 'expanded_url': 'https://twitter.com/i/web/status/1285204386646495233', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
3,2020-07-20 12:02:01,1285183177997328385,@aysubiiryan baharda kuşlar gibi geldin kondum dalıma 🍁🍀🌹,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aysubiiryan', 'name': 'aysu', 'id': 899955907894927360, 'id_str': '899955907894927360', 'indices': [0, 12]}], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
4,2020-07-20 10:07:07,1285154260162875392,"Seni buldum rüyalarda
Ufkumu sardı gözlerin
Kondum aşkın mirasına
Yarınları ben vurmadım

Seni buldum rüyalarda
Ufk… https://t.co/zpkOJunVVR","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zpkOJunVVR', 'expanded_url': 'https://twitter.com/i/web/status/1285154260162875392', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
5,2020-07-20 09:24:04,1285143425772335104,"sonra dönüyormuş. Bu sene Corona salgını hortlayınca bana gün doğdu, cennete kondum, tabii bu haberle paçam tutuştu… https://t.co/pBc2zmzLSc","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pBc2zmzLSc', 'expanded_url': 'https://twitter.com/i/web/status/1285143425772335104', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
6,2020-07-20 07:23:02,1285112968355749888,"Bende az değilim, ne dallara kondum!
Ama yuvam senin ağacında","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
7,2020-07-20 07:01:07,1285107450950176769,"""Kaygusuz, deli bir kuştum,
Senin dalına kondum..""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
8,2020-07-19 23:56:46,1285000661902528512,"Bum bum bum
Daldan hop dala uçtum
Sonunda bir dala kondum
Nedir bu daldaki durum🎶","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
9,2020-07-19 23:09:44,1284988827006885889,"Ben de az değilim, ne dallara kondum!
Ama yuvam senin ağacında.. 🎶","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
10,2020-07-19 21:29:58,1284963717780836352,"RT @rabiayseel: ben de az değilim, ne dallara kondum ama yuvam senin ağacında.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rabiayseel', 'name': 'asena', 'id': 837380627154485251, 'id_str': '837380627154485251', 'indices': [3, 14]}], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
11,2020-07-19 20:57:49,1284955626855182343,Bende az değilim ne dallara kondum ama yuvam senin ağacında.,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
