,0,1,2,3,4
0,2020-07-20 13:45:11,1285209139514421250,@leticia_kooch a vontade de emagrecer é grande kkkkkkkkkkk,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'leticia_kooch', 'name': 'loirinha', 'id': 826103826906284032, 'id_str': '826103826906284032', 'indices': [0, 14]}], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}"
1,2020-07-20 13:38:52,1285207549390643200,"@sunilminglani Bhoojo to Jaano
Es paheli ko smjhne ke liye Bulletin join kr lo bhaiyo jindagi mst ho jayegi.
Pappu… https://t.co/AhzoORn8Q1","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sunilminglani', 'name': 'Sunil Minglani', 'id': 3069729667, 'id_str': '3069729667', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/AhzoORn8Q1', 'expanded_url': 'https://twitter.com/i/web/status/1285207549390643200', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
2,2020-07-20 12:51:36,1285195656177635329,"تیرا جانا سینے تیر وانگو وجدا 

 https://t.co/7XMk0QAWrM","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7XMk0QAWrM', 'expanded_url': 'https://music.apple.com/us/album/kooch-na-karin/1420547618?i=1420548471', 'display_url': 'music.apple.com/us/album/kooch…', 'indices': [33, 56]}]}","{'iso_language_code': 'ur', 'result_type': 'recent'}"
3,2020-07-20 12:50:56,1285195488447197184,"@HomelandKen @michellemalkin Propaganda Mad Libs again. 

*minimum three vague adjectival labels—to make opposition… https://t.co/HmqNRLsHG1","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HomelandKen', 'name': 'Acting Deputy Secretary Ken Cuccinelli', 'id': 1139166385966374913, 'id_str': '1139166385966374913', 'indices': [0, 12]}, {'screen_name': 'michellemalkin', 'name': 'Michelle Malkin', 'id': 15976697, 'id_str': '15976697', 'indices': [13, 28]}], 'urls': [{'url': 'https://t.co/HmqNRLsHG1', 'expanded_url': 'https://twitter.com/i/web/status/1285195488447197184', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 12:25:08,1285188995102715904,¿Por qué elegir Kóoch Green Cosmetics? https://t.co/paZ0kLfkdH,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/paZ0kLfkdH', 'expanded_url': 'https://koochgreencosmetics-com.myshopify.com/blogs/actualidad/por-que-elegir-kooch-green-cosmetics', 'display_url': 'koochgreencosmetics-com.myshopify.com/blogs/actualid…', 'indices': [39, 62]}]}","{'result_type': 'recent', 'iso_language_code': 'ca'}"
5,2020-07-20 11:34:28,1285176242598113281,"RT @d_9249: @VinayDokania Brilliant &amp; Well explained...

 Arr oh Gobar @sambitswaraj kooch samaz aaya kya bey...","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'd_9249', 'name': 'D The Praveen', 'id': 2995938612, 'id_str': '2995938612', 'indices': [3, 10]}, {'screen_name': 'VinayDokania', 'name': 'Vinay Kumar Dokania🇮🇳 | विनय कुमार डोकानिया', 'id': 42197010, 'id_str': '42197010', 'indices': [12, 25]}, {'screen_name': 'sambitswaraj', 'name': 'Sambit Patra', 'id': 1368737382, 'id_str': '1368737382', 'indices': [75, 88]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 11:09:49,1285170041663758342,"@SeharKamran @AbbTakk Senator Sahib, ayei’n ab kooch karei’n","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SeharKamran', 'name': 'Senator Sehar Kamran T.I.', 'id': 43112080, 'id_str': '43112080', 'indices': [0, 12]}, {'screen_name': 'AbbTakk', 'name': 'AbbTakk', 'id': 1017158666, 'id_str': '1017158666', 'indices': [13, 21]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
7,2020-07-20 10:56:11,1285166610890715137,"@VinayDokania Brilliant &amp; Well explained...

 Arr oh Gobar @sambitswaraj kooch samaz aaya kya bey...","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VinayDokania', 'name': 'Vinay Kumar Dokania🇮🇳 | विनय कुमार डोकानिया', 'id': 42197010, 'id_str': '42197010', 'indices': [0, 13]}, {'screen_name': 'sambitswaraj', 'name': 'Sambit Patra', 'id': 1368737382, 'id_str': '1368737382', 'indices': [63, 76]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 09:21:16,1285142723343908865,"RT @TheColistin: Man if this is nostalgia inducing then I am fucking ancient.

Insha Jee utho ab kooch karo... 😁","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheColistin', 'name': 'Sentinel', 'id': 1462169593, 'id_str': '1462169593', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 07:44:28,1285118361207095296,@justinplnt mujhe bahooth sara homework hai 😿 sab kooch lekhar dustbin mei phaenkkar soungi 🙈🙈,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'justinplnt', 'name': '⁷', 'id': 977207882759389184, 'id_str': '977207882759389184', 'indices': [0, 11]}], 'urls': []}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
10,2020-07-20 05:12:36,1285080141987753986,@IntroSpecktive 5 nights at the Krusty Kooch,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IntroSpecktive', 'name': 'Colin', 'id': 3149914751, 'id_str': '3149914751', 'indices': [0, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
11,2020-07-20 04:37:44,1285071367512248320,RT @SaiJaRahyHo: Insha g kooch kero ... SAB SOYE HJY HAIN🙄,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SaiJaRahyHo', 'name': 'Baaji not Baji', 'id': 1120422391287623680, 'id_str': '1120422391287623680', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
12,2020-07-20 04:36:39,1285071096631496704,Insha g kooch kero ... SAB SOYE HJY HAIN🙄,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
13,2020-07-20 04:34:48,1285070632091361281,@PaGalLarkee Tumhare Sochne Tak Hum Kooch Kar Lengay.,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PaGalLarkee', 'name': 'PaaGaL...!!!', 'id': 952114453, 'id_str': '952114453', 'indices': [0, 12]}], 'urls': []}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
14,2020-07-20 04:26:56,1285068649775022081,"RT @d_9249: @ReallySwara @DelhiPolice Dear Dost,

Kooch nahi hone wala h unless until you won't remove @narendramodi, @AmitShah &amp; Gobar @Ar…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'd_9249', 'name': 'D The Praveen', 'id': 2995938612, 'id_str': '2995938612', 'indices': [3, 10]}, {'screen_name': 'ReallySwara', 'name': 'Swara Bhasker', 'id': 1546101560, 'id_str': '1546101560', 'indices': [12, 24]}, {'screen_name': 'DelhiPolice', 'name': '#DilKiPolice Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [25, 37]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [103, 116]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [118, 127]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
15,2020-07-20 04:14:06,1285065419578060801,"@NerbieDansers Even there was, Kooch wouldn't be behind it","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NerbieDansers', 'name': 'UNAGARF', 'id': 1000678674, 'id_str': '1000678674', 'indices': [0, 14]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
16,2020-07-19 23:03:34,1284987273050681344,@VickyHyuga Phat kooch nice booty ur tung lips breasts nipps nec,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VickyHyuga', 'name': 'BigTittyVicky🦄', 'id': 1252673538072420353, 'id_str': '1252673538072420353', 'indices': [0, 11]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
17,2020-07-19 21:47:30,1284968130045833216,"RT @Bihar_se_hai: #TestingBadhaoBiharBachao

@NitishKumar ji kooch  karna hai ya ab bihar ko maharashtra bana  hi dijiyega . https://t.co/B…","{'hashtags': [{'text': 'TestingBadhaoBiharBachao', 'indices': [18, 43]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Bihar_se_hai', 'name': 'Bihar_se_hai', 'id': 862358154818072576, 'id_str': '862358154818072576', 'indices': [3, 16]}, {'screen_name': 'NitishKumar', 'name': 'Nitish Kumar', 'id': 143409075, 'id_str': '143409075', 'indices': [45, 57]}], 'urls': []}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
18,2020-07-19 19:10:58,1284928735775354880,@vikrantgupta73 pakistan jao or poocho cricket ki pdi h....sports tk pr kooch bcha nhi hoga bolne ko hna,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'vikrantgupta73', 'name': 'Vikrant Gupta', 'id': 135110894, 'id_str': '135110894', 'indices': [0, 15]}], 'urls': []}","{'iso_language_code': 'et', 'result_type': 'recent'}"
