,0,1,2,3,4
0,2020-07-20 13:54:19,1285211438319980545,@tsukidut Gua lebih capek kum,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tsukidut', 'name': 'kuma | WHERE TF IS NATSU', 'id': 949453946547875841, 'id_str': '949453946547875841', 'indices': [0, 9]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
1,2020-07-20 13:54:13,1285211412327993345,@GrettaMller5 sepet kuzu altın kum,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GrettaMller5', 'name': 'Gretta Mıller', 'id': 1283931677476229120, 'id_str': '1283931677476229120', 'indices': [0, 13]}], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
2,2020-07-20 13:53:42,1285211284460322816,@69_mazlum Sizlere çok güzel bir teklif Erdek deniz kum güneş rakı balık muhteşem bir ortam,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '69_mazlum', 'name': 'NİLSUYUN31 ATEŞİ32 🥃🥃🌹🌹', 'id': 999422762245554176, 'id_str': '999422762245554176', 'indices': [0, 10]}], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
3,2020-07-20 13:53:21,1285211195583148032,RT @kumandgo: pirates be like kum &amp; g’arrr,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kumandgo', 'name': 'Kum & Go', 'id': 18880366, 'id_str': '18880366', 'indices': [3, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 13:53:02,1285211112812810240,@GrettaMller5 kış tas kum para su,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GrettaMller5', 'name': 'Gretta Mıller', 'id': 1283931677476229120, 'id_str': '1283931677476229120', 'indices': [0, 13]}], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
5,2020-07-20 13:52:53,1285211075479310336,@swahilitimes Unatoa wap nguvu za Kum Crop Leo Messi 😳,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'swahilitimes', 'name': 'Swahili Times', 'id': 630605295, 'id_str': '630605295', 'indices': [0, 13]}], 'urls': []}","{'iso_language_code': 'und', 'result_type': 'recent'}"
6,2020-07-20 13:52:52,1285211072836841473,@GrettaMller5 kum abla puro,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GrettaMller5', 'name': 'Gretta Mıller', 'id': 1283931677476229120, 'id_str': '1283931677476229120', 'indices': [0, 13]}], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
7,2020-07-20 13:52:36,1285211004171882497,@BertaJo52883008 kum sabır dren halam,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BertaJo52883008', 'name': 'Berta Johnson', 'id': 1283931112427917312, 'id_str': '1283931112427917312', 'indices': [0, 16]}], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
8,2020-07-20 13:52:27,1285210969661157376,Rüyamda deniz kum güneş ile delirirken Ankara'nın asfaltına yapıştığım bir gün............,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
9,2020-07-20 13:52:20,1285210937872482306,@BertaJo52883008 bahar kum at,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BertaJo52883008', 'name': 'Berta Johnson', 'id': 1283931112427917312, 'id_str': '1283931112427917312', 'indices': [0, 16]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
10,2020-07-20 13:52:15,1285210916691283968,@Samedowski Deniz için Camel Beach e gidebilirisiniz. Tamamen kum ve deniz gidiyorsun belinde kalıyor. Çocuk için u… https://t.co/XoM3fJcOcg,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Samedowski', 'name': 'Samedov', 'id': 187112050, 'id_str': '187112050', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/XoM3fJcOcg', 'expanded_url': 'https://twitter.com/i/web/status/1285210916691283968', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
