,0,1,2,3,4
0,2020-07-20 12:52:42,1285195929797054464,"Don't be shy. Score a job like ""FT - Delivery Driver"" at Lowe's by asking for referrals. It's a great way to get a… https://t.co/IPEpMY1szQ","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IPEpMY1szQ', 'expanded_url': 'https://twitter.com/i/web/status/1285195929797054464', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 10:48:19,1285164628947984387,"RT @SarahMarquezzz: Let me remind y’all it’s been 2 years and still NO charges have been filed on Jeanette Maria, the driver who killed thi…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SarahMarquezzz', 'name': 'Sarahi', 'id': 287046069, 'id_str': '287046069', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 04:35:23,1285070778254323714,gagi kahapon diko lam na ako pala yong inaano nung tricy driver sa bambang galet na galet si ano hmp!!!! https://t.co/wscRiGAC51,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wscRiGAC51', 'expanded_url': 'https://twitter.com/neamelissa_/status/1284617204269449224', 'display_url': 'twitter.com/neamelissa_/st…', 'indices': [105, 128]}]}","{'iso_language_code': 'tl', 'result_type': 'recent'}"
3,2020-07-20 04:27:28,1285068786026962946,RT @RedWingGrips: A gunman dressed as a FedEx delivery driver went to the home of Federal Judge Esther Salas tonight - shot her husband and…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RedWingGrips', 'name': 'John D ●', 'id': 1083551928821448710, 'id_str': '1083551928821448710', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 01:20:18,1285021685100445697,RT @ShyamalaKamaln1: @sansbarrier Did u see.. mind your words scoundrel. Few yrs back bcoz of ashram school driver negligence 3yrs old girl…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ShyamalaKamaln1', 'name': 'sk', 'id': 1106982938288128000, 'id_str': '1106982938288128000', 'indices': [3, 19]}, {'screen_name': 'sansbarrier', 'name': 'kishore k swamy', 'id': 101700029, 'id_str': '101700029', 'indices': [21, 33]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-19 23:28:31,1284993550405574662,RT @ShyamalaKamaln1: @sansbarrier Did u see.. mind your words scoundrel. Few yrs back bcoz of ashram school driver negligence 3yrs old girl…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ShyamalaKamaln1', 'name': 'sk', 'id': 1106982938288128000, 'id_str': '1106982938288128000', 'indices': [3, 19]}, {'screen_name': 'sansbarrier', 'name': 'kishore k swamy', 'id': 101700029, 'id_str': '101700029', 'indices': [21, 33]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-19 18:29:43,1284918358471630848,@sansbarrier Did u see.. mind your words scoundrel. Few yrs back bcoz of ashram school driver negligence 3yrs old g… https://t.co/HwEzBI3Qjc,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sansbarrier', 'name': 'kishore k swamy', 'id': 101700029, 'id_str': '101700029', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/HwEzBI3Qjc', 'expanded_url': 'https://twitter.com/i/web/status/1284918358471630848', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-19 17:50:44,1284908547982016512,"RT @FosterFriess: Bus Driver Darnell Barton was on his route when he saw a woman on a bridge about to take her life.

Barton pulled over, h…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FosterFriess', 'name': 'Foster Friess', 'id': 19742444, 'id_str': '19742444', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-19 10:35:23,1284798986369597441,"@GroVesHag Jeg kjøper ikke brus, sjokolade eller tilsvarende nå. Grensa er stengt. Ser etter 50% varer og for tak i… https://t.co/CQJisaQ7ut","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GroVesHag', 'name': 'Gròa™️', 'id': 312269694, 'id_str': '312269694', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/CQJisaQ7ut', 'expanded_url': 'https://twitter.com/i/web/status/1284798986369597441', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'no', 'result_type': 'recent'}"
9,2020-07-18 14:56:14,1284502243891265537,RT @RealJamesWoods: My cousin was a taxi driver in Florida and was shot in the head by a savage for the $19 he had in his cab.  I’ll scream…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RealJamesWoods', 'name': 'James Woods', 'id': 78523300, 'id_str': '78523300', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
10,2020-07-18 02:41:34,1284317359134531584,@niesheyzel driver be like : dah kenapa budak buang tebiat ke duk posing ii lam kereta,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'niesheyzel', 'name': 'heynìes', 'id': 1189189810692296706, 'id_str': '1189189810692296706', 'indices': [0, 11]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
11,2020-07-17 20:56:22,1284230484827033601,RT @johndumelo1: Loving Feenix as I find out more about them.They not only support charity with every trip booked but are also the only app…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'johndumelo1', 'name': 'MrDumelo', 'id': 266025901, 'id_str': '266025901', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
12,2020-07-17 17:18:46,1284175727017918464,"RT @AmyMek: Two men have been arrested after a police officer was seriously injured after being violently dragged along by a car

Police re…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AmyMek', 'name': 'Amy Mek', 'id': 954124423, 'id_str': '954124423', 'indices': [3, 10]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
13,2020-07-17 16:28:26,1284163059993284608,"145
One of my main bitch! Kahit ayaw mong sabihin kahit isang beses na wholesome ako, mahal parin kita! Makakapag s… https://t.co/z6vL4lqzDh","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/z6vL4lqzDh', 'expanded_url': 'https://twitter.com/i/web/status/1284163059993284608', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'tl', 'result_type': 'recent'}"
14,2020-07-17 12:52:10,1284108634280976384,"Interested in a job in #Monroe, LA? This could be a great fit. Click the link in our bio to apply: FT - Delivery Dr… https://t.co/vMIR8hDWky","{'hashtags': [{'text': 'Monroe', 'indices': [23, 30]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/vMIR8hDWky', 'expanded_url': 'https://twitter.com/i/web/status/1284108634280976384', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
15,2020-07-16 21:16:00,1283873038417698819,ड्राइवर पिया डर लगSता Driver Piya Darr Lam Ra,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'und', 'result_type': 'recent'}"
16,2020-07-16 17:34:50,1283817379408105473,"RT @UbuhleAngela: Code 14 Driver needed with PDP -+ 3 years 
Exp in cross border able to start asap .Passport and clear record. Exp in Truc…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UbuhleAngela', 'name': 'Ubuhle Angela', 'id': 52018890, 'id_str': '52018890', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
17,2020-07-15 15:27:45,1283423011379523585,"@lizita89 @LouLovegood En inglés dice cualquier cosa, le parece a nuestro driver de greyhound jajajsjsjajaja
Re rápido gua'u in english 🤣🤣🤣","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lizita89', 'name': 'Lizzi Almada!', 'id': 46535691, 'id_str': '46535691', 'indices': [0, 9]}, {'screen_name': 'LouLovegood', 'name': 'Luna♡', 'id': 1711410354, 'id_str': '1711410354', 'indices': [10, 22]}], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
18,2020-07-15 14:19:45,1283405899961262082,"Can you recommend anyone for this job in #Monroe, LA? https://t.co/pSpp9sRime #Transportation","{'hashtags': [{'text': 'Monroe', 'indices': [41, 48]}, {'text': 'Transportation', 'indices': [78, 93]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pSpp9sRime', 'expanded_url': 'https://bit.ly/3ewoefA', 'display_url': 'bit.ly/3ewoefA', 'indices': [54, 77]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
19,2020-07-15 09:27:30,1283332349996851203,@JournoManDan I’m late too his but I think if we’re talking what’s the apex of his style it’s Baby Driver for sure.… https://t.co/XoBVtBdML7,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JournoManDan', 'name': 'Dan Webb', 'id': 761258884568850432, 'id_str': '761258884568850432', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/XoBVtBdML7', 'expanded_url': 'https://twitter.com/i/web/status/1283332349996851203', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
20,2020-07-14 09:19:52,1282968041626664962,"The Troski I just entered erh there is no horn in the car so the driver is using his mouth to do pim pim pim,is this not madness ??","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
21,2020-07-14 03:09:30,1282874837149585409,@Ja35127 @Jushua_45 @samontemarjo HAHA LAM MO NMAN ANG MGA BAKLA DRAMA RAMA SA HAPON. EH SA SIMULA PA LANG YUN EH B… https://t.co/BpcB7Duoqu,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ja35127', 'name': 'Ja', 'id': 962474877427924992, 'id_str': '962474877427924992', 'indices': [0, 8]}, {'screen_name': 'Jushua_45', 'name': 'Josh M.', 'id': 854454582738509826, 'id_str': '854454582738509826', 'indices': [9, 19]}, {'screen_name': 'samontemarjo', 'name': 'Samontemarjo 27k', 'id': 1278166820512382976, 'id_str': '1278166820512382976', 'indices': [20, 33]}], 'urls': [{'url': 'https://t.co/BpcB7Duoqu', 'expanded_url': 'https://twitter.com/i/web/status/1282874837149585409', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'tl', 'result_type': 'recent'}"
22,2020-07-13 22:22:24,1282802584999178240,Love when the lyft driver sees my last name and cancels the ride lmfao “iont want that moos lam in my car”,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
23,2020-07-13 09:21:08,1282605973966856193,"@lam_pard1 Off course u fooled the taxi driver, hope say u go fit chop","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lam_pard1', 'name': 'Stephen Asare', 'id': 1136375180526260224, 'id_str': '1136375180526260224', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
24,2020-07-13 09:13:10,1282603968380764160,"Just this morning I fooled a taxi driver 
I paid him and I didn't enter the taxi and I ran away koraa 
Good morning😝😝 #Sydehassle","{'hashtags': [{'text': 'Sydehassle', 'indices': [118, 129]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
25,2020-07-12 13:39:35,1282308626934140928,"RT @jenniferatntd: When #CCP demolish your house, what is destroyed is not only the house. Do you see there is a driver in the van?
Demolis…","{'hashtags': [{'text': 'CCP', 'indices': [24, 28]}], 'symbols': [], 'user_mentions': [{'screen_name': 'jenniferatntd', 'name': 'Jennifer Zeng 曾錚', 'id': 2313027666, 'id_str': '2313027666', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
26,2020-07-12 12:52:15,1282296715316326400,RT @leach_deanna: Democrat violence is out of control! Hispanic Truck Driver Who Hates Trump Intentionally Swerves Into Traffic and Kills M…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'leach_deanna', 'name': 'Patriotic Night Owl (PNO) 🇺🇸', 'id': 2190330965, 'id_str': '2190330965', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
