,0,1,2,3,4
0,2020-07-20 13:39:36,1285207734342823938,"@arif_thaf02 @SpamBoogie @probablyemory @shanedawson he is literally calling kids sexy, made them twerk for him and… https://t.co/R4ewGSxahm","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'arif_thaf02', 'name': '𝚊𝚛𝚒𝚏 𝚝𝚑𝚊𝚏𝚊𝚍𝚎𝚛 ✰\U0001f90d', 'id': 864891064846561280, 'id_str': '864891064846561280', 'indices': [0, 12]}, {'screen_name': 'SpamBoogie', 'name': 'spam.ham.boogie.man', 'id': 1269713135222632453, 'id_str': '1269713135222632453', 'indices': [13, 24]}, {'screen_name': 'probablyemory', 'name': 'emo ree', 'id': 884909110252019712, 'id_str': '884909110252019712', 'indices': [25, 39]}, {'screen_name': 'shanedawson', 'name': 'Shane Dawson', 'id': 18588279, 'id_str': '18588279', 'indices': [40, 52]}], 'urls': [{'url': 'https://t.co/R4ewGSxahm', 'expanded_url': 'https://twitter.com/i/web/status/1285207734342823938', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:03:24,1285198622531956736,@Queen_Calz @likea_hostage this lapdance is so legendaryyyy,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Queen_Calz', 'name': 'Callietron 🤖', 'id': 1594487791, 'id_str': '1594487791', 'indices': [0, 11]}, {'screen_name': 'likea_hostage', 'name': '𝑩𝑬𝑳𝑳𝒀𝑨𝑪𝑯𝑬', 'id': 952947564080398336, 'id_str': '952947564080398336', 'indices': [12, 26]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 12:37:49,1285192184522854406,RT @OloriSupergal: Vee has broken her toilet virginity. She finds it difficult to do that otherwise but is setting into the house. She find…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OloriSupergal', 'name': '#BBNaijaLockdown', 'id': 69864648, 'id_str': '69864648', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 12:30:38,1285190376303853569,"Is your #protest #nonviolent?

Here's a simple assay:

Relocate your target from government buildings and vehicles… https://t.co/IyPr8j1R1c","{'hashtags': [{'text': 'protest', 'indices': [8, 16]}, {'text': 'nonviolent', 'indices': [17, 28]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IyPr8j1R1c', 'expanded_url': 'https://twitter.com/i/web/status/1285190376303853569', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 12:28:57,1285189955673890816,"@ashtonjonsey14 @kallykat2002 @op_coo @Eugenia_Cooney @bradktoll @shanedawson Yes, you say something to your friend… https://t.co/IbmUrCKXZ0","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ashtonjonsey14', 'name': '❤️ Ashton ❤️', 'id': 859656721, 'id_str': '859656721', 'indices': [0, 15]}, {'screen_name': 'kallykat2002', 'name': '🦋kallykat🦋', 'id': 84114386, 'id_str': '84114386', 'indices': [16, 29]}, {'screen_name': 'op_coo', 'name': 'һopє ċooʟ ɢıяʟ', 'id': 1277452926081011712, 'id_str': '1277452926081011712', 'indices': [30, 37]}, {'screen_name': 'Eugenia_Cooney', 'name': 'Eugenia Cooney', 'id': 21258709, 'id_str': '21258709', 'indices': [38, 53]}, {'screen_name': 'bradktoll', 'name': 'brad toll', 'id': 2932371946, 'id_str': '2932371946', 'indices': [54, 64]}, {'screen_name': 'shanedawson', 'name': 'Shane Dawson', 'id': 18588279, 'id_str': '18588279', 'indices': [65, 77]}], 'urls': [{'url': 'https://t.co/IbmUrCKXZ0', 'expanded_url': 'https://twitter.com/i/web/status/1285189955673890816', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 12:21:03,1285187967372402691,It was embarrassing. The lady talked to him and some Hive members acted like she had hopped onto Jay's lap and give… https://t.co/i6cQ2hromK,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/i6cQ2hromK', 'expanded_url': 'https://twitter.com/i/web/status/1285187967372402691', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 12:12:11,1285185734807363589,"@ashtonjonsey14 @kallykat2002 @op_coo @Eugenia_Cooney @bradktoll @shanedawson Joke = Saying something funny.
Pedoph… https://t.co/SQhTRzDQzn","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ashtonjonsey14', 'name': '❤️ Ashton ❤️', 'id': 859656721, 'id_str': '859656721', 'indices': [0, 15]}, {'screen_name': 'kallykat2002', 'name': '🦋kallykat🦋', 'id': 84114386, 'id_str': '84114386', 'indices': [16, 29]}, {'screen_name': 'op_coo', 'name': 'һopє ċooʟ ɢıяʟ', 'id': 1277452926081011712, 'id_str': '1277452926081011712', 'indices': [30, 37]}, {'screen_name': 'Eugenia_Cooney', 'name': 'Eugenia Cooney', 'id': 21258709, 'id_str': '21258709', 'indices': [38, 53]}, {'screen_name': 'bradktoll', 'name': 'brad toll', 'id': 2932371946, 'id_str': '2932371946', 'indices': [54, 64]}, {'screen_name': 'shanedawson', 'name': 'Shane Dawson', 'id': 18588279, 'id_str': '18588279', 'indices': [65, 77]}], 'urls': [{'url': 'https://t.co/SQhTRzDQzn', 'expanded_url': 'https://twitter.com/i/web/status/1285185734807363589', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 12:12:01,1285185694441381889,RT @SveriLanka: @Eugenia_Cooney @bradktoll @shanedawson I'm sorry but you can't just ignore anything negative in the world. That doesn't so…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SveriLanka', 'name': 'Veri', 'id': 1260081114, 'id_str': '1260081114', 'indices': [3, 14]}, {'screen_name': 'Eugenia_Cooney', 'name': 'Eugenia Cooney', 'id': 21258709, 'id_str': '21258709', 'indices': [16, 31]}, {'screen_name': 'bradktoll', 'name': 'brad toll', 'id': 2932371946, 'id_str': '2932371946', 'indices': [32, 42]}, {'screen_name': 'shanedawson', 'name': 'Shane Dawson', 'id': 18588279, 'id_str': '18588279', 'indices': [43, 55]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 12:00:28,1285182787784454144,"Her: i will give you lapdance, you will wash my clothes Him: Just lapdance?  🤣🤡 #bbnlockdown","{'hashtags': [{'text': 'bbnlockdown', 'indices': [80, 92]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 12:00:17,1285182742213414914,RT @OloriSupergal: Vee has broken her toilet virginity. She finds it difficult to do that otherwise but is setting into the house. She find…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OloriSupergal', 'name': '#BBNaijaLockdown', 'id': 69864648, 'id_str': '69864648', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
