,0,1,2,3,4
0,2020-07-20 11:00:37,1285167725745065987,FUCK I HATE LESBIN TEASE https://t.co/V138jl2Plm,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1285167716245086213, 'id_str': '1285167716245086213', 'indices': [25, 48], 'media_url': 'http://pbs.twimg.com/media/EdXVOpOWoAU2Lcx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdXVOpOWoAU2Lcx.jpg', 'url': 'https://t.co/V138jl2Plm', 'display_url': 'pic.twitter.com/V138jl2Plm', 'expanded_url': 'https://twitter.com/ushixelakaiii/status/1285167725745065987/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 473, 'h': 1024, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 473, 'h': 1024, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 05:58:52,1285091788529831936,guys lesbin deanna will be back later in the afternoon just let me have my moment with my boys,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 04:53:56,1285075443864018944,gay men don't have a flag :(( the rainbow is for everyone :(( boohoo u fags i've never seen a lesbin flag on any pr… https://t.co/MpMxkAvacO,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MpMxkAvacO', 'expanded_url': 'https://twitter.com/i/web/status/1285075443864018944', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 03:34:04,1285055345438732290,also LESBIAN VOGUING IN THE MV LESBIN VOGUING IN THE MV,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 00:11:39,1285004405230772224,@yvsflwr Lesbin JEJSKSKS,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yvsflwr', 'name': 'ً', 'id': 830199243134545923, 'id_str': '830199243134545923', 'indices': [0, 8]}], 'urls': []}","{'iso_language_code': 'lv', 'result_type': 'recent'}"
5,2020-07-20 00:08:01,1285003492088844293,@enbfsiry ill get u sum lesbin shoes baby,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'enbfsiry', 'name': 'ً', 'id': 1015702023067533314, 'id_str': '1015702023067533314', 'indices': [0, 9]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-19 22:42:02,1284981852470759431,@sowwybabe @sk8tergkk @szgars @flowerygukk idk she lesbin tho.,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sowwybabe', 'name': 's ✨ 🐋 ⁷ dont unfollow got s worded', 'id': 1148735410333462530, 'id_str': '1148735410333462530', 'indices': [0, 10]}, {'screen_name': 'sk8tergkk', 'name': 'ً 𖧵⁷', 'id': 897969893395632132, 'id_str': '897969893395632132', 'indices': [11, 21]}, {'screen_name': 'szgars', 'name': 'ri', 'id': 1094606433465892865, 'id_str': '1094606433465892865', 'indices': [22, 29]}, {'screen_name': 'flowerygukk', 'name': '✿𝐈𝐒𝐀⁷ᵛ¹⁰⁹', 'id': 1123728440849510400, 'id_str': '1123728440849510400', 'indices': [30, 42]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-19 20:16:43,1284945283374370816,@iiieliesesmh ok lesbin,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iiieliesesmh', 'name': 'eliese', 'id': 1072594231993090048, 'id_str': '1072594231993090048', 'indices': [0, 13]}], 'urls': []}","{'iso_language_code': 'fr', 'result_type': 'recent'}"
8,2020-07-19 19:11:47,1284928941690630146,Estoy probando la peor michelada de mi vida.,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
9,2020-07-19 19:04:24,1284927083538415617,RT @MaferMaferov: La verdad siempre sale por muy enterrada que este..,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaferMaferov', 'name': 'fer', 'id': 793244674710351873, 'id_str': '793244674710351873', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
