,0,1,2,3,4
0,2020-07-20 13:58:17,1285212435805360128,"ya da lez gibi davrandığınızda veyahut erkek ilgisi için barda kız öptüğünüzde, hoş değil cidden","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
1,2020-07-20 13:58:17,1285212434156916739,"küçük bir hatırlatma, 

hetero kızlar biliyorum erkeklerden nefret ediyo bir çoğunuz. fakat siz ""keşke lez olsam, b… https://t.co/UQxIEY0QQs","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UQxIEY0QQs', 'expanded_url': 'https://twitter.com/i/web/status/1285212434156916739', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
2,2020-07-20 13:57:17,1285212185015320580,"@panlisiecki Wqrwia mnie to niesamowicie, bo wydawało mi się, że już sobie wyjaśniliśmy na tym padole łez, że dawne… https://t.co/Nu7Nu3QW9Y","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'panlisiecki', 'name': 'Lisu', 'id': 1121047318466318342, 'id_str': '1121047318466318342', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/Nu7Nu3QW9Y', 'expanded_url': 'https://twitter.com/i/web/status/1285212185015320580', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'pl', 'result_type': 'recent'}"
3,2020-07-20 13:57:03,1285212124487094273,@ichijouracku LEZ GOOOOO MY TWEET MADE IT LOL,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ichijouracku', 'name': '•𝐊𝐚𝐥ʰⁿᵏ ɪs ᴘʟᴀʏɪɴɢ HWC•', 'id': 1282228416121458691, 'id_str': '1282228416121458691', 'indices': [0, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 13:56:55,1285212092635795458,"@Temi_talks LOOOOOL okay okayyyy next year Masha'Allah!!!! Lez do ittt and Omo I know they'll hate me, they'll say my own is tooo much","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Temi_talks', 'name': 'Temi', 'id': 263353542, 'id_str': '263353542', 'indices': [0, 11]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 13:56:51,1285212075195658242,Nangunguna na uli waaaah lez go,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
6,2020-07-20 13:56:20,1285211947063894017,"@heelsnitaehyung @BTS_twt LEZ GET IT!
@BTS_twt for #VMAs2020
@BTS_twt for #AMAs2020 
#MTVHottest BTS @BTS_twt","{'hashtags': [{'text': 'VMAs2020', 'indices': [51, 60]}, {'text': 'AMAs2020', 'indices': [74, 83]}, {'text': 'MTVHottest', 'indices': [85, 96]}], 'symbols': [], 'user_mentions': [{'screen_name': 'heelsnitaehyung', 'name': '𝐓𝐀𝐊𝐎𝐍𝐆⁷ ⟭⟬ @CDLVotingTeam', 'id': 1212337257685733378, 'id_str': '1212337257685733378', 'indices': [0, 16]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [17, 25]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [38, 46]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [61, 69]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [101, 109]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 13:56:13,1285211916663771136,iki sap lez olma yolundayız ✌️✌️🥰🥰🤩🥳,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
8,2020-07-20 13:55:51,1285211825362006018,@TheElijahLeigh lez get it. HAHAHA https://t.co/SAjUp0A0Fv,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheElijahLeigh', 'name': 'elijah leigh.', 'id': 733329688228069377, 'id_str': '733329688228069377', 'indices': [0, 15]}], 'urls': [], 'media': [{'id': 1285211811571064833, 'id_str': '1285211811571064833', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/media/EdX9VVHUYAEp4zU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdX9VVHUYAEp4zU.jpg', 'url': 'https://t.co/SAjUp0A0Fv', 'display_url': 'pic.twitter.com/SAjUp0A0Fv', 'expanded_url': 'https://twitter.com/adorasupremacy/status/1285211825362006018/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1024, 'h': 1024, 'resize': 'fit'}, 'medium': {'w': 1024, 'h': 1024, 'resize': 'fit'}}}]}","{'iso_language_code': 'tl', 'result_type': 'recent'}"
9,2020-07-20 13:55:48,1285211809163685888,@MinikcivcivAYFC @rmakbmy Ben öyle bir şey için dalga geçmedim bunu bil ve genelleme yapma. Ayrıca onu tag açıp da… https://t.co/CYGTulVY3I,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MinikcivcivAYFC', 'name': 'AYFC | MİNİK CİVCİV 🐥🇹🇷🇦🇿', 'id': 1278979013017468928, 'id_str': '1278979013017468928', 'indices': [0, 16]}, {'screen_name': 'rmakbmy', 'name': 'Irmak', 'id': 1263840511565213696, 'id_str': '1263840511565213696', 'indices': [17, 25]}], 'urls': [{'url': 'https://t.co/CYGTulVY3I', 'expanded_url': 'https://twitter.com/i/web/status/1285211809163685888', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
10,2020-07-20 13:55:18,1285211687088541697,@petitppois Lez go then https://t.co/mqzosQF3Ty,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'petitppois', 'name': 'Marcy', 'id': 2784478834, 'id_str': '2784478834', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1285211684555063297, 'id_str': '1285211684555063297', 'indices': [24, 47], 'media_url': 'http://pbs.twimg.com/media/EdX9N78WAAEg0L7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdX9N78WAAEg0L7.jpg', 'url': 'https://t.co/mqzosQF3Ty', 'display_url': 'pic.twitter.com/mqzosQF3Ty', 'expanded_url': 'https://twitter.com/Monica_Martins7/status/1285211687088541697/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 500, 'h': 263, 'resize': 'fit'}, 'medium': {'w': 500, 'h': 263, 'resize': 'fit'}, 'small': {'w': 500, 'h': 263, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
