,0,1,2,3,4
0,2020-07-20 13:52:50,1285211063600939008,"RT @wangjinbeom: 👨‍👩‍👧‍👦Hello! We all are here today!
👨‍👩‍👧‍👦Gent, say hi to uncle Bam. When you’re here, let’s have a trip
👨‍👩‍👧‍👦When you…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wangjinbeom', 'name': '王ジン범 🇹🇭🏟', 'id': 378675992, 'id_str': '378675992', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:51:48,1285210805450022918,"oh i’ll take advantage of this every time it comes up lezz get it baby:

Solo is the best Star Wars movie 😘 https://t.co/4hTuyj5RH5","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/4hTuyj5RH5', 'expanded_url': 'https://twitter.com/thatfanrex/status/1284529500328427525', 'display_url': 'twitter.com/thatfanrex/sta…', 'indices': [108, 131]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:51:22,1285210693545766914,RT @ky00ngchi: Konti na lang gap. Lezz do this. 💪🏻,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ky00ngchi', 'name': 'anj.', 'id': 1258658511711436802, 'id_str': '1258658511711436802', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
3,2020-07-20 13:51:16,1285210670955286529,Konti na lang gap. Lezz do this. 💪🏻,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
4,2020-07-20 13:50:28,1285210467166588928,@anma_arte Lezz buyyyy,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'anma_arte', 'name': 'Binibining Anita', 'id': 1967598283, 'id_str': '1967598283', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 13:48:48,1285210047820242944,"RT @GOT7CBinfo: Our truck is outside KBS and has already grabbed the attention of reporters! Thank you @KBSWorldTV!🚛💚

#JYPE_StopIgnoringAh…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GOT7CBinfo', 'name': 'GOT7 Comeback Thread', 'id': 1085206388123459585, 'id_str': '1085206388123459585', 'indices': [3, 14]}, {'screen_name': 'KBSWorldTV', 'name': 'KBS World TV', 'id': 110936556, 'id_str': '110936556', 'indices': [103, 114]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 13:46:59,1285209591702335488,"RT @Koreaboo: Here’s What GOT7’s Jinyoung And Shin Ye Eun Had To Say When Asked About Their First Impressions Of Each Other

https://t.co/2…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Koreaboo', 'name': 'Koreaboo', 'id': 96877126, 'id_str': '96877126', 'indices': [3, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 13:45:30,1285209219285708801,@esbjosefina lezz hope for the best 🙏🏻,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'esbjosefina', 'name': 'jo', 'id': 1099284187633246208, 'id_str': '1099284187633246208', 'indices': [0, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:42:56,1285208574012997632,@mcrsey LEZZ GOW!!!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mcrsey', 'name': 'rakka', 'id': 1108342188482543616, 'id_str': '1108342188482543616', 'indices': [0, 7]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 13:42:40,1285208506073841664,RT @sodubaejy: Lezz go wannables and fix!!!!!!!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sodubaejy', 'name': 'ja.', 'id': 954939496335687680, 'id_str': '954939496335687680', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
10,2020-07-20 13:41:28,1285208204469624834,@trazoguia lezz go! HAHAHAHA,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'trazoguia', 'name': 'lili', 'id': 526948888, 'id_str': '526948888', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'it', 'result_type': 'recent'}"
11,2020-07-20 13:40:24,1285207933714722817,RT @sodubaejy: Lezz go wannables and fix!!!!!!!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sodubaejy', 'name': 'ja.', 'id': 954939496335687680, 'id_str': '954939496335687680', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
12,2020-07-20 13:39:25,1285207688830267393,Lezz go wannables and fix!!!!!!!! https://t.co/rxDJn5Ku3A,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rxDJn5Ku3A', 'expanded_url': 'https://twitter.com/WannaDebut_twt/status/1285207042500644865', 'display_url': 'twitter.com/WannaDebut_twt…', 'indices': [34, 57]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
13,2020-07-20 13:39:20,1285207668840226825,lezz gow!!! https://t.co/1Hkwa0iGuz,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1Hkwa0iGuz', 'expanded_url': 'https://twitter.com/lovekarjack/status/1285200897388077057', 'display_url': 'twitter.com/lovekarjack/st…', 'indices': [12, 35]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
14,2020-07-20 13:34:25,1285206430887206912,@fleusiia @xxelestina lezz do dis!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fleusiia', 'name': 'fleusia • Comms Open', 'id': 1256023178469535744, 'id_str': '1256023178469535744', 'indices': [0, 9]}, {'screen_name': 'xxelestina', 'name': 'xelestina', 'id': 1283292045361049602, 'id_str': '1283292045361049602', 'indices': [10, 21]}], 'urls': []}","{'iso_language_code': 'pt', 'result_type': 'recent'}"
15,2020-07-20 13:34:17,1285206397429248000,"@TheCariCatured @voidjysn Gaganda natinnnnn. Nextime lezz 5-star naman
 Charooooot!","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheCariCatured', 'name': 'Cato', 'id': 147133484, 'id_str': '147133484', 'indices': [0, 15]}, {'screen_name': 'voidjysn', 'name': ""J's On"", 'id': 927740527, 'id_str': '927740527', 'indices': [16, 25]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
16,2020-07-20 13:33:13,1285206126372544513,@dami_dazzle Lezz have it! X2,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dami_dazzle', 'name': 'Spicy 🌶', 'id': 2727929054, 'id_str': '2727929054', 'indices': [0, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
17,2020-07-20 13:30:36,1285205467572998147,@dada54083102asd @ashwqashwq @Armani91515494 @Maya__micho @mariabent2020 @Rana_lezz @Yara437045821 @rna_sy123456788… https://t.co/BiryJnj5Rc,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dada54083102asd', 'name': '\u200fداليا طفلة ماما اشواق', 'id': 1225798927666044928, 'id_str': '1225798927666044928', 'indices': [0, 16]}, {'screen_name': 'ashwqashwq', 'name': 'اشواق الطيوبة', 'id': 1165294871806189568, 'id_str': '1165294871806189568', 'indices': [17, 28]}, {'screen_name': 'Armani91515494', 'name': '☆ ÂŘMÂŇİ ⚜', 'id': 1241805487554940931, 'id_str': '1241805487554940931', 'indices': [29, 44]}, {'screen_name': 'Maya__micho', 'name': '❤\u200fمِٱيّےـٱ💞مِےـيّےـوٌشّےـهےـِ❤', 'id': 1105445731933057024, 'id_str': '1105445731933057024', 'indices': [45, 57]}, {'screen_name': 'mariabent2020', 'name': 'الملكة ماريا', 'id': 1265805132316454914, 'id_str': '1265805132316454914', 'indices': [58, 72]}, {'screen_name': 'Rana_lezz', 'name': 'Rana', 'id': 1252609727005155328, 'id_str': '1252609727005155328', 'indices': [73, 83]}, {'screen_name': 'Yara437045821', 'name': 'يارا', 'id': 747515160802189312, 'id_str': '747515160802189312', 'indices': [84, 98]}, {'screen_name': 'rna_sy123456788', 'name': '🇸🇾Rnoo❣️🌈', 'id': 902708853405515776, 'id_str': '902708853405515776', 'indices': [99, 115]}], 'urls': [{'url': 'https://t.co/BiryJnj5Rc', 'expanded_url': 'https://twitter.com/i/web/status/1285205467572998147', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'ar', 'result_type': 'recent'}"
18,2020-07-20 13:27:21,1285204652259082241,@JolaNaah Kuhhhh lezz g na https://t.co/MCf2WZNztr,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JolaNaah', 'name': 'Jola', 'id': 871649850185719808, 'id_str': '871649850185719808', 'indices': [0, 9]}], 'urls': [], 'media': [{'id': 1285204641936859136, 'id_str': '1285204641936859136', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EdX20AJUYAABds-.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EdX20AJUYAABds-.jpg', 'url': 'https://t.co/MCf2WZNztr', 'display_url': 'pic.twitter.com/MCf2WZNztr', 'expanded_url': 'https://twitter.com/sassycessss/status/1285204652259082241/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 278, 'resize': 'fit'}, 'small': {'w': 498, 'h': 278, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 278, 'resize': 'fit'}}}]}","{'iso_language_code': 'in', 'result_type': 'recent'}"
19,2020-07-20 13:26:18,1285204387770642433,"RT @SagitarioRD: #SAGITARIO ♐ es un signo que aunque su vida sea un caos, sabe ayudar a los demás con buenos consejos.","{'hashtags': [{'text': 'SAGITARIO', 'indices': [17, 27]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SagitarioRD', 'name': 'SIGNO SAGITARIO♐', 'id': 2590221966, 'id_str': '2590221966', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
20,2020-07-20 13:26:04,1285204329792667648,"RT @kookiekyeopta1: [stolen]

FOR MY ETERNALLY 7, LEZZ GET IT!!
u can help if u want, and i'll appreciate it!!
#MTVHotttest BTS @BTS_twt ht…","{'hashtags': [{'text': 'MTVHotttest', 'indices': [111, 123]}], 'symbols': [], 'user_mentions': [{'screen_name': 'kookiekyeopta1', 'name': 'Eternally⁷', 'id': 1265911266918273025, 'id_str': '1265911266918273025', 'indices': [3, 18]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [128, 136]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
21,2020-07-20 13:25:07,1285204088179884033,Maybe la Vida te diga que estando ahí. No era ahí.  Y cuando te des cuenta. Sea demasiado tarde.,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
22,2020-07-20 13:24:36,1285203957669695488,"RT @seokmed: IF YOU'RE PART OF 27.2M ARMYs AND IF YOU'RE IN THIS BANGTAN SHIT FOR LIFE THEN REPLY, QUOTE, and RETWEET with '#MTVHottest BTS…","{'hashtags': [{'text': 'MTVHottest', 'indices': [124, 135]}], 'symbols': [], 'user_mentions': [{'screen_name': 'seokmed', 'name': 'ًelin⁷', 'id': 1248586403752980482, 'id_str': '1248586403752980482', 'indices': [3, 11]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
23,2020-07-20 13:24:15,1285203872844259328,"RT @Oviedosis: Tuve que atravesar el caos para encontrar mi paz; y estando en paz, marqué mis límites.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Oviedosis', 'name': 'Mamá Pingüino', 'id': 136432320, 'id_str': '136432320', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
24,2020-07-20 13:24:02,1285203816976125952,RT @Guarromantico_: Las personas que no estén en tu misma frecuencia evolutiva y espiritual se distanciarán de ti; mientras q todos aquello…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Guarromantico_', 'name': 'El Guarromántico', 'id': 550336226, 'id_str': '550336226', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
