,0,1,2,3,4
0,2020-07-20 13:48:58,1285210090086084609,"RT @markbeomnyoung: They danced to Poison with Bambam ❤️🐍

#WoodyFromHomexBamBam #GOT7 #갓세븐 @GOT7Official @BamBam1A https://t.co/yORoQR11cD","{'hashtags': [{'text': 'WoodyFromHomexBamBam', 'indices': [59, 80]}, {'text': 'GOT7', 'indices': [81, 86]}, {'text': '갓세븐', 'indices': [87, 91]}], 'symbols': [], 'user_mentions': [{'screen_name': 'markbeomnyoung', 'name': '니콜', 'id': 830281282588270592, 'id_str': '830281282588270592', 'indices': [3, 18]}, {'screen_name': 'GOT7Official', 'name': 'GOT7', 'id': 573299587, 'id_str': '573299587', 'indices': [92, 105]}, {'screen_name': 'BamBam1A', 'name': 'BamBam', 'id': 1429480158, 'id_str': '1429480158', 'indices': [106, 115]}], 'urls': [], 'media': [{'id': 1285200826386968582, 'id_str': '1285200826386968582', 'indices': [116, 139], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1285200826386968582/pu/img/sDOzxa7L4Y2men_G.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1285200826386968582/pu/img/sDOzxa7L4Y2men_G.jpg', 'url': 'https://t.co/yORoQR11cD', 'display_url': 'pic.twitter.com/yORoQR11cD', 'expanded_url': 'https://twitter.com/markbeomnyoung/status/1285201017814966272/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1285201017814966272, 'source_status_id_str': '1285201017814966272', 'source_user_id': 830281282588270592, 'source_user_id_str': '830281282588270592'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:48:32,1285209980916793353,"RT @got7forthewin: #JYPE_StopIgnoringAhgases is Trending 7th Worldwide and in 14 countries !🔥🐥

Keep using the hashtag baby birds 

#GOT7 #…","{'hashtags': [{'text': 'JYPE_StopIgnoringAhgases', 'indices': [19, 44]}, {'text': 'GOT7', 'indices': [132, 137]}], 'symbols': [], 'user_mentions': [{'screen_name': 'got7forthewin', 'name': 'Trend GOT7', 'id': 792042340194148352, 'id_str': '792042340194148352', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:48:15,1285209912616738818,RT @Woodytalk: คืนนี้มาแน่ “แบมแบม” GOT7 เตรียมตัวเปิดตำหนักเจ้าพ่อแบมแบมใครดูทันอาจได้เลขเด็ด?!? และของสำคัญเสื้อตัวนี้มีที่มา!! จะเป็นของ…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Woodytalk', 'name': 'WOODY', 'id': 21539210, 'id_str': '21539210', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
3,2020-07-20 13:47:42,1285209773021868038,RT @headlineplanet: .@JacksonWang852's 100 Ways officially enters Top 25 at pop radio | @jackharlow's WHATS POPPIN joins Top 30 https://t.c…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'headlineplanet', 'name': 'Headline Planet', 'id': 69928625, 'id_str': '69928625', 'indices': [3, 18]}, {'screen_name': 'JacksonWang852', 'name': 'Jackson Wang 王嘉爾 왕잭슨', 'id': 1033152632527892480, 'id_str': '1033152632527892480', 'indices': [21, 36]}, {'screen_name': 'jackharlow', 'name': 'Jack Harlow', 'id': 61642247, 'id_str': '61642247', 'indices': [88, 99]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 13:47:12,1285209646827884544,"RT @youngjaespic: he is so precious 🥺💙

#Youngjae #영재 @GOTYJ_Ars_Vita
#GOT7 #갓세븐 @GOT7Official https://t.co/tj654Mq9PE","{'hashtags': [{'text': 'Youngjae', 'indices': [40, 49]}, {'text': '영재', 'indices': [50, 53]}, {'text': 'GOT7', 'indices': [70, 75]}, {'text': '갓세븐', 'indices': [76, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'youngjaespic', 'name': 'youngjae pics', 'id': 1469081898, 'id_str': '1469081898', 'indices': [3, 16]}, {'screen_name': 'GOTYJ_Ars_Vita', 'name': 'CYJ', 'id': 3981942198, 'id_str': '3981942198', 'indices': [54, 69]}, {'screen_name': 'GOT7Official', 'name': 'GOT7', 'id': 573299587, 'id_str': '573299587', 'indices': [81, 94]}], 'urls': [], 'media': [{'id': 1285193819307180032, 'id_str': '1285193819307180032', 'indices': [95, 118], 'media_url': 'http://pbs.twimg.com/media/EdXs-CtVAAAbzsi.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdXs-CtVAAAbzsi.jpg', 'url': 'https://t.co/tj654Mq9PE', 'display_url': 'pic.twitter.com/tj654Mq9PE', 'expanded_url': 'https://twitter.com/youngjaespic/status/1285193841708904448/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1452, 'h': 968, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}, 'source_status_id': 1285193841708904448, 'source_status_id_str': '1285193841708904448', 'source_user_id': 1469081898, 'source_user_id_str': '1469081898'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 13:07:52,1285199747678998531,"RT @youngjaespic: HE IS A BABIE 😭

#Youngjae #영재 @GOTYJ_Ars_Vita
#GOT7 #갓세븐 @GOT7Official https://t.co/9FHBGjz5C3","{'hashtags': [{'text': 'Youngjae', 'indices': [35, 44]}, {'text': '영재', 'indices': [45, 48]}, {'text': 'GOT7', 'indices': [65, 70]}, {'text': '갓세븐', 'indices': [71, 75]}], 'symbols': [], 'user_mentions': [{'screen_name': 'youngjaespic', 'name': 'youngjae pics', 'id': 1469081898, 'id_str': '1469081898', 'indices': [3, 16]}, {'screen_name': 'GOTYJ_Ars_Vita', 'name': 'CYJ', 'id': 3981942198, 'id_str': '3981942198', 'indices': [49, 64]}, {'screen_name': 'GOT7Official', 'name': 'GOT7', 'id': 573299587, 'id_str': '573299587', 'indices': [76, 89]}], 'urls': [], 'media': [{'id': 1285126442188079106, 'id_str': '1285126442188079106', 'indices': [90, 113], 'media_url': 'http://pbs.twimg.com/media/EdWvsLYVAAIYssP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdWvsLYVAAIYssP.jpg', 'url': 'https://t.co/9FHBGjz5C3', 'display_url': 'pic.twitter.com/9FHBGjz5C3', 'expanded_url': 'https://twitter.com/youngjaespic/status/1285126451281293312/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1364, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 799, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 453, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1285126451281293312, 'source_status_id_str': '1285126451281293312', 'source_user_id': 1469081898, 'source_user_id_str': '1469081898'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 12:46:12,1285194294744186881,"@goddessrussel @Eldritch_Lezzie witch tiktok, or ""witchtok"" has hexed me in my sleep","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'goddessrussel', 'name': 'Russ 🔞', 'id': 1236424615913758720, 'id_str': '1236424615913758720', 'indices': [0, 14]}, {'screen_name': 'Eldritch_Lezzie', 'name': 'Eldritch Bitch Helena', 'id': 1099858200025853952, 'id_str': '1099858200025853952', 'indices': [15, 31]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 08:17:29,1285126672677732352,Lesbian Zoey Foxx Pleasing Mature Lezzie https://t.co/3tPVrs9ojN,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3tPVrs9ojN', 'expanded_url': 'https://lesbian.adultvideo.info/lesbian-zoey-foxx-pleasing-mature-lezzie-2', 'display_url': 'lesbian.adultvideo.info/lesbian-zoey-f…', 'indices': [41, 64]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 06:37:55,1285101614672384000,"@lavendulabitch @realsethVEVO @saintlystel Straight guy chiming in, I wanted to say ""lipstick lezzie"" but didn't know if that was copacetic?","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lavendulabitch', 'name': 'ThatLavenderBitch', 'id': 1108871573841149952, 'id_str': '1108871573841149952', 'indices': [0, 15]}, {'screen_name': 'realsethVEVO', 'name': 'seth', 'id': 945114493159292928, 'id_str': '945114493159292928', 'indices': [16, 29]}, {'screen_name': 'saintlystel', 'name': 'Useless Bisexual™️', 'id': 1192377235249852416, 'id_str': '1192377235249852416', 'indices': [30, 42]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 06:04:44,1285093265100832768,RT @sneakibeom: 50 shades of being got7 leader✨ https://t.co/xYgHMrIP38,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sneakibeom', 'name': 'criane ☾', 'id': 1255399220556824578, 'id_str': '1255399220556824578', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1261433168797802498, 'id_str': '1261433168797802498', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1261433168797802498/pu/img/IJNMqIXaECrVhO6s.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1261433168797802498/pu/img/IJNMqIXaECrVhO6s.jpg', 'url': 'https://t.co/xYgHMrIP38', 'display_url': 'pic.twitter.com/xYgHMrIP38', 'expanded_url': 'https://twitter.com/defstouch/status/1261433366978723840/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 720, 'resize': 'fit'}, 'large': {'w': 960, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}}, 'source_status_id': 1261433366978723840, 'source_status_id_str': '1261433366978723840', 'source_user_id': 1191789439904833536, 'source_user_id_str': '1191789439904833536'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
