,0,1,2,3,4
0,2020-07-20 10:32:37,1285160677359923200,@sexuaIyconfused lezzo,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sexuaIyconfused', 'name': 'there are 8 trixie mattels', 'id': 1202313630299172869, 'id_str': '1202313630299172869', 'indices': [0, 16]}], 'urls': []}","{'iso_language_code': 'it', 'result_type': 'recent'}"
1,2020-07-20 10:18:22,1285157090101796865,"@cuneytozdemir 
Heh noldu şimdi?
Görüşmemişler noldu şimdi?
Hadi ipne/lezzo yiyişmelerini gözümüze gözümüze soksunl… https://t.co/YCDNgy4hGT","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cuneytozdemir', 'name': 'cüneyt özdemir', 'id': 30631061, 'id_str': '30631061', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/YCDNgy4hGT', 'expanded_url': 'https://twitter.com/i/web/status/1285157090101796865', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
2,2020-07-20 09:11:00,1285140138671120384,"Check out ally luvs jean's video! #TikTok

She makes a number of these  https://t.co/UJK4sY0wqh","{'hashtags': [{'text': 'TikTok', 'indices': [34, 41]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UJK4sY0wqh', 'expanded_url': 'https://vm.tiktok.com/JFemxwo/', 'display_url': 'vm.tiktok.com/JFemxwo/', 'indices': [72, 95]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 09:10:32,1285140019901018112,"Check out ally luvs jean's video! #TikTok

I love this content!!!! https://t.co/C0UExhGMuT","{'hashtags': [{'text': 'TikTok', 'indices': [34, 41]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/C0UExhGMuT', 'expanded_url': 'https://vm.tiktok.com/JFeDd3B/', 'display_url': 'vm.tiktok.com/JFeDd3B/', 'indices': [67, 90]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 08:50:48,1285135057053798405,"@CarloCalenda I 5S sono una realtà, sono il popolo al potere. Questa è la realtà, ci sono stati troppe figure azzim… https://t.co/ErWS6NnJzM","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CarloCalenda', 'name': 'Carlo Calenda 🇮🇹🇪🇺', 'id': 2416067982, 'id_str': '2416067982', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/ErWS6NnJzM', 'expanded_url': 'https://twitter.com/i/web/status/1285135057053798405', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'it', 'result_type': 'recent'}"
5,2020-07-20 08:05:04,1285123544490356737,"@mscdr @goktasmehmet fazla ""yayıldı"" ve ibne, lezzo ne varsa içine aldı, Hizbullah peki?! Hüda Par veya?! Hala loka… https://t.co/sDyItk5kYP","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mscdr', 'name': 'Mehmet Sabri Çalak', 'id': 818610232972689409, 'id_str': '818610232972689409', 'indices': [0, 6]}, {'screen_name': 'goktasmehmet', 'name': 'Mehmet Göktaş', 'id': 254931572, 'id_str': '254931572', 'indices': [7, 20]}], 'urls': [{'url': 'https://t.co/sDyItk5kYP', 'expanded_url': 'https://twitter.com/i/web/status/1285123544490356737', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
6,2020-07-20 07:32:58,1285115467447885824,RT @danielitocaos: empece a notar lo triste q es la cuarentena cuando el kun dejo de stremear,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'danielitocaos', 'name': '7z Bananirou', 'id': 4635106661, 'id_str': '4635106661', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
7,2020-07-20 07:30:09,1285114760187588608,Please raise your kids to do and be better,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 06:55:35,1285106061645623296,@IANDELLACASA @fattoquotidiano Proprio così. Si ritiene spesso che con una mano di vernice dorata si possa coprire il lezzo di 💩,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IANDELLACASA', 'name': 'Ian Della Casa', 'id': 104815028, 'id_str': '104815028', 'indices': [0, 13]}, {'screen_name': 'fattoquotidiano', 'name': 'Il Fatto Quotidiano', 'id': 52424550, 'id_str': '52424550', 'indices': [14, 30]}], 'urls': []}","{'iso_language_code': 'it', 'result_type': 'recent'}"
9,2020-07-20 05:44:24,1285088145353117696,RT @SofiaaArce: Khea viendo el comentario de trueno en la foto de Nicki nicol https://t.co/QM5JeW5GPc,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SofiaaArce', 'name': 'Sofía💚', 'id': 1858291711, 'id_str': '1858291711', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1285076911891320832, 'id_str': '1285076911891320832', 'indices': [78, 101], 'media_url': 'http://pbs.twimg.com/media/EdWCpIpWkAA22hb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdWCpIpWkAA22hb.jpg', 'url': 'https://t.co/QM5JeW5GPc', 'display_url': 'pic.twitter.com/QM5JeW5GPc', 'expanded_url': 'https://twitter.com/SofiaaArce/status/1285076914403762177/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 419, 'resize': 'fit'}, 'large': {'w': 870, 'h': 536, 'resize': 'fit'}, 'medium': {'w': 870, 'h': 536, 'resize': 'fit'}}, 'source_status_id': 1285076914403762177, 'source_status_id_str': '1285076914403762177', 'source_user_id': 1858291711, 'source_user_id_str': '1858291711'}]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
