,0,1,2,3,4
0,2020-07-20 13:59:05,1285212636888494083,"RT @kiichi__kiichi: きぃちゃるーむ

7月20日　23:00 スク
詳細は画像見てね

賞金マネのみAmazon1500orちゅんか
25日まで待てる人！！

確定枠はリプに代表者とチームのアピ

交換枠優先！！
交換枠はDMお願いします！！
交換枠残りはリ…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kiichi__kiichi', 'name': '俺がきぃちゃ', 'id': 934036227543597057, 'id_str': '934036227543597057', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
1,2020-07-20 13:58:59,1285212611227930624,@Araap_Sang and @scherargei your political libido is running low and you are about to have a premature ejaculation.… https://t.co/36lIwEiHFA,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Araap_Sang', 'name': 'Stephen Sang', 'id': 3055540390, 'id_str': '3055540390', 'indices': [0, 11]}, {'screen_name': 'scherargei', 'name': 'senator  kiprotich Arap cherargei', 'id': 474948207, 'id_str': '474948207', 'indices': [16, 27]}], 'urls': [{'url': 'https://t.co/36lIwEiHFA', 'expanded_url': 'https://twitter.com/i/web/status/1285212611227930624', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:56:38,1285212022821408775,"RT @iamRinne: りんスクゲリラ！
⏰⌇7月20日(7/20)  23時00分(23:00)
👤⌇スクワッド
💰⌇1500×1(𝖺𝗆͜𝖺͉𝗓𝗈𝗇)1週間以内

《参加条件》 

全員⌇@iamRinne 
          follow＆RT【参加者全員】

《応募…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iamRinne', 'name': 'りんねってらぁ！今日の23:00確定枠いる？', 'id': 1193771818034712577, 'id_str': '1193771818034712577', 'indices': [3, 12]}, {'screen_name': 'iamRinne', 'name': 'りんねってらぁ！今日の22:00確定枠いる？', 'id': 1193771818034712577, 'id_str': '1193771818034712577', 'indices': [97, 106]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
3,2020-07-20 13:56:23,1285211957268582401,@yuto_libido にせチンだった🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yuto_libido', 'name': 'やさチンカーニバル', 'id': 1070539028728971265, 'id_str': '1070539028728971265', 'indices': [0, 12]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
4,2020-07-20 13:56:11,1285211908342079488,"家族みんなで「北村匠海出てるよ！」と見てるんだが
あたし昌暉です。。。。（  ' -' )

でもめっちゃ笑わせてもらいましたwww","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
5,2020-07-20 13:56:09,1285211898389114881,@meryemkulaa @tiredcloudsx @binnuramahakli Bende Miçel'i görünce libido fullemesi yaşıyorum knk normal yani,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'meryemkulaa', 'name': 'Kartalınbenleri', 'id': 1252235559214305280, 'id_str': '1252235559214305280', 'indices': [0, 12]}, {'screen_name': 'tiredcloudsx', 'name': ""İREMİŞKO DİKKAYA AMA EVREN'E AŞIKKK"", 'id': 1252389003795496960, 'id_str': '1252389003795496960', 'indices': [13, 26]}, {'screen_name': 'binnuramahakli', 'name': 'binnur ama hep haklı ve -7', 'id': 1269806888214048768, 'id_str': '1269806888214048768', 'indices': [27, 42]}], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
6,2020-07-20 13:56:08,1285211893997506564,RT @RMarizta: Anjeerrr buka branda gambar gituan smua libido lg tinggi langsung ange pengen eue... Bang vcs nyok kita crott bareng... Masuk…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RMarizta', 'name': 'avail EXCLUDE jabodetabek Bu', 'id': 4403349793, 'id_str': '4403349793', 'indices': [3, 12]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
7,2020-07-20 13:55:54,1285211834555891714,@9mm_pb_ 似てるようでちょっと違う！笑笑,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '9mm_pb_', 'name': 'いくみ(クリームの姿)', 'id': 763011647770275841, 'id_str': '763011647770275841', 'indices': [0, 8]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
8,2020-07-20 13:55:31,1285211737827028992,@iJaunito A mí no me disminuyó para nada la libido 🥳,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iJaunito', 'name': 'Dogtor cuervito', 'id': 280619340, 'id_str': '280619340', 'indices': [0, 9]}], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
9,2020-07-20 13:55:11,1285211656600072195,RT @ahhhhhbe: eskiden libido mu vardı herkes azdın mı diye sorardı,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ahhhhhbe', 'name': 'acılarayürüyorum', 'id': 1275794576385679361, 'id_str': '1275794576385679361', 'indices': [3, 12]}], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
