,0,1,2,3,4
0,2020-07-20 03:53:12,1285060162697351168,Professor  Acworth’s analysis of groundwater logging data near Shenhua site is formidable evidence of serious defic… https://t.co/R2yhLrS4iJ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/R2yhLrS4iJ', 'expanded_url': 'https://twitter.com/i/web/status/1285060162697351168', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 03:39:44,1285056772546281472,@BrosaurusRex @SeattlePD it’s okay to be scared when people see your keyboard warrioring for the limpdick lil provo… https://t.co/BoHVvrKwzC,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BrosaurusRex', 'name': 'Mikey Ryan', 'id': 4287365907, 'id_str': '4287365907', 'indices': [0, 13]}, {'screen_name': 'SeattlePD', 'name': 'Seattle Police Dept.', 'id': 25101704, 'id_str': '25101704', 'indices': [14, 24]}], 'urls': [{'url': 'https://t.co/BoHVvrKwzC', 'expanded_url': 'https://twitter.com/i/web/status/1285056772546281472', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 02:45:26,1285043106493210624,"The day Italy went on a nation-wide lockdown, Cuomo announced a limpdick proposal regarding if a student should tes… https://t.co/yRCuvlVI3A","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yRCuvlVI3A', 'expanded_url': 'https://twitter.com/i/web/status/1285043106493210624', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-19 23:12:24,1284989497332183042,@CBPMarkMorgan What a limpdick excuse. This is purely so that they and you do not have to face accountability to th… https://t.co/gIvLdllrrj,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CBPMarkMorgan', 'name': 'CBP Mark Morgan', 'id': 1148223852494950400, 'id_str': '1148223852494950400', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/gIvLdllrrj', 'expanded_url': 'https://twitter.com/i/web/status/1284989497332183042', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-19 21:35:23,1284965081655070720,"@SeanBird15 @jamiehyphenlynn Soooo....
You are NOT going to back your claim?
#limpdick","{'hashtags': [{'text': 'limpdick', 'indices': [77, 86]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SeanBird15', 'name': 'Sean Bird', 'id': 389636234, 'id_str': '389636234', 'indices': [0, 11]}, {'screen_name': 'jamiehyphenlynn', 'name': 'lynn dewitt', 'id': 3064616589, 'id_str': '3064616589', 'indices': [12, 28]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-19 18:44:56,1284922184113303553,"Ole played a limpdick lineup and DDG played like a limp dick, as simple as that. I understand the the focus on top… https://t.co/0Ov6suQBP9","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/0Ov6suQBP9', 'expanded_url': 'https://twitter.com/i/web/status/1284922184113303553', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-19 16:27:05,1284887496208388109,"@PDXzane Nice swing, Captain Limpdick.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PDXzane', 'name': 'Zane Sparling', 'id': 993907595000725504, 'id_str': '993907595000725504', 'indices': [0, 8]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-19 16:02:42,1284881359731920896,"RT @RobloxyLalonde: How can you be this much of a wet towel limpdick joyless fucking hollow shell of a person? 

The dude loves his cat. It…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RobloxyLalonde', 'name': 'Jess ೫ known junebugger', 'id': 1080191811694534657, 'id_str': '1080191811694534657', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-19 13:49:25,1284847816519626753,"RT @RobloxyLalonde: How can you be this much of a wet towel limpdick joyless fucking hollow shell of a person? 

The dude loves his cat. It…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RobloxyLalonde', 'name': 'Jess ೫ known junebugger', 'id': 1080191811694534657, 'id_str': '1080191811694534657', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-19 13:47:29,1284847330399846402,"RT @RobloxyLalonde: How can you be this much of a wet towel limpdick joyless fucking hollow shell of a person? 

The dude loves his cat. It…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RobloxyLalonde', 'name': 'Jess ೫ known junebugger', 'id': 1080191811694534657, 'id_str': '1080191811694534657', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
10,2020-07-19 13:35:07,1284844218679164928,@itsJeffTiedrich @realDonaldTrump Only a true Baffoon will agree with you Jeff limpdick .,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'itsJeffTiedrich', 'name': 'Jeff Tiedrich', 'id': 1009577803304656896, 'id_str': '1009577803304656896', 'indices': [0, 16]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [17, 33]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
11,2020-07-19 09:36:48,1284784243084845056,"How can you be this much of a wet towel limpdick joyless fucking hollow shell of a person? 

The dude loves his cat… https://t.co/9yGunabBlt","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9yGunabBlt', 'expanded_url': 'https://twitter.com/i/web/status/1284784243084845056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
12,2020-07-19 07:53:02,1284758128706441219,"""Oh, my God"" is right. Listen limpdick: you come into my space with the laziest, stalest fucking 2015 memes, then h… https://t.co/FW6kNFfxYB","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FW6kNFfxYB', 'expanded_url': 'https://twitter.com/i/web/status/1284758128706441219', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
