,0,1,2,3,4
0,2020-07-20 13:59:55,1285212847497256960,Looking for #livesex? I'm on #CAM4 now for an #xxxshow https://t.co/2xEeJ8qTfq You deserve some fun ;),"{'hashtags': [{'text': 'livesex', 'indices': [12, 20]}, {'text': 'CAM4', 'indices': [29, 34]}, {'text': 'xxxshow', 'indices': [46, 54]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2xEeJ8qTfq', 'expanded_url': 'https://www.cam4.com/url/TjL9oR14', 'display_url': 'cam4.com/url/TjL9oR14', 'indices': [55, 78]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:35:36,1285206727214931970,"He took in the squeaky music, the vulgar and pining melodies, because passion immobilizes good taste and seriously… https://t.co/d1sh1gzDIY","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/d1sh1gzDIY', 'expanded_url': 'https://twitter.com/i/web/status/1285206727214931970', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:29:52,1285205282856067072,Hmmm que debo hacer en #CAM4 hoy? https://t.co/jhtjbySP5h Ven a chatear y lo discutiremos ;) #livesex #camsex,"{'hashtags': [{'text': 'CAM4', 'indices': [23, 28]}, {'text': 'livesex', 'indices': [93, 101]}, {'text': 'camsex', 'indices': [102, 109]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jhtjbySP5h', 'expanded_url': 'https://www.cam4.com/url/BY068SD0', 'display_url': 'cam4.com/url/BY068SD0', 'indices': [34, 57]}]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
3,2020-07-20 13:19:51,1285202765673902081,Hmmm que debo hacer en #CAM4 hoy? https://t.co/1s3z9m7S7j Ven a chatear y lo discutiremos ;) #livesex #camsex,"{'hashtags': [{'text': 'CAM4', 'indices': [23, 28]}, {'text': 'livesex', 'indices': [93, 101]}, {'text': 'camsex', 'indices': [102, 109]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1s3z9m7S7j', 'expanded_url': 'https://www.cam4.com/url/Hv4qbfSh', 'display_url': 'cam4.com/url/Hv4qbfSh', 'indices': [34, 57]}]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
4,2020-07-20 12:52:54,1285195983333228551,Hmmm what should I do on #CAM4 today? https://t.co/6wkIyX6hDd Come chat and let's discuss ;) #livesex #camsex,"{'hashtags': [{'text': 'CAM4', 'indices': [25, 30]}, {'text': 'livesex', 'indices': [93, 101]}, {'text': 'camsex', 'indices': [102, 109]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6wkIyX6hDd', 'expanded_url': 'https://www.cam4.com/url/WtG1R9O7', 'display_url': 'cam4.com/url/WtG1R9O7', 'indices': [38, 61]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 11:56:50,1285181872092385280,#like sexo #livesex https://t.co/r3oHQqub8H,"{'hashtags': [{'text': 'like', 'indices': [0, 5]}, {'text': 'livesex', 'indices': [11, 19]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1285181858293194752, 'id_str': '1285181858293194752', 'indices': [20, 43], 'media_url': 'http://pbs.twimg.com/media/EdXiF0dXoAAadbQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdXiF0dXoAAadbQ.jpg', 'url': 'https://t.co/r3oHQqub8H', 'display_url': 'pic.twitter.com/r3oHQqub8H', 'expanded_url': 'https://twitter.com/BethLara42/status/1285181872092385280/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 472, 'h': 958, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 472, 'h': 958, 'resize': 'fit'}, 'small': {'w': 335, 'h': 680, 'resize': 'fit'}}}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}"
6,2020-07-20 11:54:06,1285181183765229568,Hmmm que debo hacer en #CAM4 hoy? https://t.co/3Sork4wvmh Ven a chatear y lo discutiremos ;) #livesex #camsex,"{'hashtags': [{'text': 'CAM4', 'indices': [23, 28]}, {'text': 'livesex', 'indices': [93, 101]}, {'text': 'camsex', 'indices': [102, 109]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3Sork4wvmh', 'expanded_url': 'https://www.cam4.com/url/PiXBcMRx', 'display_url': 'cam4.com/url/PiXBcMRx', 'indices': [34, 57]}]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
7,2020-07-20 11:32:49,1285175830180765698,Looking for #livesex? I'm on #CAM4 now for an #xxxshow https://t.co/DSN5CJeQHp You deserve some fun ;),"{'hashtags': [{'text': 'livesex', 'indices': [12, 20]}, {'text': 'CAM4', 'indices': [29, 34]}, {'text': 'xxxshow', 'indices': [46, 54]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DSN5CJeQHp', 'expanded_url': 'https://www.cam4.com/url/RlEcqjBE', 'display_url': 'cam4.com/url/RlEcqjBE', 'indices': [55, 78]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 11:24:49,1285173815501303810,Buscando por #livesex? Estoy en #CAM4 ahora por un #xxxshow https://t.co/94VsFKXJrH Te mereces algo divertido ;),"{'hashtags': [{'text': 'livesex', 'indices': [13, 21]}, {'text': 'CAM4', 'indices': [32, 37]}, {'text': 'xxxshow', 'indices': [51, 59]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/94VsFKXJrH', 'expanded_url': 'https://www.cam4.com/url/roUt9G58', 'display_url': 'cam4.com/url/roUt9G58', 'indices': [60, 83]}]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
9,2020-07-20 10:33:56,1285161009892728832,Buscando por #livesex? Estoy en #CAM4 ahora por un #xxxshow https://t.co/g3t6gDvbv6 Te mereces algo divertido ;),"{'hashtags': [{'text': 'livesex', 'indices': [13, 21]}, {'text': 'CAM4', 'indices': [32, 37]}, {'text': 'xxxshow', 'indices': [51, 59]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/g3t6gDvbv6', 'expanded_url': 'https://www.cam4.com/url/vpv8MgQx', 'display_url': 'cam4.com/url/vpv8MgQx', 'indices': [60, 83]}]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
