,0,1,2,3,4
0,2020-07-20 13:55:06,1285211633468334080,"RT @AoRiiSS: LOVE JUICE 🔥
#LoveJuice 
#赤西仁 https://t.co/iTySjMQAoU","{'hashtags': [{'text': 'LoveJuice', 'indices': [26, 36]}, {'text': '赤西仁', 'indices': [38, 42]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AoRiiSS', 'name': '★All About You ♥ One Way Love★', 'id': 88579158, 'id_str': '88579158', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 961212457531228160, 'id_str': '961212457531228160', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/961212457531228160/pu/img/zIM0xQlwpA4FFVHn.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/961212457531228160/pu/img/zIM0xQlwpA4FFVHn.jpg', 'url': 'https://t.co/iTySjMQAoU', 'display_url': 'pic.twitter.com/iTySjMQAoU', 'expanded_url': 'https://twitter.com/AoRiiSS/status/961212951708319744/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 856, 'h': 480, 'resize': 'fit'}, 'small': {'w': 680, 'h': 381, 'resize': 'fit'}, 'medium': {'w': 856, 'h': 480, 'resize': 'fit'}}, 'source_status_id': 961212951708319744, 'source_status_id_str': '961212951708319744', 'source_user_id': 88579158, 'source_user_id_str': '88579158'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 08:03:08,1285123060039708672,"[Lycaon - EROS]
LoveJuice ที่ไหลล้นออกมาราวกับจะหลอมลาย
รุนแรงกว่านี้อีกสิ ช่วยทำให้""ไป""ตรงนี้จนกว่าจะตายเลยนะ !","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
2,2020-07-19 22:00:11,1284971322389348352,You’re more and more determined to improve your standard of li... More for Gemini https://t.co/aWPdagKrmz,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aWPdagKrmz', 'expanded_url': 'http://bit.ly/A9Q3zb', 'display_url': 'bit.ly/A9Q3zb', 'indices': [82, 105]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-19 15:16:24,1284869705312813056,@t_kyomo1203 LOVEJUICEは良くない😇😇😇,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 't_kyomo1203', 'name': '🐻トマトといちご🐻', 'id': 1231754531706298369, 'id_str': '1231754531706298369', 'indices': [0, 12]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
4,2020-07-19 14:51:51,1284863530710122496,"@ychan8176 @lovejuice_ken @r_chan985 ずっと笑いっぱなしでした😂
すごく楽しかったです
お疲れ様です~","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ychan8176', 'name': '愛液✿たまご@YÜI*', 'id': 1087347441475538945, 'id_str': '1087347441475538945', 'indices': [0, 10]}, {'screen_name': 'lovejuice_ken', 'name': '愛液✿けん', 'id': 3163639460, 'id_str': '3163639460', 'indices': [11, 25]}, {'screen_name': 'r_chan985', 'name': '愛液✿るく', 'id': 869257181975126017, 'id_str': '869257181975126017', 'indices': [26, 36]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
5,2020-07-19 14:47:56,1284862544314679297,"リグマお疲れ様でしたん🥰
ただ叫んだだけで終わった、、
写真とる余裕なんてない、、
ホコの苦手意識はすこーし克服された、、
@oklSuajpTZzBX9Z 
@lovejuice_ken 
@r_chan985","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'oklSuajpTZzBX9Z', 'name': 'ぶぅ', 'id': 1096773338792308736, 'id_str': '1096773338792308736', 'indices': [62, 78]}, {'screen_name': 'lovejuice_ken', 'name': '愛液✿けん', 'id': 3163639460, 'id_str': '3163639460', 'indices': [80, 94]}, {'screen_name': 'r_chan985', 'name': '愛液✿るく', 'id': 869257181975126017, 'id_str': '869257181975126017', 'indices': [96, 106]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
6,2020-07-19 13:34:22,1284844027767128065,"I was in the garage when my son came in and said 'What is lovejuice'.
Horrified, I decided to tell him everything a… https://t.co/Ff1WUVeKJz","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Ff1WUVeKJz', 'expanded_url': 'https://twitter.com/i/web/status/1284844027767128065', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-18 22:00:11,1284608935333203968,Use your natural charisma to get the help you need today. Let ... More for Gemini https://t.co/aWPdagKrmz,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aWPdagKrmz', 'expanded_url': 'http://bit.ly/A9Q3zb', 'display_url': 'bit.ly/A9Q3zb', 'indices': [82, 105]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-18 20:07:52,1284580668572401664,https://t.co/uQ2JDbpyOQ YALL MISS REAL MUSIC🔥🔥🔥🔥💯💯💯💯 @hotboydeuce @Famousjuicylips @LoveJuice_ @_dyshell @ZacBrayLex @DLHMediaGroup,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hotboydeuce', 'name': 'ひ', 'id': 1183999400529612800, 'id_str': '1183999400529612800', 'indices': [53, 65]}, {'screen_name': 'Famousjuicylips', 'name': 'Tamika scott', 'id': 1112050213685026817, 'id_str': '1112050213685026817', 'indices': [66, 82]}, {'screen_name': 'LoveJuice_', 'name': 'Essence ❤', 'id': 66739342, 'id_str': '66739342', 'indices': [83, 94]}, {'screen_name': '_dyshell', 'name': 'Ms.NEENEE🌻', 'id': 1043723892, 'id_str': '1043723892', 'indices': [95, 104]}, {'screen_name': 'ZacBrayLex', 'name': 'Coach Coe', 'id': 3039616750, 'id_str': '3039616750', 'indices': [105, 116]}, {'screen_name': 'DLHMediaGroup', 'name': 'DLH Media Group ™', 'id': 46317402, 'id_str': '46317402', 'indices': [117, 131]}], 'urls': [{'url': 'https://t.co/uQ2JDbpyOQ', 'expanded_url': 'https://soundcloud.com/2tru-music/westside-feat-duceydaphatom?ref=clipboard', 'display_url': 'soundcloud.com/2tru-music/wes…', 'indices': [0, 23]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-18 19:08:42,1284565779631845376,"@tigyuzu 本当に良い意味でハピライの感じ
ストトラの中間で沼るしかなかった😇💕
ゆづちゃんチェンエラ入ってるॽ͙ॽ͙ॽ͙
BODYTALK、LOVEJUICEらへん
Cちゃんにやってほしくない( ≖͈́ㅂ≖͈̀ )？

ほ… https://t.co/sMmtqdsk77","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tigyuzu', 'name': 'YUZU.🦊', 'id': 1259441808892784641, 'id_str': '1259441808892784641', 'indices': [0, 8]}], 'urls': [{'url': 'https://t.co/sMmtqdsk77', 'expanded_url': 'https://twitter.com/i/web/status/1284565779631845376', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
