,0,1,2,3,4
0,2020-07-20 13:41:00,1285208086643265536,"RT @LMKMovieManiac: The #MasterBlaster gets it spot on👌

#Broad is leading #England towards a potential victory

#WestIndies struggling at…","{'hashtags': [{'text': 'MasterBlaster', 'indices': [24, 38]}, {'text': 'Broad', 'indices': [57, 63]}, {'text': 'England', 'indices': [75, 83]}, {'text': 'WestIndies', 'indices': [113, 124]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LMKMovieManiac', 'name': 'Kaushik LM', 'id': 221647151, 'id_str': '221647151', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:30:39,1285205480084627456,"RT @LMKMovieManiac: The #MasterBlaster gets it spot on👌

#Broad is leading #England towards a potential victory

#WestIndies struggling at…","{'hashtags': [{'text': 'MasterBlaster', 'indices': [24, 38]}, {'text': 'Broad', 'indices': [57, 63]}, {'text': 'England', 'indices': [75, 83]}, {'text': 'WestIndies', 'indices': [113, 124]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LMKMovieManiac', 'name': 'Kaushik LM', 'id': 221647151, 'id_str': '221647151', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:23:27,1285203668493406208,"RT @LMKMovieManiac: The #MasterBlaster gets it spot on👌

#Broad is leading #England towards a potential victory

#WestIndies struggling at…","{'hashtags': [{'text': 'MasterBlaster', 'indices': [24, 38]}, {'text': 'Broad', 'indices': [57, 63]}, {'text': 'England', 'indices': [75, 83]}, {'text': 'WestIndies', 'indices': [113, 124]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LMKMovieManiac', 'name': 'Kaushik LM', 'id': 221647151, 'id_str': '221647151', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 13:22:43,1285203486460657664,"The #MasterBlaster gets it spot on👌

#Broad is leading #England towards a potential victory

#WestIndies struggling… https://t.co/JFO4UFVX2D","{'hashtags': [{'text': 'MasterBlaster', 'indices': [4, 18]}, {'text': 'Broad', 'indices': [37, 43]}, {'text': 'England', 'indices': [55, 63]}, {'text': 'WestIndies', 'indices': [93, 104]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/JFO4UFVX2D', 'expanded_url': 'https://twitter.com/i/web/status/1285203486460657664', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 10:47:29,1285164418557411329,@mwtyler @philosophytweet And Hotter than July. #MasterBlaster,"{'hashtags': [{'text': 'MasterBlaster', 'indices': [48, 62]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mwtyler', 'name': 'M. W. Tyler⚡️', 'id': 21379486, 'id_str': '21379486', 'indices': [0, 8]}, {'screen_name': 'philosophytweet', 'name': 'Philosophy Tweets⚡️', 'id': 20687263, 'id_str': '20687263', 'indices': [9, 25]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 10:43:49,1285163497446408193,"@11_wickets Ans: Cricket is my Religion.
        Sachin is my God.

#11Wickets #FantasyCricket #Contest… https://t.co/RZnhc6cnXl","{'hashtags': [{'text': '11Wickets', 'indices': [68, 78]}, {'text': 'FantasyCricket', 'indices': [79, 94]}, {'text': 'Contest', 'indices': [95, 103]}], 'symbols': [], 'user_mentions': [{'screen_name': '11_wickets', 'name': '11 Wickets', 'id': 986850353185374208, 'id_str': '986850353185374208', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/RZnhc6cnXl', 'expanded_url': 'https://twitter.com/i/web/status/1285163497446408193', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 06:46:23,1285103746825908225,"RT @rjsha007: https://t.co/horWDslWPR

Video for Sachin Fans
#SachinTendulkar
#Masterblaster
#Sachin https://t.co/VWXDUQONjV","{'hashtags': [{'text': 'SachinTendulkar', 'indices': [61, 77]}, {'text': 'Masterblaster', 'indices': [78, 92]}, {'text': 'Sachin', 'indices': [93, 100]}], 'symbols': [], 'user_mentions': [{'screen_name': 'rjsha007', 'name': 'rj sha', 'id': 1285889594, 'id_str': '1285889594', 'indices': [3, 12]}], 'urls': [{'url': 'https://t.co/horWDslWPR', 'expanded_url': 'https://youtu.be/QEwUlirZvXQ', 'display_url': 'youtu.be/QEwUlirZvXQ', 'indices': [14, 37]}], 'media': [{'id': 1284020793136078848, 'id_str': '1284020793136078848', 'indices': [101, 124], 'media_url': 'http://pbs.twimg.com/media/EdHCG7sXYAAZ6Rk.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdHCG7sXYAAZ6Rk.jpg', 'url': 'https://t.co/VWXDUQONjV', 'display_url': 'pic.twitter.com/VWXDUQONjV', 'expanded_url': 'https://twitter.com/rjsha007/status/1284020795803439104/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1080, 'h': 582, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 582, 'resize': 'fit'}, 'small': {'w': 680, 'h': 366, 'resize': 'fit'}}, 'source_status_id': 1284020795803439104, 'source_status_id_str': '1284020795803439104', 'source_user_id': 1285889594, 'source_user_id_str': '1285889594'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 04:49:44,1285074390212702208,"RT @11_wickets: If you’re a Sachin fan then you ought to answer this. 
Post your answer in the comment box below 👇

#11Wickets #FantasyCric…","{'hashtags': [{'text': '11Wickets', 'indices': [116, 126]}], 'symbols': [], 'user_mentions': [{'screen_name': '11_wickets', 'name': '11 Wickets', 'id': 986850353185374208, 'id_str': '986850353185374208', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 04:45:45,1285073385114886145,"If you’re a Sachin fan then you ought to answer this. 
Post your answer in the comment box below 👇

#11Wickets… https://t.co/UXoDD7GGnz","{'hashtags': [{'text': '11Wickets', 'indices': [100, 110]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UXoDD7GGnz', 'expanded_url': 'https://twitter.com/i/web/status/1285073385114886145', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 04:29:39,1285069335497711616,"RT @AnubhiSharma2: @sachin_rt  #mypencilsketch #masterblaster #gidofcricket #myfav 
There are two kinds of batsmen in the world. One, Sachi…","{'hashtags': [{'text': 'mypencilsketch', 'indices': [31, 46]}, {'text': 'masterblaster', 'indices': [47, 61]}, {'text': 'gidofcricket', 'indices': [62, 75]}, {'text': 'myfav', 'indices': [76, 82]}], 'symbols': [], 'user_mentions': [{'screen_name': 'AnubhiSharma2', 'name': 'Anubhi Sharma', 'id': 1244280600493731840, 'id_str': '1244280600493731840', 'indices': [3, 17]}, {'screen_name': 'sachin_rt', 'name': 'Sachin Tendulkar', 'id': 135421739, 'id_str': '135421739', 'indices': [19, 29]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
