,0,1,2,3,4
0,2020-07-20 14:03:18,1285213698269773830,@AkwubaCharles @HEAD_ORACLE01 @Martinect2803 @chaigzy @HonNonny @charles_ogb_ @Salttybarber If my name too gives yo… https://t.co/QQMFsMlEI1,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AkwubaCharles', 'name': 'Afunwa Elota Nna', 'id': 1063108343940702208, 'id_str': '1063108343940702208', 'indices': [0, 14]}, {'screen_name': 'HEAD_ORACLE01', 'name': 'THE ORACLE 😠😠', 'id': 1260505635558473729, 'id_str': '1260505635558473729', 'indices': [15, 29]}, {'screen_name': 'Martinect2803', 'name': 'IFEANYICHUKWU.!', 'id': 389046967, 'id_str': '389046967', 'indices': [30, 44]}, {'screen_name': 'chaigzy', 'name': ""Chimdi's Dad"", 'id': 166982474, 'id_str': '166982474', 'indices': [45, 53]}, {'screen_name': 'HonNonny', 'name': 'Call_Me_Nonso (Ijele Ndi Igbo)', 'id': 2733416309, 'id_str': '2733416309', 'indices': [54, 63]}, {'screen_name': 'charles_ogb_', 'name': 'Anaegbu Achara', 'id': 3259849948, 'id_str': '3259849948', 'indices': [64, 77]}, {'screen_name': 'Salttybarber', 'name': 'Uburu Boy', 'id': 1867479433, 'id_str': '1867479433', 'indices': [78, 91]}], 'urls': [{'url': 'https://t.co/QQMFsMlEI1', 'expanded_url': 'https://twitter.com/i/web/status/1285213698269773830', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 14:02:56,1285213606766956544,RT @erigganewmoney: If she is single and happy. Just know say she love porn and masturbate alot!!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'erigganewmoney', 'name': '𝙴𝚛𝚒𝚐𝚐𝚊', 'id': 145711798, 'id_str': '145711798', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 14:02:04,1285213386326802433,"@valenspina84 @Compyweb @ahlfio É inutile che dici delle seghe, non solo perché anche voi donne vi masturbate, face… https://t.co/VeplrgSYNc","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'valenspina84', 'name': 'ValeVa🍀', 'id': 494325703, 'id_str': '494325703', 'indices': [0, 13]}, {'screen_name': 'Compyweb', 'name': 'Computerman', 'id': 872110328, 'id_str': '872110328', 'indices': [14, 23]}, {'screen_name': 'ahlfio', 'name': 'alfio', 'id': 1176926834358968321, 'id_str': '1176926834358968321', 'indices': [24, 31]}], 'urls': [{'url': 'https://t.co/VeplrgSYNc', 'expanded_url': 'https://twitter.com/i/web/status/1285213386326802433', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'it', 'result_type': 'recent'}"
3,2020-07-20 14:01:58,1285213361806946309,RT @erigganewmoney: If she is single and happy. Just know say she love porn and masturbate alot!!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'erigganewmoney', 'name': '𝙴𝚛𝚒𝚐𝚐𝚊', 'id': 145711798, 'id_str': '145711798', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 14:01:33,1285213258501091328,RT @MEAD0WSMADGE: ang ganda mo cancel online classes academic freeze maricel soriano khalil RA 11480 fancam kpop stans 69 porn masturbate l…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MEAD0WSMADGE', 'name': '🤟🏻', 'id': 1230793672783872000, 'id_str': '1230793672783872000', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 14:00:22,1285212959472521219,Its fine I will masturbate. https://t.co/PTqxeh5Awk,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PTqxeh5Awk', 'expanded_url': 'https://twitter.com/binwea/status/1285210738836025346', 'display_url': 'twitter.com/binwea/status/…', 'indices': [28, 51]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 14:00:11,1285212916149637121,"@hannatukarma @MaxDMI1 @perritobonite Ah no, yo no tengo lío con eso. Masturbate cuanto quieras, eso es de lo más n… https://t.co/1860oVSvzl","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hannatukarma', 'name': 'hanna', 'id': 770668548955987968, 'id_str': '770668548955987968', 'indices': [0, 13]}, {'screen_name': 'MaxDMI1', 'name': 'MaxDMI', 'id': 973046602897162240, 'id_str': '973046602897162240', 'indices': [14, 22]}, {'screen_name': 'perritobonite', 'name': 'nat', 'id': 554709117, 'id_str': '554709117', 'indices': [23, 37]}], 'urls': [{'url': 'https://t.co/1860oVSvzl', 'expanded_url': 'https://twitter.com/i/web/status/1285212916149637121', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
7,2020-07-20 13:59:50,1285212825070317568,"RT @LilBadGurll: Don’t forget to masturbate, it's healthy. Stay safe.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LilBadGurll', 'name': 'Q u e e n ♛', 'id': 1852411927, 'id_str': '1852411927', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:59:18,1285212691833909248,Kuya pag masturbate na lang oyy.,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'tl', 'result_type': 'recent'}"
9,2020-07-20 13:58:55,1285212595507523584,"Every time you masturbate to him, he becomes cuter.","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
