,0,1,2,3,4
0,2020-07-20 14:02:29,1285213494581825537,@Faitelson_ESPN https://t.co/8QlixN42g2,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Faitelson_ESPN', 'name': 'David Faitelson', 'id': 150832830, 'id_str': '150832830', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/8QlixN42g2', 'expanded_url': 'https://okikiolaspot.com.ng/2020/07/20/why-you-should-stop-masturbating-you-wont-believe-number-3/', 'display_url': 'okikiolaspot.com.ng/2020/07/20/why…', 'indices': [16, 39]}]}","{'iso_language_code': 'und', 'result_type': 'recent'}"
1,2020-07-20 14:02:00,1285213370879299593,I've come to realize just using Twitter lately felt as more of a sin than masturbating.,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 14:01:59,1285213368794492929,"""Move aside, Woim. I learned how to set concrete on fire in Boy Scouts.""

""Shut up Spanky, you got kicked out for m… https://t.co/Nk5AdHMQuw","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Nk5AdHMQuw', 'expanded_url': 'https://twitter.com/i/web/status/1285213368794492929', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 14:01:47,1285213317750050818,RT @truth_icon1: I’m still masturbating with Mercy recent pic 🤤,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'truth_icon1', 'name': 'flourish 👅', 'id': 1203313844682215424, 'id_str': '1203313844682215424', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 14:01:46,1285213311265628162,@CorpsDawg @TheRickWilson You’re masturbating to your mom? Dude wtaf is wrong with you?,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CorpsDawg', 'name': 'Dawg Lawyer', 'id': 1158546814485901317, 'id_str': '1158546814485901317', 'indices': [0, 10]}, {'screen_name': 'TheRickWilson', 'name': 'Rick Wilson', 'id': 19084896, 'id_str': '19084896', 'indices': [11, 25]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 14:01:25,1285213224695201797,"🛑I feel so f*ckinh horny rn, Anyone want a vid of me masturbating? Can also write ur name on my cock, DM ME if you… https://t.co/eSAmugAHbH","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eSAmugAHbH', 'expanded_url': 'https://twitter.com/i/web/status/1285213224695201797', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 14:00:47,1285213066729226243,@HEAD_ORACLE01 @AkwubaCharles @Martinect2803 @chaigzy @HonNonny @charles_ogb_ @Salttybarber If my name gives you st… https://t.co/6waK79lw4U,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HEAD_ORACLE01', 'name': 'THE ORACLE 😠😠', 'id': 1260505635558473729, 'id_str': '1260505635558473729', 'indices': [0, 14]}, {'screen_name': 'AkwubaCharles', 'name': 'Afunwa Elota Nna', 'id': 1063108343940702208, 'id_str': '1063108343940702208', 'indices': [15, 29]}, {'screen_name': 'Martinect2803', 'name': 'IFEANYICHUKWU.!', 'id': 389046967, 'id_str': '389046967', 'indices': [30, 44]}, {'screen_name': 'chaigzy', 'name': ""Chimdi's Dad"", 'id': 166982474, 'id_str': '166982474', 'indices': [45, 53]}, {'screen_name': 'HonNonny', 'name': 'Call_Me_Nonso (Ijele Ndi Igbo)', 'id': 2733416309, 'id_str': '2733416309', 'indices': [54, 63]}, {'screen_name': 'charles_ogb_', 'name': 'Anaegbu Achara', 'id': 3259849948, 'id_str': '3259849948', 'indices': [64, 77]}, {'screen_name': 'Salttybarber', 'name': 'Uburu Boy', 'id': 1867479433, 'id_str': '1867479433', 'indices': [78, 91]}], 'urls': [{'url': 'https://t.co/6waK79lw4U', 'expanded_url': 'https://twitter.com/i/web/status/1285213066729226243', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 14:00:46,1285213061448642560,I spend a lot of time thinking about what they would do on the Truman show if he was masturbating.,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 14:00:41,1285213040460337155,"RT @chipfranklin: If Oregon has a problem, they have police and National Guard. 

This is Trump masturbating with guns, ripping America apa…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chipfranklin', 'name': 'Chip Franklin', 'id': 48325671, 'id_str': '48325671', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 13:59:50,1285212827146489858,RT @YourRAGEz: Just seen a bitch masturbating with a steak cutting knife on parler APP DELETED,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YourRAGEz', 'name': 'YourRAGE First Account', 'id': 4594756404, 'id_str': '4594756404', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
