,0,1,2,3,4
0,2020-07-20 14:04:01,1285213877446144002,"Yuhuhu yuk sensasi mandi bareng 😁😘
Enak lho mandi sambil wik wik 😁
#vcsbugill masih ready ya say.
RR by DM 

#vcs… https://t.co/CMCDd38VVQ","{'hashtags': [{'text': 'vcsbugill', 'indices': [67, 77]}, {'text': 'vcs', 'indices': [109, 113]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CMCDd38VVQ', 'expanded_url': 'https://twitter.com/i/web/status/1285213877446144002', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}","{'iso_language_code': 'in', 'result_type': 'recent'}"
1,2020-07-20 14:03:59,1285213869221179398,Sunod MILF HAHAAHA,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'tl', 'result_type': 'recent'}"
2,2020-07-20 14:03:55,1285213853010157571,"Small titties💋

Maliit na, mgka hiwalay pa!

#milf #alterph #Alterpinay #alterbi #thicc #altermilf #horny https://t.co/jB929aDX9S","{'hashtags': [{'text': 'milf', 'indices': [45, 50]}, {'text': 'alterph', 'indices': [51, 59]}, {'text': 'Alterpinay', 'indices': [60, 71]}, {'text': 'alterbi', 'indices': [72, 80]}, {'text': 'thicc', 'indices': [81, 87]}, {'text': 'altermilf', 'indices': [88, 98]}, {'text': 'horny', 'indices': [99, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1285213849725972481, 'id_str': '1285213849725972481', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/media/EdX_L91UMAEnI7Y.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdX_L91UMAEnI7Y.jpg', 'url': 'https://t.co/jB929aDX9S', 'display_url': 'pic.twitter.com/jB929aDX9S', 'expanded_url': 'https://twitter.com/juizyMiLf/status/1285213853010157571/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1093, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 619, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1865, 'h': 2048, 'resize': 'fit'}}}]}","{'iso_language_code': 'tl', 'result_type': 'recent'}"
3,2020-07-20 14:03:52,1285213840179974145,"#monsterprom but what if Polly was a milf?  ...Not that you can tell, because I'm bad at making her look older, so… https://t.co/QoWK0yr8Sh","{'hashtags': [{'text': 'monsterprom', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QoWK0yr8Sh', 'expanded_url': 'https://twitter.com/i/web/status/1285213840179974145', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 14:03:29,1285213743811567617,RT @notfortunesfool: what if i never get to have sex with a milf... bro i’m tearing up,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'notfortunesfool', 'name': 'phoebe', 'id': 2193166947, 'id_str': '2193166947', 'indices': [3, 19]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 14:03:22,1285213713545428992,#onlyfans #onlyfansbabe #selling #nudes #titties #milf #bbw #domme #naughtygirl #daddy #bbc #cumtribute #cum #pussy #ass #thick,"{'hashtags': [{'text': 'onlyfans', 'indices': [0, 9]}, {'text': 'onlyfansbabe', 'indices': [10, 23]}, {'text': 'selling', 'indices': [24, 32]}, {'text': 'nudes', 'indices': [33, 39]}, {'text': 'titties', 'indices': [40, 48]}, {'text': 'milf', 'indices': [49, 54]}, {'text': 'bbw', 'indices': [55, 59]}, {'text': 'domme', 'indices': [60, 66]}, {'text': 'naughtygirl', 'indices': [67, 79]}, {'text': 'daddy', 'indices': [80, 86]}, {'text': 'bbc', 'indices': [87, 91]}, {'text': 'cumtribute', 'indices': [92, 103]}, {'text': 'cum', 'indices': [104, 108]}, {'text': 'pussy', 'indices': [109, 115]}, {'text': 'ass', 'indices': [116, 120]}, {'text': 'thick', 'indices': [121, 127]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'und', 'result_type': 'recent'}"
6,2020-07-20 14:03:21,1285213712807342080,"⚠️ ao curtir esse tweet você estará ciente que irá trocar nudes comigo ⚠️

#ppkawards
#rabawards 
#XOTAAWARS… https://t.co/cCDR1dSjdj","{'hashtags': [{'text': 'ppkawards', 'indices': [75, 85]}, {'text': 'rabawards', 'indices': [86, 96]}, {'text': 'XOTAAWARS', 'indices': [98, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cCDR1dSjdj', 'expanded_url': 'https://twitter.com/i/web/status/1285213712807342080', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}","{'iso_language_code': 'pt', 'result_type': 'recent'}"
7,2020-07-20 14:02:50,1285213580229517314,"Görüntülü isteyen kadınlar dm bekliyorum

Azgın
Azdım
Sikiş
Olgun
Dul
Milf
Bakire
Swinger
Cuckold
Evligizli
Evliçif… https://t.co/QoI9Vob3ie","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QoI9Vob3ie', 'expanded_url': 'https://twitter.com/i/web/status/1285213580229517314', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
8,2020-07-20 14:02:34,1285213515725377536,@MILF_javert Oh yeah... it's all coming together,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MILF_javert', 'name': ""Emory🐛's Javert Hovel"", 'id': 1057500633937395712, 'id_str': '1057500633937395712', 'indices': [0, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 14:02:33,1285213508158857218,@CalmateElvira Sería el equivalente masculino a una MILF?,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CalmateElvira', 'name': '💋 ®ǝʇuǝɯǝp ɹǝɾnɯ 💋🍿🍿🍿', 'id': 1192101791737032705, 'id_str': '1192101791737032705', 'indices': [0, 14]}], 'urls': []}","{'iso_language_code': 'es', 'result_type': 'recent'}"
10,2020-07-20 14:02:18,1285213445995069441,MILF,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
11,2020-07-20 14:02:12,1285213419868758016,"If you wanna turn me on.. you have to show me all your big and huge load of cum!!! yeah!
#dm #Pussy #nsfw #sex #xxx… https://t.co/yNo3Wi5TEm","{'hashtags': [{'text': 'dm', 'indices': [89, 92]}, {'text': 'Pussy', 'indices': [93, 99]}, {'text': 'nsfw', 'indices': [100, 105]}, {'text': 'sex', 'indices': [106, 110]}, {'text': 'xxx', 'indices': [111, 115]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yNo3Wi5TEm', 'expanded_url': 'https://twitter.com/i/web/status/1285213419868758016', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
