,0,1,2,3,4
0,2020-07-20 14:03:39,1285213784907251717,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
1,2020-07-20 14:01:35,1285213264977133570,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
2,2020-07-20 14:00:16,1285212935422443522,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
3,2020-07-20 13:59:44,1285212802626379776,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
4,2020-07-20 13:58:48,1285212566206083075,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
5,2020-07-20 13:58:28,1285212481812459520,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
6,2020-07-20 13:58:15,1285212428041547777,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
7,2020-07-20 13:58:04,1285212379702104064,Redbelly minge moot,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:58:00,1285212364300787712,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
9,2020-07-20 13:57:48,1285212315084677121,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
10,2020-07-20 13:57:47,1285212312102555648,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
11,2020-07-20 13:57:44,1285212299548999681,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
12,2020-07-20 13:57:44,1285212298894815235,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
13,2020-07-20 13:57:39,1285212276002152454,"RT @change2561: “อะไรที่ชอบไม่พอหรอกครับ แต่ถ้าน้องพรีมอยู่ด้วย พี่เซ้นต์จะมีความสุขมากกว่านี้นะ” 
#หนูรักพี่ #รักเหมือนกันนะคะ ผู้ชายพูดคะ…","{'hashtags': [{'text': 'หนูรักพี่', 'indices': [99, 109]}, {'text': 'รักเหมือนกันนะคะ', 'indices': [110, 127]}], 'symbols': [], 'user_mentions': [{'screen_name': 'change2561', 'name': 'CHANGE2561', 'id': 993919613011279873, 'id_str': '993919613011279873', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
