,0,1,2,3,4
0,2020-07-20 14:03:56,1285213858039123968,"RT @APVNews_: राजस्थान : कांग्रेस नेता के रिश्तेदारो ने दलित महिला के साथ की छेड़खानी और मारपीट
@BhimArmyChief @SiddharthaJatwa @DR_Ambedka…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'APVNews_', 'name': ""Ambedkarite People's Voice"", 'id': 1112039257114238976, 'id_str': '1112039257114238976', 'indices': [3, 12]}, {'screen_name': 'BhimArmyChief', 'name': 'Chandra Shekhar Aazad', 'id': 968482448253140993, 'id_str': '968482448253140993', 'indices': [96, 110]}, {'screen_name': 'SiddharthaJatwa', 'name': 'Siddhartha Jatwa(B.S.P)', 'id': 1197467798949130240, 'id_str': '1197467798949130240', 'indices': [111, 127]}], 'urls': []}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
1,2020-07-20 13:58:48,1285212566680207360,@patelminesh07 @MaheshNBhatt he is known to molest men too,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'patelminesh07', 'name': 'Minesh Patel', 'id': 141339938, 'id_str': '141339938', 'indices': [0, 14]}, {'screen_name': 'MaheshNBhatt', 'name': 'Mahesh Bhatt', 'id': 53556894, 'id_str': '53556894', 'indices': [15, 28]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:56:48,1285212063741161472,"@MrManPenrose7 Were you ther when he didn't molest kids?
If so, what were you doing?","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MrManPenrose7', 'name': 'it is human nature, believe it or not', 'id': 1262242558392119304, 'id_str': '1262242558392119304', 'indices': [0, 14]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 13:56:13,1285211917167009794,"@FRSCNigeria ""Uniform na cloth na tailor they sow am"" respest to FELA. 2 wrongs can never make a right. Those offic… https://t.co/t88nkvnbmK","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FRSCNigeria', 'name': 'FRSC, NIGERIA', 'id': 71209897, 'id_str': '71209897', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/t88nkvnbmK', 'expanded_url': 'https://twitter.com/i/web/status/1285211917167009794', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 13:55:27,1285211722786181121,"@JoeBiden Everything offends some1 
If you grew up 2b a straight man after being molested by a man as a child That… https://t.co/A5BqA5HOiM","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/A5BqA5HOiM', 'expanded_url': 'https://twitter.com/i/web/status/1285211722786181121', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 13:54:44,1285211542397558785,RT @terryan11210907: This is best you can do Acosta?? Don't you have a Plastic Blow up Doll of Don Lemon to molest?,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'terryan11210907', 'name': 'Nemo', 'id': 792467758386675712, 'id_str': '792467758386675712', 'indices': [3, 19]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 13:54:33,1285211496260104193,Molest organs,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'ca'}"
7,2020-07-20 13:52:31,1285210985217875970,"@adeniyi_adeneye @bishungjoshua1 @RealSeunKuti ""Uniform na cloth na tailor they sow am"" respest to FELA. Two wrongs… https://t.co/NWL0KmMhjU","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'adeniyi_adeneye', 'name': 'Adeniyi Adeneye', 'id': 715495209287684096, 'id_str': '715495209287684096', 'indices': [0, 16]}, {'screen_name': 'bishungjoshua1', 'name': 'bishungjoshua', 'id': 2762113093, 'id_str': '2762113093', 'indices': [17, 32]}, {'screen_name': 'RealSeunKuti', 'name': 'Seun Anikulapo Kuti', 'id': 420411751, 'id_str': '420411751', 'indices': [33, 46]}], 'urls': [{'url': 'https://t.co/NWL0KmMhjU', 'expanded_url': 'https://twitter.com/i/web/status/1285210985217875970', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:51:49,1285210808776118272,@barnowlsandbats Why is it such a goddamn uphill battle to spread the message of just leaving wildlife alone? Child… https://t.co/OCf1FuWmlj,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'barnowlsandbats', 'name': 'Woodlandwalks', 'id': 1059459985535614976, 'id_str': '1059459985535614976', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/OCf1FuWmlj', 'expanded_url': 'https://twitter.com/i/web/status/1285210808776118272', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 13:51:48,1285210802455285760,"@RealSeunKuti ""Uniform na cloth na tailor they sow am"" respest to FELA. Two wrongs can ever make a right. Those off… https://t.co/ig52Pe4IhD","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RealSeunKuti', 'name': 'Seun Anikulapo Kuti', 'id': 420411751, 'id_str': '420411751', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/ig52Pe4IhD', 'expanded_url': 'https://twitter.com/i/web/status/1285210802455285760', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
10,2020-07-20 13:51:31,1285210733387472896,RT @yaifoundations: Sunny Verma owner of IMGVENTURE runs this contest and using the big names or Roadies and it's celebrities. He used to m…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yaifoundations', 'name': 'Youth Against Rape™', 'id': 1130783623928459265, 'id_str': '1130783623928459265', 'indices': [3, 18]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
11,2020-07-20 13:51:21,1285210690924326912,"RT @APVNews_: राजस्थान : कांग्रेस नेता के रिश्तेदारो ने दलित महिला के साथ की छेड़खानी और मारपीट
@BhimArmyChief @SiddharthaJatwa @DR_Ambedka…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'APVNews_', 'name': ""Ambedkarite People's Voice"", 'id': 1112039257114238976, 'id_str': '1112039257114238976', 'indices': [3, 12]}, {'screen_name': 'BhimArmyChief', 'name': 'Chandra Shekhar Aazad', 'id': 968482448253140993, 'id_str': '968482448253140993', 'indices': [96, 110]}, {'screen_name': 'SiddharthaJatwa', 'name': 'Siddhartha Jatwa(B.S.P)', 'id': 1197467798949130240, 'id_str': '1197467798949130240', 'indices': [111, 127]}], 'urls': []}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
12,2020-07-20 13:50:58,1285210593180385280,RT @terryan11210907: This is best you can do Acosta?? Don't you have a Plastic Blow up Doll of Don Lemon to molest? https://t.co/TUEm5egQLI,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'terryan11210907', 'name': 'Nemo', 'id': 792467758386675712, 'id_str': '792467758386675712', 'indices': [3, 19]}], 'urls': [{'url': 'https://t.co/TUEm5egQLI', 'expanded_url': 'https://twitter.com/Acosta/status/1284843300864786440', 'display_url': 'twitter.com/Acosta/status/…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
13,2020-07-20 13:50:52,1285210567612010498,"@Flexydoro @FRSCNigeria ""Uniform na cloth na tailor they sow am"" respest to FELA. Two wrongs can ever make a right.… https://t.co/OS6tdDUcZW","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Flexydoro', 'name': 'Ochuko', 'id': 66709545, 'id_str': '66709545', 'indices': [0, 10]}, {'screen_name': 'FRSCNigeria', 'name': 'FRSC, NIGERIA', 'id': 71209897, 'id_str': '71209897', 'indices': [11, 23]}], 'urls': [{'url': 'https://t.co/OS6tdDUcZW', 'expanded_url': 'https://twitter.com/i/web/status/1285210567612010498', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
14,2020-07-20 13:50:19,1285210429745057794,"RT @APVNews_: राजस्थान : कांग्रेस नेता के रिश्तेदारो ने दलित महिला के साथ की छेड़खानी और मारपीट
@BhimArmyChief @SiddharthaJatwa @DR_Ambedka…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'APVNews_', 'name': ""Ambedkarite People's Voice"", 'id': 1112039257114238976, 'id_str': '1112039257114238976', 'indices': [3, 12]}, {'screen_name': 'BhimArmyChief', 'name': 'Chandra Shekhar Aazad', 'id': 968482448253140993, 'id_str': '968482448253140993', 'indices': [96, 110]}, {'screen_name': 'SiddharthaJatwa', 'name': 'Siddhartha Jatwa(B.S.P)', 'id': 1197467798949130240, 'id_str': '1197467798949130240', 'indices': [111, 127]}], 'urls': []}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
15,2020-07-20 13:50:10,1285210393678315523,"@FRSCNigeria ""Uniform na cloth na tailor they sow am"" respest to FELA. Two wrongs can ever make a right. Those offi… https://t.co/BQvc7jmBBn","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FRSCNigeria', 'name': 'FRSC, NIGERIA', 'id': 71209897, 'id_str': '71209897', 'indices': [0, 12]}], 'urls': [{'url': 'https://t.co/BQvc7jmBBn', 'expanded_url': 'https://twitter.com/i/web/status/1285210393678315523', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
16,2020-07-20 13:49:33,1285210238627401728,"RT @APVNews_: राजस्थान : कांग्रेस नेता के रिश्तेदारो ने दलित महिला के साथ की छेड़खानी और मारपीट
@BhimArmyChief @SiddharthaJatwa @DR_Ambedka…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'APVNews_', 'name': ""Ambedkarite People's Voice"", 'id': 1112039257114238976, 'id_str': '1112039257114238976', 'indices': [3, 12]}, {'screen_name': 'BhimArmyChief', 'name': 'Chandra Shekhar Aazad', 'id': 968482448253140993, 'id_str': '968482448253140993', 'indices': [96, 110]}, {'screen_name': 'SiddharthaJatwa', 'name': 'Siddhartha Jatwa(B.S.P)', 'id': 1197467798949130240, 'id_str': '1197467798949130240', 'indices': [111, 127]}], 'urls': []}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
17,2020-07-20 13:47:49,1285209801874702336,Mmm!~ PLEASE molest my girly parts!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
18,2020-07-20 13:45:37,1285209247458836480,"@MaheshNBhatt Karma comes to haunt you Mr. Bhatt. You thought, you can molest and rape and force aspiring actors in… https://t.co/NiaqyD1qxb","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaheshNBhatt', 'name': 'Mahesh Bhatt', 'id': 53556894, 'id_str': '53556894', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/NiaqyD1qxb', 'expanded_url': 'https://twitter.com/i/web/status/1285209247458836480', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
19,2020-07-20 13:44:15,1285208904075489281,@ariannajaylynn Did trump molest a whole bunch of chicks. Also he is transhphobic af. His policies have made it har… https://t.co/tZ2lVrckAP,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ariannajaylynn', 'name': 'Jaylyn', 'id': 3028883475, 'id_str': '3028883475', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/tZ2lVrckAP', 'expanded_url': 'https://twitter.com/i/web/status/1285208904075489281', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
20,2020-07-20 13:40:58,1285208076203757572,RT @PhennommA: We need a president that doesnt molest women n children.,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhennommA', 'name': 'PhennommANON', 'id': 1219986276495110151, 'id_str': '1219986276495110151', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
21,2020-07-20 13:40:33,1285207973711745025,"RT @WeNeedEU: @AndrewKnight226 @jcm247 It is just astonishing that anyone can consider this news NOW.

It is the ultimate, 'Dog bites man,…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WeNeedEU', 'name': 'We Need EU 🇪🇺 👊 🇪🇺', 'id': 794482724623044608, 'id_str': '794482724623044608', 'indices': [3, 12]}, {'screen_name': 'AndrewKnight226', 'name': 'Andrew Knight 🇪🇺🇩🇪🇦🇺🇬🇧', 'id': 1717521084, 'id_str': '1717521084', 'indices': [14, 30]}, {'screen_name': 'jcm247', 'name': 'judy mcdowell', 'id': 155900566, 'id_str': '155900566', 'indices': [31, 38]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
22,2020-07-20 13:39:57,1285207822456754176,We need a president that doesnt molest women n children. https://t.co/2yHOHnauaH,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2yHOHnauaH', 'expanded_url': 'https://twitter.com/JoeBiden/status/1284883446251294722', 'display_url': 'twitter.com/JoeBiden/statu…', 'indices': [57, 80]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
23,2020-07-20 13:37:19,1285207161472077825,RT @wethepe04706304: @no_silenced Secret service need to be put around everybody involved in the investigation of Jeffrey Epstein’s molest…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wethepe04706304', 'name': 'we the people', 'id': 1187030329938210816, 'id_str': '1187030329938210816', 'indices': [3, 19]}, {'screen_name': 'no_silenced', 'name': '🌟🌟Rooster🌟🌟', 'id': 1092086942198452224, 'id_str': '1092086942198452224', 'indices': [21, 33]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
24,2020-07-20 13:35:19,1285206655504920576,@WajahatAli I hope people realize that @nytimes OP-ed writers molest children. Source- I can make up crazy shit too,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WajahatAli', 'name': 'Wajahat ""Wears a Mask Because of a Pandemic"" Ali', 'id': 21733692, 'id_str': '21733692', 'indices': [0, 11]}, {'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [39, 47]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
25,2020-07-20 13:32:37,1285205974912061441,"@SIERRALOLOL @Moderator_99 @SAbattoir @DHead09 @JoeBiden Oh please, we did the same thing with our father. It’s cal… https://t.co/522jtWKVvu","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SIERRALOLOL', 'name': 'รĮ𝔼ｒⓇ𝔸 🛸', 'id': 1277293943642894336, 'id_str': '1277293943642894336', 'indices': [0, 12]}, {'screen_name': 'Moderator_99', 'name': 'Moderator 99', 'id': 1272317410897354754, 'id_str': '1272317410897354754', 'indices': [13, 26]}, {'screen_name': 'SAbattoir', 'name': 'Spicy Abattoir', 'id': 1147640657785380869, 'id_str': '1147640657785380869', 'indices': [27, 37]}, {'screen_name': 'DHead09', 'name': 'DHead09', 'id': 166670981, 'id_str': '166670981', 'indices': [38, 46]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [47, 56]}], 'urls': [{'url': 'https://t.co/522jtWKVvu', 'expanded_url': 'https://twitter.com/i/web/status/1285205974912061441', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
26,2020-07-20 13:32:16,1285205887783702528,"RT @WeNeedEU: @AndrewKnight226 @jcm247 It is just astonishing that anyone can consider this news NOW.

It is the ultimate, 'Dog bites man,…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WeNeedEU', 'name': 'We Need EU 🇪🇺 👊 🇪🇺', 'id': 794482724623044608, 'id_str': '794482724623044608', 'indices': [3, 12]}, {'screen_name': 'AndrewKnight226', 'name': 'Andrew Knight 🇪🇺🇩🇪🇦🇺🇬🇧', 'id': 1717521084, 'id_str': '1717521084', 'indices': [14, 30]}, {'screen_name': 'jcm247', 'name': 'judy mcdowell', 'id': 155900566, 'id_str': '155900566', 'indices': [31, 38]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
27,2020-07-20 13:31:20,1285205655926841349,"@AndrewKnight226 @jcm247 It is just astonishing that anyone can consider this news NOW.

It is the ultimate, 'Dog b… https://t.co/OOhV6MV2FQ","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AndrewKnight226', 'name': 'Andrew Knight 🇪🇺🇩🇪🇦🇺🇬🇧', 'id': 1717521084, 'id_str': '1717521084', 'indices': [0, 16]}, {'screen_name': 'jcm247', 'name': 'judy mcdowell', 'id': 155900566, 'id_str': '155900566', 'indices': [17, 24]}], 'urls': [{'url': 'https://t.co/OOhV6MV2FQ', 'expanded_url': 'https://twitter.com/i/web/status/1285205655926841349', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
28,2020-07-20 13:27:32,1285204699172483072,"RT @enthusiastleeee: Its not healthy to normalize pedophilia, may sakit ba to sa utak? If this is his way to gain attention and fame ngayon…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'enthusiastleeee', 'name': 'Lee', 'id': 1215834905310924800, 'id_str': '1215834905310924800', 'indices': [3, 19]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
29,2020-07-20 13:26:44,1285204495773753345,@EncikBG Teeheee can't wait to have you molest me again,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EncikBG', 'name': 'Encik BG', 'id': 826252033875337216, 'id_str': '826252033875337216', 'indices': [0, 8]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
30,2020-07-20 13:25:54,1285204286297825283,@gregolear @nypost While I'd never wish harm to any person it doesn't bother me that she lives in fear. I hope that… https://t.co/PKVw0LD6bl,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gregolear', 'name': 'Greg Olear', 'id': 20764031, 'id_str': '20764031', 'indices': [0, 10]}, {'screen_name': 'nypost', 'name': 'New York Post', 'id': 17469289, 'id_str': '17469289', 'indices': [11, 18]}], 'urls': [{'url': 'https://t.co/PKVw0LD6bl', 'expanded_url': 'https://twitter.com/i/web/status/1285204286297825283', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
31,2020-07-20 13:25:53,1285204283219009536,RT @Yashpal35757612: इस तरह के जघन्य अपराध के लिए दोषियों पर सख्त से सख्त कार्यवाही होनी चाहिए। आखिर हम किस दिशा में जा रहे हैं जहां रोज़…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Yashpal35757612', 'name': 'Yashpal Tejodian', 'id': 998641922481840130, 'id_str': '998641922481840130', 'indices': [3, 19]}], 'urls': []}","{'iso_language_code': 'hi', 'result_type': 'recent'}"
32,2020-07-20 13:24:17,1285203877961310210,@griseldareyesq Una preg vos sos Venezolana!?T lo preg xq c/venezolana vos sos la +indicada p/contstar si en Venezu… https://t.co/wSyaYNz0kb,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'griseldareyesq', 'name': 'Griselda Reyes', 'id': 1202553104, 'id_str': '1202553104', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/wSyaYNz0kb', 'expanded_url': 'https://twitter.com/i/web/status/1285203877961310210', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
33,2020-07-20 13:18:48,1285202499628986369,"RT @SengeHSering: Pashtuns stuck in vicious cycle.
Pakistani military personnel molest Pashtun women.
Pashtun protest.
Army torture, arrest…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SengeHSering', 'name': '#SengeSering ས།ཚ།', 'id': 447728696, 'id_str': '447728696', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
34,2020-07-20 13:13:57,1285201277811601408,"@baria04 @One__Religion @iam__kha Non Ahmadis either do monkey acts in their Mosques, molest and rape children, or… https://t.co/tM8xejGO1H","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'baria04', 'name': 'Baria', 'id': 891432774485389312, 'id_str': '891432774485389312', 'indices': [0, 8]}, {'screen_name': 'One__Religion', 'name': 'ⵀNE', 'id': 1062174840914931712, 'id_str': '1062174840914931712', 'indices': [9, 23]}, {'screen_name': 'iam__kha', 'name': 'Kha / خا', 'id': 1261956942588784642, 'id_str': '1261956942588784642', 'indices': [24, 33]}], 'urls': [{'url': 'https://t.co/tM8xejGO1H', 'expanded_url': 'https://twitter.com/i/web/status/1285201277811601408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
35,2020-07-20 13:12:01,1285200791100223488,"@FDeroca its OBVIOUS naman na not all men burn, rape, harass, molest women kaya there’s no reason for u to be affec… https://t.co/xtOpoITcDP","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FDeroca', 'name': 'Gaz.', 'id': 1023581297610907648, 'id_str': '1023581297610907648', 'indices': [0, 8]}], 'urls': [{'url': 'https://t.co/xtOpoITcDP', 'expanded_url': 'https://twitter.com/i/web/status/1285200791100223488', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
