,0,1,2,3,4
0,2020-07-20 14:03:25,1285213726640136194,@usmccyclist @davidzweig 8⃣ attempts by doctors and other awful consequences of this lockdown aren't even being con… https://t.co/wGl8A82U6d,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'usmccyclist', 'name': 'Sans Ketchup', 'id': 1162362229523697668, 'id_str': '1162362229523697668', 'indices': [0, 12]}, {'screen_name': 'davidzweig', 'name': 'david zweig', 'id': 305170362, 'id_str': '305170362', 'indices': [13, 24]}], 'urls': [{'url': 'https://t.co/wGl8A82U6d', 'expanded_url': 'https://twitter.com/i/web/status/1285213726640136194', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 14:01:01,1285213123880914955,"RT @CohenMaladLLP: Couple who ran unlicensed daycare in Eaton, Indiana facing multiple counts of #Molestation #SexualAbuse of children in t…","{'hashtags': [{'text': 'Molestation', 'indices': [97, 109]}, {'text': 'SexualAbuse', 'indices': [110, 122]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CohenMaladLLP', 'name': 'Cohen & Malad, LLP', 'id': 431673468, 'id_str': '431673468', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:59:43,1285212796024524800,RT @youshallnotpash: @granny_1857 @SalmanNizami_ Pls don't ask them for cuddles and all. We have seen some really shameful videos of animal…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'youshallnotpash', 'name': 'Barlog', 'id': 83544148, 'id_str': '83544148', 'indices': [3, 19]}, {'screen_name': 'granny_1857', 'name': '🦀', 'id': 1112290607014174720, 'id_str': '1112290607014174720', 'indices': [21, 33]}, {'screen_name': 'SalmanNizami_', 'name': 'Salman Nizami', 'id': 83586157, 'id_str': '83586157', 'indices': [34, 48]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 13:59:30,1285212742064975872,"RT @bro_wholesome: @scorpioAna84 @platini954 So....the catholic leadership has been molesting young kids, and covering up molestation by th…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bro_wholesome', 'name': 'Entangle-Mint Condition', 'id': 1195467280894676992, 'id_str': '1195467280894676992', 'indices': [3, 17]}, {'screen_name': 'scorpioAna84', 'name': 'A*N*A', 'id': 1176314644845203457, 'id_str': '1176314644845203457', 'indices': [19, 32]}, {'screen_name': 'platini954', 'name': 'Young Dezòd', 'id': 19155825, 'id_str': '19155825', 'indices': [33, 44]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 13:59:22,1285212708024049665,@jessica32678922 Recovering in hospital. Appendectomy following exploratory for abdominal pain following molestatio… https://t.co/0V5ifuhxPp,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jessica32678922', 'name': 'jess sees stars!! and many many planets!', 'id': 1204839951726206976, 'id_str': '1204839951726206976', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/0V5ifuhxPp', 'expanded_url': 'https://twitter.com/i/web/status/1285212708024049665', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 13:57:55,1285212341768986629,"@JoeBiden Knowing Biden's proclivity for children, if this isn't creepy I don't know what is. Biden thinks borderli… https://t.co/cPQdOTVZw4","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/cPQdOTVZw4', 'expanded_url': 'https://twitter.com/i/web/status/1285212341768986629', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 13:56:03,1285211875290918918,RT @JackLynLeeOtt: @MKatemurphy @chrissyteigen @instagram Not one of them follow any organizations with a goal to end trafficking and moles…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JackLynLeeOtt', 'name': 'Jacklyn', 'id': 1170625218, 'id_str': '1170625218', 'indices': [3, 17]}, {'screen_name': 'MKatemurphy', 'name': 'Mary-Kate', 'id': 33101760, 'id_str': '33101760', 'indices': [19, 31]}, {'screen_name': 'chrissyteigen', 'name': 'chrissy teigen', 'id': 39364684, 'id_str': '39364684', 'indices': [32, 46]}, {'screen_name': 'instagram', 'name': 'Instagram', 'id': 180505807, 'id_str': '180505807', 'indices': [47, 57]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 13:53:36,1285211258829103105,"RT @Nefario22393504: Campaign manager for #McCain ""we don't say his name"" in Pueblo, charged with child molestation. Remember, Mrs. McCain…","{'hashtags': [{'text': 'McCain', 'indices': [42, 49]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Nefario22393504', 'name': 'Nefarious ⭐⭐⭐', 'id': 1178750662227693571, 'id_str': '1178750662227693571', 'indices': [3, 19]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:53:04,1285211121683697665,RT @DantoniSal: Molestation allegations against well-regarded Puebloan https://t.co/ZYV9rrv1Rl via @denverpost,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DantoniSal', 'name': 'Sal Dantoni', 'id': 1191472483586596865, 'id_str': '1191472483586596865', 'indices': [3, 14]}, {'screen_name': 'denverpost', 'name': 'The Denver Post', 'id': 8216772, 'id_str': '8216772', 'indices': [99, 110]}], 'urls': [{'url': 'https://t.co/ZYV9rrv1Rl', 'expanded_url': 'https://www.denverpost.com/2009/02/05/molestation-allegations-against-well-regarded-puebloan/', 'display_url': 'denverpost.com/2009/02/05/mol…', 'indices': [71, 94]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 13:51:56,1285210838551244802,RT @KitweBoi: @jaynaproctor @RuckSacWoods @cel1999 So ignore the fact that the wife has just taken over a case involving Russian money laun…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KitweBoi', 'name': 'ChemTales', 'id': 808265640, 'id_str': '808265640', 'indices': [3, 12]}, {'screen_name': 'jaynaproctor', 'name': 'Jayna🇨🇦🇨🇦', 'id': 1241491620672835585, 'id_str': '1241491620672835585', 'indices': [14, 27]}, {'screen_name': 'RuckSacWoods', 'name': 'James Woods', 'id': 3302591605, 'id_str': '3302591605', 'indices': [28, 41]}, {'screen_name': 'cel1999', 'name': 'Adrian', 'id': 53946574, 'id_str': '53946574', 'indices': [42, 50]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
