,0,1,2,3,4
0,2020-07-20 13:37:25,1285207182984671232,"RT @edge_him: Horny bound boy is edged to a ruined orgasm 🍆💦He cums so hard, it must be frustrating to not touch his cock😈

🔥vid @TheEdging…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'edge_him', 'name': 'EdgeHim', 'id': 1029938421916098561, 'id_str': '1029938421916098561', 'indices': [3, 12]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 12:59:26,1285197625843748865,@BeastPRUK @TheAllergiesUK @Asylumsband @CaesarDidItBand @thekeysmusic @the_dryas @miro_shot @theblinders… https://t.co/GHqYTylq5x,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BeastPRUK', 'name': 'Beast PR', 'id': 2774442017, 'id_str': '2774442017', 'indices': [0, 10]}, {'screen_name': 'TheAllergiesUK', 'name': 'The Allergies', 'id': 1875488281, 'id_str': '1875488281', 'indices': [11, 26]}, {'screen_name': 'Asylumsband', 'name': 'Asylums', 'id': 1726812374, 'id_str': '1726812374', 'indices': [27, 39]}, {'screen_name': 'CaesarDidItBand', 'name': 'Caesar Did It', 'id': 1221480036127125505, 'id_str': '1221480036127125505', 'indices': [40, 56]}, {'screen_name': 'thekeysmusic', 'name': 'K E Y S', 'id': 60885475, 'id_str': '60885475', 'indices': [57, 70]}, {'screen_name': 'the_dryas', 'name': 'The Dryas', 'id': 1253693057813237761, 'id_str': '1253693057813237761', 'indices': [71, 81]}, {'screen_name': 'miro_shot', 'name': 'MIRO_SHOT', 'id': 830856299906756608, 'id_str': '830856299906756608', 'indices': [82, 92]}, {'screen_name': 'theblinders', 'name': 'THE BLINDERS', 'id': 2861586387, 'id_str': '2861586387', 'indices': [93, 105]}], 'urls': [{'url': 'https://t.co/GHqYTylq5x', 'expanded_url': 'https://twitter.com/i/web/status/1285197625843748865', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 12:58:10,1285197308364312582,@TheAllergiesUK @londoncafe @Asylumsband @CaesarDidItBand @thekeysmusic @the_dryas @miro_shot @theblinders… https://t.co/HKqKeRsFR0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheAllergiesUK', 'name': 'The Allergies', 'id': 1875488281, 'id_str': '1875488281', 'indices': [0, 15]}, {'screen_name': 'londoncafe', 'name': 'MEL ❯❯❯❯', 'id': 26590971, 'id_str': '26590971', 'indices': [16, 27]}, {'screen_name': 'Asylumsband', 'name': 'Asylums', 'id': 1726812374, 'id_str': '1726812374', 'indices': [28, 40]}, {'screen_name': 'CaesarDidItBand', 'name': 'Caesar Did It', 'id': 1221480036127125505, 'id_str': '1221480036127125505', 'indices': [41, 57]}, {'screen_name': 'thekeysmusic', 'name': 'K E Y S', 'id': 60885475, 'id_str': '60885475', 'indices': [58, 71]}, {'screen_name': 'the_dryas', 'name': 'The Dryas', 'id': 1253693057813237761, 'id_str': '1253693057813237761', 'indices': [72, 82]}, {'screen_name': 'miro_shot', 'name': 'MIRO_SHOT', 'id': 830856299906756608, 'id_str': '830856299906756608', 'indices': [83, 93]}, {'screen_name': 'theblinders', 'name': 'THE BLINDERS', 'id': 2861586387, 'id_str': '2861586387', 'indices': [94, 106]}], 'urls': [{'url': 'https://t.co/HKqKeRsFR0', 'expanded_url': 'https://twitter.com/i/web/status/1285197308364312582', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 12:54:19,1285196336644739072,"@fiveub pls share pics, we gotta see the parts moneyshot and the build","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fiveub', 'name': 'Steven \U0001fa91', 'id': 1706468510, 'id_str': '1706468510', 'indices': [0, 7]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 10:29:27,1285159881276825600,RT @TheAllergiesUK: The Allergies podcast #38 is now...LIVE! We got #hiphop #45s #funk #beats and superstar guest @DynamiteMC on the show!…,"{'hashtags': [{'text': 'hiphop', 'indices': [68, 75]}, {'text': '45s', 'indices': [76, 80]}, {'text': 'funk', 'indices': [81, 86]}, {'text': 'beats', 'indices': [87, 93]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TheAllergiesUK', 'name': 'The Allergies', 'id': 1875488281, 'id_str': '1875488281', 'indices': [3, 18]}, {'screen_name': 'DynamiteMC', 'name': 'Dynamite MC', 'id': 20199315, 'id_str': '20199315', 'indices': [114, 125]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 10:29:15,1285159829154275328,"@rossadams33 @unkleofficial Thanks, man! Building on that era 👊🏻","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rossadams33', 'name': 'Ross Adams', 'id': 432503091, 'id_str': '432503091', 'indices': [0, 12]}, {'screen_name': 'unkleofficial', 'name': 'UNKLE', 'id': 131016069, 'id_str': '131016069', 'indices': [13, 27]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 10:25:13,1285158815483097089,"Just left a comment on ""The Allergies Podcast #38 (with guest Dynamite MC)"" by The Allergies https://t.co/c6MrTOkU7o","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/c6MrTOkU7o', 'expanded_url': 'https://www.mixcloud.com/TheAllergies/the-allergies-podcast-38-with-guest-dynamite-mc/', 'display_url': 'mixcloud.com/TheAllergies/t…', 'indices': [93, 116]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 09:45:43,1285148877495185408,@rossadams33 @unkleofficial And there’s a dj/director’s commentary for each one somewhere. May have to dig that out… https://t.co/4oAokowUJt,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rossadams33', 'name': 'Ross Adams', 'id': 432503091, 'id_str': '432503091', 'indices': [0, 12]}, {'screen_name': 'unkleofficial', 'name': 'UNKLE', 'id': 131016069, 'id_str': '131016069', 'indices': [13, 27]}], 'urls': [{'url': 'https://t.co/4oAokowUJt', 'expanded_url': 'https://twitter.com/i/web/status/1285148877495185408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 08:13:33,1285125680032878592,"Left a comment on ""James Lavelle Presents 'That's How It Is' Def Mix: Peak Time // 19-07-20"" https://t.co/7biK9bKOJw by Worldwide FM","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7biK9bKOJw', 'expanded_url': 'https://www.mixcloud.com/worldwidefm/james-lavelle-presents-thats-how-it-is-def-mix-peak-time-19-07-20/', 'display_url': 'mixcloud.com/worldwidefm/ja…', 'indices': [93, 116]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 08:12:01,1285125297164169223,"Enjoying sounds of ""James Lavelle Presents 'That's How It Is' Def Mix: Pe..."" by Worldwide FM #nowplaying on https://t.co/7biK9bKOJw","{'hashtags': [{'text': 'nowplaying', 'indices': [94, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7biK9bKOJw', 'expanded_url': 'https://www.mixcloud.com/worldwidefm/james-lavelle-presents-thats-how-it-is-def-mix-peak-time-19-07-20/', 'display_url': 'mixcloud.com/worldwidefm/ja…', 'indices': [109, 132]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
10,2020-07-20 05:19:23,1285081849618980865,@KayyPlatinum @cumbizznis @CANDYKPR @SX6YYcamgirlz @suprshok @Clint_Torres69 @Vdsxx1 @PornoxDia @xdespiadado1… https://t.co/a0fbvu0M8D,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KayyPlatinum', 'name': 'Kayy Dutch Cumslut', 'id': 864938970962178050, 'id_str': '864938970962178050', 'indices': [0, 13]}, {'screen_name': 'cumbizznis', 'name': 'CumBizz Dirty Dutch Porn👑', 'id': 2846770035, 'id_str': '2846770035', 'indices': [14, 25]}, {'screen_name': 'CANDYKPR', 'name': 'Candyland 985K 🍭🇨🇦🇺🇸', 'id': 2270475122, 'id_str': '2270475122', 'indices': [26, 35]}, {'screen_name': 'SX6YYcamgirlz', 'name': 'SX6YY camgirlz🔻', 'id': 893638426830012417, 'id_str': '893638426830012417', 'indices': [36, 50]}, {'screen_name': 'suprshok', 'name': 'Headline/SF 330K', 'id': 250176278, 'id_str': '250176278', 'indices': [51, 60]}, {'screen_name': 'Clint_Torres69', 'name': 'Clint Torres 368K', 'id': 3996658393, 'id_str': '3996658393', 'indices': [61, 76]}, {'screen_name': 'Vdsxx1', 'name': '❣Video XXX❣ 2,2Ⓜ❣', 'id': 721595524944654336, 'id_str': '721595524944654336', 'indices': [77, 84]}, {'screen_name': 'PornoxDia', 'name': 'PornoxDia', 'id': 897564180, 'id_str': '897564180', 'indices': [85, 95]}, {'screen_name': 'xdespiadado1', 'name': 'Despiadado 54K 🔞⭐🍾', 'id': 962416308653559809, 'id_str': '962416308653559809', 'indices': [96, 109]}], 'urls': [{'url': 'https://t.co/a0fbvu0M8D', 'expanded_url': 'https://twitter.com/i/web/status/1285081849618980865', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
