,0,1,2,3,4
0,2020-07-20 14:05:09,1285214162117775360,"YES! YES!

MOTHAFUCKA LIGHTING GW DAH SAMPE!!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 14:00:14,1285212928686292994,"کلا وضعیت جهان کسشعر شده ها. مثلا فک کن کانیه وست بشه رییس جمهور آمریکا و بعد توییت کنه: 
Yo, Kamanei! Mothafucka nigga!","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'fa', 'result_type': 'recent'}"
2,2020-07-20 13:54:12,1285211408079171590,that’ll reduce my risk of post partum like a mothafucka,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 13:48:46,1285210041868357634,"RT @kisahtanahjawa: Ditunggu yah Javanica dan Saraddicts!! 

Sabtu 25 juli 2020
Jam 20:00 wib!
@SaraWijayanto https://t.co/vq4mFjmUyq","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kisahtanahjawa', 'name': 'The Lost Book', 'id': 993888920432660481, 'id_str': '993888920432660481', 'indices': [3, 18]}, {'screen_name': 'SaraWijayanto', 'name': 'Sara★Wijayanto', 'id': 39041598, 'id_str': '39041598', 'indices': [95, 109]}], 'urls': [], 'media': [{'id': 1285176265859686401, 'id_str': '1285176265859686401', 'indices': [110, 133], 'media_url': 'http://pbs.twimg.com/media/EdXdATBUYAE8XwJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdXdATBUYAE8XwJ.jpg', 'url': 'https://t.co/vq4mFjmUyq', 'display_url': 'pic.twitter.com/vq4mFjmUyq', 'expanded_url': 'https://twitter.com/kisahtanahjawa/status/1285176268367904768/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1080, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1285176268367904768, 'source_status_id_str': '1285176268367904768', 'source_user_id': 993888920432660481, 'source_user_id_str': '993888920432660481'}]}","{'iso_language_code': 'in', 'result_type': 'recent'}"
4,2020-07-20 13:48:01,1285209850490679297,"RT @FunnymanPage: I have so many questions...🤔🤔😉😆😆😆😆🙈🤦‍♂️

 https://t.co/pk1RkbFuHZ","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FunnymanPage', 'name': 'FunnymanPage', 'id': 1183933352044154880, 'id_str': '1183933352044154880', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1284831002288885762, 'id_str': '1284831002288885762', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1284831002288885762/pu/img/-NPxpOTmeZw5Ebo0.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1284831002288885762/pu/img/-NPxpOTmeZw5Ebo0.jpg', 'url': 'https://t.co/pk1RkbFuHZ', 'display_url': 'pic.twitter.com/pk1RkbFuHZ', 'expanded_url': 'https://twitter.com/VictorZaze/status/1284831078784565248/video/1', 'type': 'photo', 'sizes': {'medium': {'w': 640, 'h': 640, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 640, 'resize': 'fit'}, 'small': {'w': 640, 'h': 640, 'resize': 'fit'}}, 'source_status_id': 1284831078784565248, 'source_status_id_str': '1284831078784565248', 'source_user_id': 1228252549435793408, 'source_user_id_str': '1228252549435793408'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 13:47:01,1285209598773694466,RT @survivalvids: How to survive being buried alive in a coffin https://t.co/l7AdOKsmJU,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'survivalvids', 'name': 'Survival', 'id': 1256806557368684545, 'id_str': '1256806557368684545', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1284527098707636224, 'id_str': '1284527098707636224', 'indices': [64, 87], 'media_url': 'http://pbs.twimg.com/media/EdOOly7U8AAOHhy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdOOly7U8AAOHhy.jpg', 'url': 'https://t.co/l7AdOKsmJU', 'display_url': 'pic.twitter.com/l7AdOKsmJU', 'expanded_url': 'https://twitter.com/survivalvids/status/1284527116344680449/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 382, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 548, 'h': 976, 'resize': 'fit'}, 'large': {'w': 548, 'h': 976, 'resize': 'fit'}}, 'source_status_id': 1284527116344680449, 'source_status_id_str': '1284527116344680449', 'source_user_id': 1256806557368684545, 'source_user_id_str': '1256806557368684545'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 13:44:46,1285209034769920000,RT @Mens_Corner_: https://t.co/j9TGfWK9Xg,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mens_Corner_', 'name': ""Men's Corner"", 'id': 212942638, 'id_str': '212942638', 'indices': [3, 16]}], 'urls': [], 'media': [{'id': 1285179340213440512, 'id_str': '1285179340213440512', 'indices': [18, 41], 'media_url': 'http://pbs.twimg.com/media/EdXfzP4X0AAxnvb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdXfzP4X0AAxnvb.jpg', 'url': 'https://t.co/j9TGfWK9Xg', 'display_url': 'pic.twitter.com/j9TGfWK9Xg', 'expanded_url': 'https://twitter.com/Mens_Corner_/status/1285179348086075392/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 719, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 679, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 719, 'resize': 'fit'}}, 'source_status_id': 1285179348086075392, 'source_status_id_str': '1285179348086075392', 'source_user_id': 212942638, 'source_user_id_str': '212942638'}]}","{'iso_language_code': 'und', 'result_type': 'recent'}"
7,2020-07-20 13:44:39,1285209005615247360,RT @CrazyinINA: Everyone should believe in something. I believe I’ll go fishing https://t.co/hAWNFGebu4,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CrazyinINA', 'name': 'Only in Indonesia', 'id': 962406389271298048, 'id_str': '962406389271298048', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1285206850992959488, 'id_str': '1285206850992959488', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/media/EdX40lhVcAAduZT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdX40lhVcAAduZT.jpg', 'url': 'https://t.co/hAWNFGebu4', 'display_url': 'pic.twitter.com/hAWNFGebu4', 'expanded_url': 'https://twitter.com/CrazyinINA/status/1285206853350158336/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 340, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 574, 'h': 1148, 'resize': 'fit'}, 'large': {'w': 574, 'h': 1148, 'resize': 'fit'}}, 'source_status_id': 1285206853350158336, 'source_status_id_str': '1285206853350158336', 'source_user_id': 962406389271298048, 'source_user_id_str': '962406389271298048'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:27:16,1285204629412876288,RT @5hel8y: Mothafucka Jones,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '5hel8y', 'name': 'lil idiot', 'id': 66056349, 'id_str': '66056349', 'indices': [3, 10]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 13:25:43,1285204242295398404,Mothafucka Jones,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
10,2020-07-20 13:20:30,1285202928589053952,@CountDankulaTV Next day the mothafucka was dead,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CountDankulaTV', 'name': 'Count Dankula🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f🏳️\u200d🌈 #BLM', 'id': 730121169194655748, 'id_str': '730121169194655748', 'indices': [0, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
11,2020-07-20 13:13:31,1285201170206728193,RT @jestiikk: When you don’t think the self revive is gonna work... Suprise mothafucka. 🔫 https://t.co/ibmuj2sy7S,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jestiikk', 'name': 'EMGG Jestiikk', 'id': 3224771491, 'id_str': '3224771491', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1285199255313895427, 'id_str': '1285199255313895427', 'indices': [90, 113], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1285199255313895427/pu/img/jqT2jJAjMrpXODjz.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1285199255313895427/pu/img/jqT2jJAjMrpXODjz.jpg', 'url': 'https://t.co/ibmuj2sy7S', 'display_url': 'pic.twitter.com/ibmuj2sy7S', 'expanded_url': 'https://twitter.com/jestiikk/status/1285199391586828288/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1285199391586828288, 'source_status_id_str': '1285199391586828288', 'source_user_id': 3224771491, 'source_user_id_str': '3224771491'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
12,2020-07-20 13:12:09,1285200826001219584,This Mothafucka don’t miss ! https://t.co/3XjhAd8VEj,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3XjhAd8VEj', 'expanded_url': 'https://twitter.com/nkorslay/status/1284680145312395264', 'display_url': 'twitter.com/nkorslay/statu…', 'indices': [29, 52]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
