,0,1,2,3,4
0,2020-07-20 13:44:22,1285208932319924224,RT @kuroology: HELLO???????????? *taps mic aggresively* HELLO????? WHY IS KUROO SO MOTHAFUCKIN HOT?????? ANYBODY ANSWER ME BEFORE I LOSE MY…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kuroology', 'name': 'aira! 🍣 THANK YOU FURUDATE', 'id': 1278328471287001089, 'id_str': '1278328471287001089', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:42:23,1285208434598481923,HAPPY BIRTHDAY TO MY BESTEST FRIEND IN THW WHOLE WILD WORLD. I LOVE YOU SO MUCH @Jillliaannn ITS YA MOTHAFUCKIN BIRTHDAAAAAAY!!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jillliaannn', 'name': 'Jill', 'id': 42075943, 'id_str': '42075943', 'indices': [80, 92]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 13:37:32,1285207213334814721,"Fox, sent a fuck out shopping that pussy on my mothafuckin' waist from Germany Everything foreign Dior on your bitch that","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 13:34:19,1285206406354939911,Say it ain’t mothafuckin so,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 13:33:33,1285206212833800193,Byrell the mothafuckin great,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 13:26:45,1285204499326435329,"“I'mma show you what real women do, bitch. See, you don't know what real mothafuckin' women do. Real mothafuckin' w… https://t.co/GYMQY7FNQi","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GYMQY7FNQi', 'expanded_url': 'https://twitter.com/i/web/status/1285204499326435329', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 12:51:08,1285195535708815360,@justMissJaz @HoodHealer Girl. Talking about going down the mothafuckin RABBIT HOLEEE!!! Omg 😩,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'justMissJaz', 'name': 'the women’s champ', 'id': 3298658139, 'id_str': '3298658139', 'indices': [0, 12]}, {'screen_name': 'HoodHealer', 'name': 'GhettoLux', 'id': 1093254034214080512, 'id_str': '1093254034214080512', 'indices': [13, 24]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 12:48:31,1285194880612999170,im a mothafuckin ska boy,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 12:04:50,1285183887312859136,@_NikSpace Exactly. I’ve been overwhelmed since April. I’m just now starting to get some type of drive back to so h… https://t.co/HAKZlTuts5,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_NikSpace', 'name': 'Formally knwn as Nik', 'id': 137148107, 'id_str': '137148107', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/HAKZlTuts5', 'expanded_url': 'https://twitter.com/i/web/status/1285183887312859136', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 12:04:41,1285183849110986752,Today is the mothafuckin day,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
10,2020-07-20 12:02:31,1285183302886920192,"I rest in an ostrach Aston Marton, driving retarded Sipping on toast for him Not another hit of the end to trip, my mothafuckin'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
11,2020-07-20 11:56:25,1285181767943630848,@NoLifeShaq Now everybody from the 313 put your mothafuckin' hands up and follow me.,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NoLifeShaq', 'name': 'NoLifeShaq', 'id': 336106103, 'id_str': '336106103', 'indices': [0, 11]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
12,2020-07-20 11:47:22,1285179490604179456,when the fuck have one of y’all seen a mothafuckin lion ladder before?,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
13,2020-07-20 11:35:57,1285176616566566913,I'm a mothafuckin Boner,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
14,2020-07-20 11:32:03,1285175635787350017,"RT @eleven8: Why is it so hard for y’all to keep Black women out your mothafuckin mouth? 

You couldn’t even have a simple interview with t…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'eleven8', 'name': 'Rosa Parks Cab Driver 👩🏾\u200d✈️', 'id': 17869864, 'id_str': '17869864', 'indices': [3, 11]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
15,2020-07-20 11:25:17,1285173934199934983,I’m a mothafuckin boner,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
16,2020-07-20 10:34:38,1285161185067794433,@bloutgoggles Im a mothafuckin boner,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bloutgoggles', 'name': 'bloutgoggles', 'id': 893003106186915840, 'id_str': '893003106186915840', 'indices': [0, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
17,2020-07-20 10:11:32,1285155374132162560,I'm a mothafuckin boner,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
18,2020-07-20 09:57:27,1285151829001560064,"I’m a mothafuckin stoner 
I’m a mothafuckin boner","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
19,2020-07-20 09:37:10,1285146722218512384,If we “talk” you not single.. we in a mothafuckin pending entanglement 🤨🥴,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
20,2020-07-20 09:01:14,1285137680699924481,Jordyn Woods so mothafuckin fine she honestly remind of this girl I use to know 🤗,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
21,2020-07-20 08:59:18,1285137194823192577,BITCH LETS MOTHAFUCKIN GOOOOOO https://t.co/29680d5I9q,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/29680d5I9q', 'expanded_url': 'https://twitter.com/imperialgcid/status/1285135760908152832', 'display_url': 'twitter.com/imperialgcid/s…', 'indices': [31, 54]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
22,2020-07-20 08:13:48,1285125745593978883,stop the mothafuckin music........it’s almost jungkooks birthday https://t.co/hryuA5GNqq,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1285125740829257729, 'id_str': '1285125740829257729', 'indices': [65, 88], 'media_url': 'http://pbs.twimg.com/media/EdWvDWnWsAE08a2.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdWvDWnWsAE08a2.jpg', 'url': 'https://t.co/hryuA5GNqq', 'display_url': 'pic.twitter.com/hryuA5GNqq', 'expanded_url': 'https://twitter.com/sooyatint/status/1285125745593978883/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1149, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1149, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 639, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
23,2020-07-20 08:12:01,1285125295633137664,@Owen_Afton @COOLSKELETO DO I SMELL A MOTHAFUCKIN UNRELATED MEME?,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Owen_Afton', 'name': 'Owen Gaster (Project-01)', 'id': 1189547007397920768, 'id_str': '1189547007397920768', 'indices': [0, 11]}, {'screen_name': 'COOLSKELETO', 'name': 'sans. AND PAPYRUS!', 'id': 1260800271321456640, 'id_str': '1260800271321456640', 'indices': [12, 24]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
24,2020-07-20 07:50:58,1285119996562075649,"Yo, I roll wit' nothin' but them pretty bitches, Them always on my mind bitches. You-got-the-money,-I-got-the-mothafuckin'-time bitches.","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
25,2020-07-20 07:48:06,1285119275070562304,Pete Davidson is the mothafuckin man. That's all.,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
26,2020-07-20 07:43:30,1285118119883739136,RT @alisssaajayde: Bitch i just wanna feel mothafuckin loveddddddd,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'alisssaajayde', 'name': '♥‿♥', 'id': 3022833684, 'id_str': '3022833684', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
27,2020-07-20 07:29:12,1285114521267458050,FIRST LET ME HOP OUT THE MOTHAFUCKIN PORSCHE,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
28,2020-07-20 07:12:40,1285110357980217344,Got my money back for my flight to Uganda through my credit card 🥳🥳🥳 happy mothafuckin Monday!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
29,2020-07-20 07:09:00,1285109437384949760,@av16791 @clarhotte @jacks0nfps @kyokoslut @Korsonix @DumplingTrina @satoofo @KirblyDurblyy @ryotaaro… https://t.co/1aG0UYxhwH,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'av16791', 'name': 'avery', 'id': 1028160648994349056, 'id_str': '1028160648994349056', 'indices': [0, 8]}, {'screen_name': 'clarhotte', 'name': 'charlotte (вeanвaıı)', 'id': 1095078781453246464, 'id_str': '1095078781453246464', 'indices': [9, 19]}, {'screen_name': 'jacks0nfps', 'name': 'jackson 🌸', 'id': 1120694351355699205, 'id_str': '1120694351355699205', 'indices': [20, 31]}, {'screen_name': 'kyokoslut', 'name': 'Lilian (вeanвaıı)', 'id': 763219784288837632, 'id_str': '763219784288837632', 'indices': [32, 42]}, {'screen_name': 'Korsonix', 'name': 'Korey', 'id': 739586116458827776, 'id_str': '739586116458827776', 'indices': [43, 52]}, {'screen_name': 'DumplingTrina', 'name': 'Trina', 'id': 4605699507, 'id_str': '4605699507', 'indices': [53, 67]}, {'screen_name': 'satoofo', 'name': 'stof', 'id': 1115066584777875456, 'id_str': '1115066584777875456', 'indices': [68, 76]}, {'screen_name': 'KirblyDurblyy', 'name': 'Kirbly', 'id': 1235868697257897984, 'id_str': '1235868697257897984', 'indices': [77, 91]}, {'screen_name': 'ryotaaro', 'name': 'taro', 'id': 1173100354277400577, 'id_str': '1173100354277400577', 'indices': [92, 101]}], 'urls': [{'url': 'https://t.co/1aG0UYxhwH', 'expanded_url': 'https://twitter.com/i/web/status/1285109437384949760', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [103, 126]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
30,2020-07-20 06:44:58,1285103389332762624,"man, I don't give a fuck about a mothafuckin po i'ma pull up with that stick and hit yo","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
