,0,1,2,3,4
0,2020-07-20 14:05:26,1285214235677663234,i got a motherfucking boner🙉,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 14:04:57,1285214115099742208,RT @RuborgScience: guys can we HIT that MOTHERfucking 10 RTS for bird a bird??? https://t.co/o6x95F1Tl7,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RuborgScience', 'name': 'Krusty FAN ACCOUNT', 'id': 1210662570648051715, 'id_str': '1210662570648051715', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1285213155174604800, 'id_str': '1285213155174604800', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/media/EdX-jibXYAAmiNe.png', 'media_url_https': 'https://pbs.twimg.com/media/EdX-jibXYAAmiNe.png', 'url': 'https://t.co/o6x95F1Tl7', 'display_url': 'pic.twitter.com/o6x95F1Tl7', 'expanded_url': 'https://twitter.com/RuborgScience/status/1285213470170980353/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 301, 'h': 86, 'resize': 'fit'}, 'thumb': {'w': 86, 'h': 86, 'resize': 'crop'}, 'medium': {'w': 301, 'h': 86, 'resize': 'fit'}, 'small': {'w': 301, 'h': 86, 'resize': 'fit'}}, 'source_status_id': 1285213470170980353, 'source_status_id_str': '1285213470170980353', 'source_user_id': 1210662570648051715, 'source_user_id_str': '1210662570648051715'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
2,2020-07-20 14:04:33,1285214011592544257,what in the motherfucking shit was THAT YOU'RE TELLING ME IT WAS A DREAM THE WHOLE TIME WHAT IN THE WORLD,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
3,2020-07-20 14:04:20,1285213959885332481,it’s motherfucking hot in here 🥵🥵,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 14:04:16,1285213943300911106,RT @nikiforcvs: if you ever feel like you aren't good enough just remember that oikawa 'never made it to nationals in high school' tooru ma…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nikiforcvs', 'name': 'the second coming of oikawa tooru', 'id': 4599374210, 'id_str': '4599374210', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
5,2020-07-20 14:04:16,1285213942520795139,RT @nikiforcvs: if you ever feel like you aren't good enough just remember that oikawa 'never made it to nationals in high school' tooru ma…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nikiforcvs', 'name': 'the second coming of oikawa tooru', 'id': 4599374210, 'id_str': '4599374210', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 14:04:14,1285213935227023360,RT @RuborgScience: guys can we HIT that MOTHERfucking 10 RTS for bird a bird??? https://t.co/o6x95F1Tl7,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RuborgScience', 'name': 'Krusty FAN ACCOUNT', 'id': 1210662570648051715, 'id_str': '1210662570648051715', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1285213155174604800, 'id_str': '1285213155174604800', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/media/EdX-jibXYAAmiNe.png', 'media_url_https': 'https://pbs.twimg.com/media/EdX-jibXYAAmiNe.png', 'url': 'https://t.co/o6x95F1Tl7', 'display_url': 'pic.twitter.com/o6x95F1Tl7', 'expanded_url': 'https://twitter.com/RuborgScience/status/1285213470170980353/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 301, 'h': 86, 'resize': 'fit'}, 'thumb': {'w': 86, 'h': 86, 'resize': 'crop'}, 'medium': {'w': 301, 'h': 86, 'resize': 'fit'}, 'small': {'w': 301, 'h': 86, 'resize': 'fit'}}, 'source_status_id': 1285213470170980353, 'source_status_id_str': '1285213470170980353', 'source_user_id': 1210662570648051715, 'source_user_id_str': '1210662570648051715'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 14:04:00,1285213874594160640,Why on Earth would you hex the motherfucking moon I- 🤦🏽‍♀️,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 14:03:25,1285213727982141440,RT @RuborgScience: guys can we HIT that MOTHERfucking 10 RTS for bird a bird??? https://t.co/o6x95F1Tl7,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RuborgScience', 'name': 'Krusty FAN ACCOUNT', 'id': 1210662570648051715, 'id_str': '1210662570648051715', 'indices': [3, 17]}], 'urls': [], 'media': [{'id': 1285213155174604800, 'id_str': '1285213155174604800', 'indices': [80, 103], 'media_url': 'http://pbs.twimg.com/media/EdX-jibXYAAmiNe.png', 'media_url_https': 'https://pbs.twimg.com/media/EdX-jibXYAAmiNe.png', 'url': 'https://t.co/o6x95F1Tl7', 'display_url': 'pic.twitter.com/o6x95F1Tl7', 'expanded_url': 'https://twitter.com/RuborgScience/status/1285213470170980353/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 301, 'h': 86, 'resize': 'fit'}, 'thumb': {'w': 86, 'h': 86, 'resize': 'crop'}, 'medium': {'w': 301, 'h': 86, 'resize': 'fit'}, 'small': {'w': 301, 'h': 86, 'resize': 'fit'}}, 'source_status_id': 1285213470170980353, 'source_status_id_str': '1285213470170980353', 'source_user_id': 1210662570648051715, 'source_user_id_str': '1210662570648051715'}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 14:03:05,1285213642800148481,"10 motherfucking years I waited for this day!

#TURNTHEANIMAL","{'hashtags': [{'text': 'TURNTHEANIMAL', 'indices': [47, 61]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
