,0,1,2,3,4
0,2020-07-20 14:06:51,1285214592784723968,RT @KahlilAlcala: Artists thinking of 62 different ways to say thank you,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KahlilAlcala', 'name': 'Kahlil Alcala', 'id': 2459168372, 'id_str': '2459168372', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 14:06:42,1285214552271945729,RT @n0cck: แกเคยรอรถเมล์แล้วมันไม่มาป่ะ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'n0cck', 'name': 'n', 'id': 1944401167, 'id_str': '1944401167', 'indices': [3, 9]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
2,2020-07-20 14:06:33,1285214515420737539,RT @RonallChersan: 📍 ข่าวด่วน ! วัคซีนป้องกันโควิด 19 ที่พัฒนาโดยมหาวิทยาลัย Oxford ประสบความสำเร็จในการสร้างภูมิคุ้มกันในมนุษย์ โดยทดลองจา…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RonallChersan', 'name': 'CHERSAN SRISATJANG✈️', 'id': 1399161414, 'id_str': '1399161414', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
3,2020-07-20 14:06:23,1285214475252113408,@ykylibidyi UMMM I SEW??? I WANT A SEWING NOOK,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ykylibidyi', 'name': ""your dad's boyfriend"", 'id': 4920449387, 'id_str': '4920449387', 'indices': [0, 11]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
4,2020-07-20 14:06:02,1285214384654913536,RT @sfkkfs_: วันนี้เหนื่อยใช่ไหม เเต่ก็ผ่านมาได้จนจะหมดวันเเล้วนะ เก่งมากเลย,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sfkkfs_', 'name': 'sutiฯ', 'id': 1678061454, 'id_str': '1678061454', 'indices': [3, 11]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
5,2020-07-20 14:05:57,1285214363368984576,@BoldBebo Maybe the bridge of the glasses could have a lil nook with a lil clip that can rest on top of the mask?… https://t.co/OlUJt2LMxg,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'BoldBebo', 'name': 'Bebo', 'id': 495613678, 'id_str': '495613678', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/OlUJt2LMxg', 'expanded_url': 'https://twitter.com/i/web/status/1285214363368984576', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-20 14:05:36,1285214277528285184,Nook's Cranny on the Faebell boardwalk #AnimalCrossing #ACNH #NintendoSwitch https://t.co/Hfw8zCDcn5,"{'hashtags': [{'text': 'AnimalCrossing', 'indices': [39, 54]}, {'text': 'ACNH', 'indices': [55, 60]}, {'text': 'NintendoSwitch', 'indices': [61, 76]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1285214275326234629, 'id_str': '1285214275326234629', 'indices': [77, 100], 'media_url': 'http://pbs.twimg.com/media/EdX_kvUU0AUR4G8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdX_kvUU0AUR4G8.jpg', 'url': 'https://t.co/Hfw8zCDcn5', 'display_url': 'pic.twitter.com/Hfw8zCDcn5', 'expanded_url': 'https://twitter.com/PandasDontTweat/status/1285214277528285184/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
7,2020-07-20 14:05:33,1285214264609976321,"RT @MarcosFizzotti: Marcos: An army of readers for an army of books!
Zomboy: Good. My army is hungry!
https://t.co/HzYsYjczUr
https://t.co/…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MarcosFizzotti', 'name': 'Marcos Fizzotti', 'id': 1065764268, 'id_str': '1065764268', 'indices': [3, 18]}], 'urls': [{'url': 'https://t.co/HzYsYjczUr', 'expanded_url': 'https://www.amazon.com/dp/B01F9FRN0K', 'display_url': 'amazon.com/dp/B01F9FRN0K', 'indices': [102, 125]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 14:05:25,1285214232938569728,@cloud_nook 口愛,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cloud_nook', 'name': '耕耕好朋友', 'id': 1172364379892805633, 'id_str': '1172364379892805633', 'indices': [0, 11]}], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}"
9,2020-07-20 14:05:20,1285214209676963841,RT @zornitsaxx: เรื่องผีในพันทิปก็คือแหล่งรวม The best horror stories อ่านแต่ละเรื่องแล้วขนหัวลุก เคยอ่าน 'บ้านคือวิมารของเรา' เป็นเรื่องผี…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zornitsaxx', 'name': '🌸 𝒃𝒆𝒘𝒊𝒕𝒄𝒉𝒆𝒅, 𝑪𝒐𝒍𝒊𝒏™ | *｡★･✨☘️', 'id': 528044022, 'id_str': '528044022', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
