,0,1,2,3,4
0,2020-07-18 19:08:14,1284565661067485186,@iamtomskinner Isn't that what Lord nookey bear kept calling you,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iamtomskinner', 'name': 'Thomas Skinner ⚒', 'id': 1079425544998080512, 'id_str': '1079425544998080512', 'indices': [0, 14]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-16 13:48:30,1283760420453376001,@nookey_ Benerr,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nookey_', 'name': 'Kevin naoki Davidson', 'id': 3670103472, 'id_str': '3670103472', 'indices': [0, 8]}], 'urls': []}","{'result_type': 'recent', 'iso_language_code': 'tr'}"
2,2020-07-16 13:32:04,1283756288015384576,@smananda_ Kalo kerjaaannya dapetny stabil. Mau skincareran sampe licin. Selo ae,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'smananda_', 'name': 'Teajus apel', 'id': 1169044002215088128, 'id_str': '1169044002215088128', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
3,2020-07-16 13:27:20,1283755097034350592,@nookey_ Oh gituuuu,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nookey_', 'name': 'Kevin naoki Davidson', 'id': 3670103472, 'id_str': '3670103472', 'indices': [0, 8]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
4,2020-07-16 10:57:06,1283717288206561280,"@smananda_ Biar hemat mbak :')
Maap yak","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'smananda_', 'name': 'Teajus apel', 'id': 1169044002215088128, 'id_str': '1169044002215088128', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
5,2020-07-15 15:37:26,1283425448131788806,Long story short this nigga going psycho like my other ex after a 16 month rendezvous. That’s why I’m locking kitty… https://t.co/38trqkxqWn,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/38trqkxqWn', 'expanded_url': 'https://twitter.com/i/web/status/1283425448131788806', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
6,2020-07-15 00:59:51,1283204598400868353,RT @tubirfess: `kondoms perbedaan yang sangat signifikan :DD cr: fb https://t.co/yn4jDt9bau,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tubirfess', 'name': 'Tubirfess', 'id': 865777701671415808, 'id_str': '865777701671415808', 'indices': [3, 13]}], 'urls': [], 'media': [{'id': 1283096433680248832, 'id_str': '1283096433680248832', 'indices': [68, 91], 'media_url': 'http://pbs.twimg.com/media/Ec55aIYU8AA-vT5.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ec55aIYU8AA-vT5.jpg', 'url': 'https://t.co/yn4jDt9bau', 'display_url': 'pic.twitter.com/yn4jDt9bau', 'expanded_url': 'https://twitter.com/tubirfess/status/1283096435676700674/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 414, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 730, 'resize': 'fit'}, 'large': {'w': 1440, 'h': 876, 'resize': 'fit'}}, 'source_status_id': 1283096435676700674, 'source_status_id_str': '1283096435676700674', 'source_user_id': 865777701671415808, 'source_user_id_str': '865777701671415808'}]}","{'iso_language_code': 'in', 'result_type': 'recent'}"
7,2020-07-14 07:23:18,1282938710049185792,@bibabubba jookey wookey bookey  rookey  nookey lookey,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bibabubba', 'name': '𝐣𝐨𝐨𝐤𝐞𝐲 🕺 (𝐧𝐨𝐭 𝐚 𝐬𝐢𝐦𝐩 𝐛𝐭𝐰)', 'id': 952995795086671872, 'id_str': '952995795086671872', 'indices': [0, 10]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-12 16:49:20,1282356381090111489,@nookey_ Hmmmm,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nookey_', 'name': 'Kevin naoki Davidson', 'id': 3670103472, 'id_str': '3670103472', 'indices': [0, 8]}], 'urls': []}","{'iso_language_code': 'und', 'result_type': 'recent'}"
9,2020-07-12 15:47:59,1282340938107416577,"RT @EniPratiwii: Jadi cewe belajar masak yah, modal goodlooking doang gak buat suami lu kenyang.","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EniPratiwii', 'name': 'jodohmu', 'id': 1258223741806379009, 'id_str': '1258223741806379009', 'indices': [3, 15]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
10,2020-07-12 15:41:19,1282339262692638723,@ingenuity_rz Udah kykny,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ingenuity_rz', 'name': 'Riza Harani Bangun', 'id': 1037922580034772997, 'id_str': '1037922580034772997', 'indices': [0, 13]}], 'urls': []}","{'iso_language_code': 'in', 'result_type': 'recent'}"
11,2020-07-12 11:08:33,1282270619170676738,@gamewarnings dookey nookey,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gamewarnings', 'name': 'Game Warning Screens', 'id': 1137183858070360064, 'id_str': '1137183858070360064', 'indices': [0, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
