,0,1,2,3,4
0,2020-07-20 14:06:16,1285214445048864776,That man was rolling his nookie so hard I’m crying !!!!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
1,2020-07-20 13:58:10,1285212407124512768,"RT @onenightbkk2016: #ให้มันจบที่รุ่นเรา
1987 เกิดเหตุการณ์สำคัญใน เกาหลีใต้ ที่ทำให้เผด็จการโง หัวไม่ขึ้นตลอดการณ์  รัฐธรรมนูญใหม่ เลือกปร…","{'hashtags': [{'text': 'ให้มันจบที่รุ่นเรา', 'indices': [21, 40]}], 'symbols': [], 'user_mentions': [{'screen_name': 'onenightbkk2016', 'name': 'Veeraphat', 'id': 743834371417747457, 'id_str': '743834371417747457', 'indices': [3, 19]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
2,2020-07-20 13:57:34,1285212253961121792,"RT @KhaosodOnline: อานนท์ นำภา โพสต์ถามทำไมกองทัพบก เตรียมจะซื้อเครื่องบิน VIP 1,348 ล้าน ซื้อมาทำไม ซื้อมาให้ใคร ? เผยใครจะไม่ทนกับการเหยี…","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KhaosodOnline', 'name': 'ข่าวสด', 'id': 266946216, 'id_str': '266946216', 'indices': [3, 17]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
3,2020-07-20 13:53:28,1285211223689052161,RT @kakao_my: ทุกคนคะ พ่อเพื่อนเราที่เป็นทหารบอดมาว่าเดี๋ยวจะมีการปราบม็อบ มีเตรียมแก็สน้ำตาแล้วมีการซ้อมสลายม็อบแล้ว ขอให้ทุกคนที่ไปกันระ…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kakao_my', 'name': 'ไม่เรียนแล้วจะไปวิ่ง', 'id': 2889050460, 'id_str': '2889050460', 'indices': [3, 12]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
4,2020-07-20 13:44:48,1285209044219645955,RT @elizabeauu: ทุกคน ใครผ่านมาเราขอกำลังใจหน่อยตอนนี้ ไม่ไหวแล้วจริงๆ,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'elizabeauu', 'name': 'elizabeau ไม่เอา #dictatorshit', 'id': 4906121341, 'id_str': '4906121341', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
5,2020-07-20 13:38:21,1285207419916713984,RT @sirinishappy: ทำไมบางคนกล้าที่จะรีพลายสตอรี่ไปบอกคนอื่นว่าจะอินอะไรนักหนา เป็นกุกุไม่กล้านะ ดูเสือกมาก,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sirinishappy', 'name': 'ศิรินอีสแฮปปี้ 2.0 🌈💛💫 #tgcf', 'id': 170676059, 'id_str': '170676059', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
6,2020-07-20 13:37:58,1285207322663387136,"RT @PPRTWLW: 1 รี =  ห นึ่ ง เ สี ย ง 
ร่วมด้วยช่วยกันรวมพลังกัน💖✨
#เยาวชนปลดเเอก https://t.co/YTBKVjP0gD","{'hashtags': [{'text': 'เยาวชนปลดเเอก', 'indices': [67, 81]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PPRTWLW', 'name': 'fighting!!', 'id': 2987990059, 'id_str': '2987990059', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1284883128356466688, 'id_str': '1284883128356466688', 'indices': [82, 105], 'media_url': 'http://pbs.twimg.com/media/EdTSZcuUcAAGOG1.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EdTSZcuUcAAGOG1.jpg', 'url': 'https://t.co/YTBKVjP0gD', 'display_url': 'pic.twitter.com/YTBKVjP0gD', 'expanded_url': 'https://twitter.com/PPRTWLW/status/1284883142050852872/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 750, 'h': 1183, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 750, 'h': 1183, 'resize': 'fit'}, 'small': {'w': 431, 'h': 680, 'resize': 'fit'}}, 'source_status_id': 1284883142050852872, 'source_status_id_str': '1284883142050852872', 'source_user_id': 2987990059, 'source_user_id_str': '2987990059'}]}","{'iso_language_code': 'th', 'result_type': 'recent'}"
7,2020-07-20 13:37:48,1285207280292638720,RT @_badgaalK: i want me some nookie tonight 😔,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_badgaalK', 'name': 'karla karls', 'id': 716411224586465280, 'id_str': '716411224586465280', 'indices': [3, 13]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}"
8,2020-07-20 13:36:24,1285206929174745090,Limp Bizkit - Nookie - 6/18/1999 - Shoreline Amphitheatre (Official) https://t.co/m4J2TQaBsX via @YouTube,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [97, 105]}], 'urls': [{'url': 'https://t.co/m4J2TQaBsX', 'expanded_url': 'https://youtu.be/CZwXM3tOCQ0', 'display_url': 'youtu.be/CZwXM3tOCQ0', 'indices': [69, 92]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}"
9,2020-07-20 13:30:33,1285205454860115968,RT @lovekasuma: เนี่ยมันต้องชัดเจนตรงๆแบบนี้ ไม่ใช่พูดกำกวม แทงกั๊ก อ้อมโลกไปนู่น แล้วได้ซีนคนดังยีนข้างประชาชน ไม่เอาค่ะ https://t.co/ROc1…,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lovekasuma', 'name': 'แม่หนูเหวิ่น สมรสเท่าเทียม', 'id': 947919157, 'id_str': '947919157', 'indices': [3, 14]}], 'urls': []}","{'iso_language_code': 'th', 'result_type': 'recent'}"
