"Definition","is_misogyny"
"Ur gonna die... queer",0
"Valuptuous man boobs.",0
"Variation of brother.",0
"Very impressive penis",0
"What I call my penis.",0
"What a real man eats.",0
"What every man fears.",0
"What i named my dick.",0
"When a gay guy farts,",0
"When a man ejaculates",0
"When a man jacks off.",0
"When man gets a boner",0
"When two bros frolic.",0
"When you gay and ugly",0
"Whip It Out (a penis)",0
"Who The Fuck Is That?",0
"Who ate all the pies?",0
"Who cares? It's fake.",0
"Young, bisexual male.",0
"[Buttsex] rearranged.",0
"[Slang] for [lesbian]",1
"[cum bubble], [thera]",0
"[penis] up the [butt]",0
"[short dick syndrome]",0
"a [vampire] [brothel]",0
"a baby's vaginal lips",1
"a batty rider's penis",0
"a beaner who is a fob",0
"a big jewish softcock",0
"a black person's cock",0
"a bonham w/ a 2"" cock",0
"a bro taking a shower",0
"a bro who is retarded",0
"a broke mans cadillac",0
"a broken glass bottle",0
"a brown girl's bosom.",1
"a brown skined person",0
"a burnt severed penis",0
"a chineese Black man ",0
"a code-name for penis",0
"a complete cock block",0
"a complete homosexual",0
"a complex sexual move",0
"a damn sexy beast etc",0
"a dirty niggers cock.",0
"a drizzle of giz(cum)",0
"a extremely gay thing",0
"a fag or a homosexual",0
"a fart from the penis",0
"a flamboyant gay male",0
"a flaming homosexual.",0
"a friend who is cheap",0
"a fucking gay bastard",0
"a gang of gay nigga's",0
"a gay ass cook sucker",0
"a gay fag in a sesion",0
"a gay lingo for liar.",0
"a gay monkey creature",0
"a guy who can't spell",0
"a guy who likes cake ",0
"a guy who masterbates",0
"a heterosexual person",0
"a hoe or [prostitute]",1
"a homo who likes cock",0
"a homosexual japanese",0
"a homosexual werewolf",0
"a large or big penis.",0
"a large penis of doom",0
"a long stretchy penis",0
"a long word for penis",0
"a long, skinny, penis",0
"a male cats genitalia",0
"a man dressed in drag",0
"a man in the airforce",0
"a man of asian origin",0
"a man that rapes cats",0
"a man that sells weed",0
"a man with a big cock",0
"a man with a mandingo",0
"a man with long hair ",0
"a man's flaccid penis",0
"a meister of [cunts].",1
"a mexican who is emo.",0
"a midget who is black",0
"a mohawk on your cock",0
"a narcoleptic lesbian",1
"a new way to say porn",0
"a nice loving brother",0
