,Racial
35,filipino
36,Fok
37,frog
38,gipsy
39,gook
40,goy
41,goyim
42,greaseball
43,gringo
44,guido
45,gypsy
46,half-breed
47,half-caste
48,haole
49,hapa
50,hebe
51,heeb
52,Hillbilly 
53,hindoo
54,Hodgie
55,honkey
56,honky
57,hore 
58,Injun
59,jap
60,Jerry
61,jiga
62,jigaboo
63,jigga
64,jijjiboo
65,jimfish
66,jock
67,junglebunny
68,kaffir
69,kafir
70,kike
71,kike
72,kraut
73,kyke
74,makwerekwere
75,mammy
76,mick
77,mooncricket
78,mosshead
79,mulatto
80,mulatto
81,native
82,negro
83,negro's
84,negroes
85,negroid
86,nig
87,nigaboo
88,niger
89,nigg
90,nigga
91,niggah
92,niggaz
93,niggers
94,niggor
95,niggur
96,niglet
97,nignog
98,nigr
99,nigra
100,nigre
101,nlgger
102,nlggor
103,nonwhite
104,oriental
105,Paddy
106,pakeha 
107,paki
108,paki
109,paleface
110,peckerwood
111,picaninny
112,pickaninny
113,pocho
114,pocohantas
115,pohm
116,Polack
117,pollock
118,pommy
119,poor white trash
120,porch monkey 
121,porchmonkey
122,porchmonkey
123,primitive
124,Pygmy
125,racist
126,raghead
127,Red Indian
128,redskin
129,ruski
130,sandnigger
131,savage
132,seppo
133,slant eye
134,snownigger
135,spade
136,spaghettibender
137,spaghettinigger
138,spic
139,spick
140,spook
141,squaw
142,Taffy
143,timbernigger
144,trailertrash
145,Uncle Tom
146,WASP
147,waspy
148,wetback
149,whigger
150,white trash
151,whitenigger
152,whitey
153,wog
154,wop
155,Yank
156,Yankee
157,yellowman
158,yid
159,zigabo
160,zipperhead
